company,ticker,date,open,high,low,close,volume
"Wal-Mart Stores, Inc.",WMT,2013-05-20,20.34,20.34,20.2,20.21,16747800
Exxon Mobil Corporation,XOM,2013-05-20,54.83,55.47,54.74,55.37,12417700
Chevron Corporation,CVX,2013-05-20,73.1,73.94,72.95,73.9,5298200
Phillips 66,PSX,2013-05-20,42.14,43.13,42.14,42.55,4531600
General Motors Company,GM,2013-05-20,24.93,25.41,24.93,25.18,15260600
General Electric Company,GE,2013-05-20,90.69,91.15,90.57,91.11,6861811
Valero Energy Corporation,VLO,2013-05-20,26.02,26.98,25.73,26.59,9166800
Ford Motor Company,F,2013-05-20,7.98,8.1,7.98,8.0,34580000
AT&T Inc.,ATT.L,2013-05-20,40.0,40.1,39.8,39.86,766530
Fannie Mae,FNMA,2013-05-20,1.4,1.55,1.36,1.54,48950700
CVS Caremark Corporation,CVS,2013-05-20,42.5,42.55,42.05,42.22,3747800
McKesson Corporation,MCK,2013-05-20,106.36,108.36,106.36,107.63,1263100
Verizon Communications Inc.,VZ,2013-05-20,28.25,28.31,27.89,27.96,8045300
UnitedHealth Group Incorporated,UNH,2013-05-20,51.46,51.62,51.21,51.32,2688200
J.P. Morgan Chase & Co.,JPM,2013-05-20,37.27,37.52,37.01,37.28,22020000
"Cardinal Health, Inc.",CAH,2013-05-20,34.14,34.64,34.12,34.37,2409300
International Business Machines Corporation,IBM,2013-05-20,121.7,122.36,121.35,121.45,3780767
Bank of America Corporation,BAC,2013-05-20,10.58,10.75,10.58,10.68,88941700
Costco Wholesale Corporation,COST,2013-05-20,89.63,89.69,88.75,88.81,1664300
The Kroger Company,KR,2013-05-20,14.0,14.0,13.71,13.73,6153000
Express Scripts Holding Company,ESH.BE,2013-05-20,9.72,9.72,9.72,9.72,0
Wells Fargo & Company,WFC,2013-05-20,28.11,28.38,28.07,28.32,18939000
Citigroup Inc.,C,2013-05-20,38.28,38.76,38.13,38.39,24697300
"Prudential Financial, Inc.",PRU,2013-05-20,40.53,40.93,40.5,40.72,2167700
The Boeing Company,BA,2013-05-20,84.02,84.2,83.52,83.69,6535200
Freddie Mac,FMCC,2013-05-20,1.33,1.39,1.29,1.37,29879200
Marathon Petroleum Corporation,MPC,2013-05-20,28.58,29.74,28.54,29.25,7579600
"The Home Depot, Inc.",THD,2013-05-20,67.3,67.74,67.3,67.72,148400
Microsoft Corporation,MSFT,2013-05-20,28.4,28.7,28.36,28.68,54020800
Target Corporation,TGT,2013-05-20,49.01,49.14,48.6,48.83,2445000
"American International Group, Inc.",AIG,2013-05-20,34.41,34.58,34.09,34.19,11032900
"MetLife, Inc.",MET,2013-05-20,25.64,25.74,25.49,25.7,4880251
Johnson & Johnson,JNJ,2013-05-20,62.14,62.21,61.93,62.07,7235800
Caterpillar Inc.,CAT,2013-05-20,63.47,64.32,63.25,64.02,5603200
"PepsiCo, Inc.",PEP,2013-05-20,57.91,57.94,57.0,57.08,3958200
ConocoPhillips,COP,2013-05-20,41.41,42.17,41.38,41.89,6215900
Comcast Corporation,CMCSA,2013-05-20,16.06,16.1,15.62,15.7,38054400
Pfizer Inc.,PFIZER.NS,2013-05-20,692.5,708.54,687.99,694.34,4571
The Dow Chemical Company,TDC,2013-05-20,56.86,57.34,56.52,56.61,1874100
"United Parcel Service, Inc.",UPS,2013-05-20,57.39,57.54,57.22,57.35,2640000
Intel Corporation,INTC,2013-05-20,17.57,17.69,17.51,17.57,31324400
"Lowe's Companies, Inc.",LOW,2013-05-20,33.8,34.2,33.72,33.89,7161200
"Merck & Co., Inc.",MRK,2013-05-20,29.68,29.71,29.12,29.19,17533040
Lockheed Martin Corporation,LMT,2013-05-20,74.57,75.33,74.5,75.02,1501100
"Cisco Systems, Inc.",CSCO,2013-05-20,16.28,16.32,16.1,16.31,54632000
"Best Buy Co., Inc.",BBY,2013-05-20,17.54,17.86,17.27,17.49,7881000
FedEx Corporation,FDX,2013-05-20,84.88,86.15,84.49,85.83,2390900
Enterprise Products Partners L.P.,EPD,2013-05-20,13.55,13.59,13.46,13.54,2353600
Sysco Corporation,SYY,2013-05-20,25.08,25.15,24.85,24.89,1526500
The Walt Disney Company,DIS,2013-05-20,59.53,59.55,59.06,59.12,5893300
"Johnson Controls, Inc.",JCI,2013-05-20,24.17,24.29,24.12,24.23,2620234
"The Goldman Sachs Group, Inc.",TGS,2013-05-20,1.47,1.5,1.45,1.5,64200
Abbott Laboratories,ABT,2013-05-20,29.07,29.84,29.01,29.75,8885200
Sears Holdings Corporation,SRSCQ,2013-05-20,5.57,5.57,5.36,5.36,28379
World Fuel Services Corporation,WFK.BE,2013-05-20,26.7,26.94,26.7,26.94,0
"Plains All American Pipeline, L.P.",PAA,2013-05-20,23.46,23.54,23.31,23.39,715700
Honeywell International Inc.,HON,2013-05-20,55.75,56.38,55.68,55.89,2813843
"United Continental Holdings, Inc.",UAL,2013-05-20,34.87,35.27,34.22,34.29,2713700
Oracle Corporation,ORCL,2013-05-20,28.94,29.12,28.73,29.01,18326400
Liberty Mutual Holding Company Inc.,LBTYA,2013-05-20,16.38,16.4,16.17,16.31,10758232
"Delta Air Lines, Inc.",DAL,2013-05-20,16.06,16.31,15.74,15.87,8101600
Deere & Company,DE,2013-05-20,68.69,69.83,68.51,69.53,4218900
Sprint Nextel Corporation,SIX.AX,2013-05-20,0.86,0.86,0.86,0.86,7764
"Mondelez International, Inc.",MDLZ,2013-05-20,24.18,24.2,23.61,23.65,10092700
New York Life Insurance Company,601336.SS,2013-05-20,19.06,19.67,18.98,19.33,11838053
American Express Company,AXP,2013-05-20,61.58,62.61,61.5,62.49,5345300
The Allstate Corporation,ALL,2013-05-20,38.24,38.39,38.04,38.1,3028200
"Tyson Foods, Inc.",TSN,2013-05-20,19.3,19.4,19.09,19.13,3637000
Morgan Stanley,MS,2013-05-20,18.36,18.59,18.26,18.33,11410100
General Dynamics Corporation,GD,2013-05-20,59.32,59.72,59.12,59.66,2315700
Philip Morris International Inc.,PM,2013-05-20,51.76,51.8,51.26,51.4,3855300
