company,ticker,date,open,high,low,close,volume
"Wal-Mart Stores, Inc.",WMT,2003-01-31,10.22,10.49,10.21,10.35,26233500
Exxon Mobil Corporation,XOM,2003-01-31,15.67,16.2,15.56,16.1,16386900
Ford Motor Company,F,2003-01-31,4.05,4.18,4.04,4.13,6400800
General Electric Company,GE,2003-01-31,61.54,63.59,61.4,63.29,5475126
"Citigroup, Inc.",C,2003-01-31,198.96,202.36,197.49,201.6,2364320
International Business Machines Corporation,IBM,2003-01-31,39.11,39.43,38.77,39.36,10192329
"American International Group,Inc.",AIG,2003-01-31,634.9,654.58,633.12,645.28,402935
Verizon Communications Inc.,VZ,2003-01-31,10.73,11.14,10.63,11.05,10929447
"Altria Group, Inc.",MO,2003-01-31,2.24,2.29,2.24,2.29,7015000
ConocoPhillips,COP,2003-01-31,8.56,8.79,8.51,8.72,5813333
The Boeing Company,BA,2003-01-31,21.16,21.73,21.04,21.3,3685800
Fannie Mae,FNMA,2003-01-31,55.1,56.47,55.05,55.87,4602900
"Merck & Co., Inc.",MRK,2003-01-31,21.76,22.3,21.68,22.17,5904118
The Kroger Company,KR,2003-01-31,5.26,5.38,5.26,5.31,7206400
"Cardinal Health, Inc.",CAH,2003-01-31,25.77,26.64,25.75,26.47,2344000
McKesson Corporation,MCK,2003-01-31,23.46,23.97,23.39,23.93,965700
AT&T,ATT.L,2003-01-31,13.45,13.45,13.45,13.45,0
Bank of America Corporation,BAC,2003-01-31,19.95,20.41,19.86,20.34,11305000
Target Corporation,TGT,2003-01-31,16.64,17.08,16.56,16.95,5566000
J.P. Morgan Chase & Co.,JPM,2003-01-31,12.14,12.53,12.11,12.45,9560900
Freddie Mac,FMCC,2003-01-31,47.98,48.63,47.63,48.23,5225200
Costco Wholesale Corporation,COST,2003-01-31,19.31,19.58,19.24,19.29,5278300
Johnson & Johnson,JNJ,2003-01-31,27.73,28.63,27.54,28.53,9962800
Pfizer Inc.,PFIZER.NS,2003-01-31,182.83,182.83,181.26,182.05,4366
MetLife Inc.,MET,2003-01-31,13.09,13.51,13.08,13.45,3385859
Morgan Stanley,MS,2003-01-31,18.85,19.46,18.85,19.43,6145700
"United Parcel Service, Inc.",UPS,2003-01-31,29.93,30.36,29.83,30.21,2402900
The Allstate Corporation,ALL,2003-01-31,19.78,20.23,19.76,20.17,2613700
Wells Fargo & Co.,WFC,2003-01-31,12.21,12.51,12.14,12.47,12092200
Microsoft Corporation,MSFT,2003-01-31,14.49,14.77,14.36,14.5,106858400
"ConAgra Foods, Incorporated",CAG,2003-01-31,8.38,8.6,8.35,8.53,2205831
Valero Energy Corp,VLO,2003-01-31,4.2,4.31,4.15,4.31,5290584
Lockheed Martin Corporation,LMT,2003-01-31,26.76,28.1,26.76,27.58,3364600
"Prudential Financial, Inc.",PRU,2003-01-31,15.26,15.73,15.26,15.48,2229900
Intel,INTC,2003-01-31,8.81,9.07,8.66,8.96,65637900
"Motorola, Inc.",MSI,2003-01-31,21.13,21.36,20.71,20.84,3559913
"Lowe's Companies, Inc.",LOW,2003-01-31,11.98,12.35,11.96,12.07,10919600
The Walt Disney Company,DIS,2003-01-31,13.17,13.86,13.14,13.72,12429498
"PepsiCo, Inc.",PEP,2003-01-31,21.0,21.93,21.0,21.9,6487100
"UnitedHealth Group, Incorporated",UNH,2003-01-31,16.69,17.18,16.69,17.18,9518400
International Paper Company,IP,2003-01-31,14.36,14.78,14.36,14.55,3894870
CVS Corporation,CVS,2003-01-31,7.16,7.42,7.13,7.37,10410600
American Express Company,AXP,2003-01-31,21.79,22.71,21.79,22.48,6339084
Archer Daniels Midland Company,ADM,2003-01-31,6.89,7.0,6.84,7.0,1511700
"Tyson Foods, Inc.",TSN,2003-01-31,6.91,7.1,6.91,7.09,1149400
Sysco Corporation,SYY,2003-01-31,15.42,15.86,15.42,15.82,3503700
"Goldman Sachs Group, Inc.",GS,2003-01-31,47.83,49.04,47.69,48.51,4561800
Honeywell International Inc.,HON,2003-01-31,12.98,13.07,12.62,13.02,7207329
Electronic Data Systems Corporation,EA,2003-01-31,24.94,25.4,24.5,25.19,9032000
"Alcoa, Inc.",AA,2003-01-31,35.54,36.27,35.14,35.54,2032002
FedEx Corporation,FDX,2003-01-31,41.88,42.78,41.6,42.46,1099600
"Caterpillar, Inc.",CAT,2003-01-31,12.24,12.74,12.2,12.6,3284800
"Johnson Controls, Inc.",JCI,2003-01-31,15.95,16.35,15.95,16.22,5641051
CIGNA Corporation,CI,2003-01-31,12.56,12.83,12.56,12.79,3219600
Best Buy Co. Inc.,BBY,2003-01-31,9.58,9.86,9.55,9.73,3897900
"AutoNation, Inc.",AN,2003-01-31,11.89,12.0,11.85,11.9,713700
"Cisco Systems, Inc.",CSCO,2003-01-31,8.82,8.94,8.56,8.7,103330200
Weyerhaeuser Company,WY,2003-01-31,8.2,8.44,8.19,8.36,1203100
Northrop Grumman Corporation,NOC,2003-01-31,25.48,26.12,25.47,25.67,3748091
Abbott Laboratories,ABT,2003-01-31,9.39,9.57,9.36,9.43,7875235
