company,ticker,date,open,high,low,close,volume
"Wal-Mart Stores, Inc.",WMT,2011-06-17,13.18,13.23,13.12,13.12,61692900
Exxon Mobil Corporation,XOM,2011-06-17,45.42,45.48,44.76,44.95,25441200
Chevron Corporation,CVX,2011-06-17,55.64,55.98,54.81,55.05,12029500
ConocoPhillips,COP,2011-06-17,33.42,33.76,33.0,33.28,12751002
Fannie Mae,FNMA,2011-06-17,0.33,0.34,0.32,0.33,1207700
General Electric Company,GE,2011-06-17,67.54,67.76,66.49,67.04,11778579
General Motors Corporation,GM,2011-06-17,21.47,21.71,21.35,21.67,16732300
Bank of America Corporation,BAC,2011-06-17,8.42,8.43,8.29,8.36,116367000
Ford Motor Company,F,2011-06-17,6.66,6.66,6.52,6.57,75778900
AT&T Inc.,ATT.L,2011-06-17,34.8,34.8,34.33,34.4,5594830
J.P. Morgan Chase & Co.,JPM,2011-06-17,27.5,27.64,27.29,27.47,31999600
"Citigroup, Inc.",C,2011-06-17,28.21,28.55,28.11,28.43,38591200
McKesson Corporation,MCK,2011-06-17,74.43,74.77,73.41,73.95,2843000
Verizon Communications Inc.,VZ,2011-06-17,17.06,17.28,17.05,17.09,19263600
"American International Group,Inc.",AIG,2011-06-17,21.56,21.6,21.12,21.31,10252300
International Business Machines Corporation,IBM,2011-06-17,92.88,93.37,92.51,92.99,7478586
"Cardinal Health, Inc.",CAH,2011-06-17,29.92,30.22,29.92,30.02,2450900
Freddie Mac,FMCC,2011-06-17,0.36,0.36,0.36,0.36,1033000
CVS Caremark Corporation,CVS,2011-06-17,26.12,26.16,25.84,25.94,8389600
UnitedHealth Group Incorporated,UNH,2011-06-17,40.07,40.3,39.77,39.96,9675100
Wells Fargo & Company,WFC,2011-06-17,18.21,18.39,18.15,18.3,46513800
Valero Energy Corporation,VLO,2011-06-17,13.53,13.62,13.15,13.33,11521461
The Kroger Company,KR,2011-06-17,9.14,9.21,9.06,9.11,26877800
Costco Wholesale Corporation,COST,2011-06-17,57.85,58.34,57.31,57.6,4217400
"The Home Depot, Inc.",THD,2011-06-17,42.71,42.82,42.29,42.37,216100
Pfizer Inc.,PFIZER.NS,2011-06-17,852.61,864.69,815.32,862.69,9779
Target Corporation,TGT,2011-06-17,30.87,31.22,30.7,30.73,9075600
The Boeing Company,BA,2011-06-17,60.26,60.51,59.57,59.89,5536100
Microsoft Corporation,MSFT,2011-06-17,18.71,18.77,18.52,18.74,83320400
Johnson & Johnson,JNJ,2011-06-17,44.15,44.36,43.86,43.93,14336400
"PepsiCo, Inc.",PEP,2011-06-17,45.36,45.48,44.87,44.98,7575900
The Dow Chemical Company,TDC,2011-06-17,55.65,56.81,55.65,56.12,3378200
"MetLife, Inc.",MET,2011-06-17,22.66,22.83,22.55,22.69,9841847
Best Buy Co. Inc.,BBY,2011-06-17,18.62,19.02,18.51,18.96,10184000
"United Parcel Service, Inc.",UPS,2011-06-17,42.46,42.58,42.18,42.18,5584200
Kraft Foods Inc.,1959.T,2011-06-17,342.16,342.87,330.19,336.53,87000
"Lowe's Companies, Inc.",LOW,2011-06-17,17.53,17.64,17.41,17.5,28177400
Lockheed Martin Corporation,LMT,2011-06-17,52.14,52.58,51.7,51.84,3135700
"Merck & Co., Inc.",MRK,2011-06-17,21.22,21.44,21.09,21.21,15770828
"The Goldman Sachs Group, Inc.",TGS,2011-06-17,2.49,2.51,2.46,2.47,23700
Intel Corporation,INTC,2011-06-17,14.71,14.71,14.29,14.38,96504000
Sears Holdings Corporation,SRSCQ,2011-06-17,10.57,10.57,10.57,10.57,0
Caterpillar Inc.,CAT,2011-06-17,66.97,67.3,66.17,66.61,8314800
"Cisco Systems, Inc.",CSCO,2011-06-17,9.91,9.92,9.73,9.77,80876700
Morgan Stanley,MS,2011-06-17,16.08,16.39,16.06,16.33,22212500
"Prudential Financial, Inc.",PRU,2011-06-17,32.73,33.05,32.63,32.89,4359200
The Walt Disney Company,DIS,2011-06-17,33.18,33.23,32.9,32.95,12658300
Comcast Corporation,CMCSA,2011-06-17,8.64,8.64,8.56,8.6,39707600
Sysco Corporation,SYY,2011-06-17,20.55,20.63,20.5,20.55,2992000
Abbott Laboratories,ABT,2011-06-17,18.45,18.6,18.39,18.4,18297207
Northrop Grumman Corporation,NOC,2011-06-17,49.36,49.77,48.9,48.99,2707700
FedEx Corporation,FDX,2011-06-17,73.22,73.58,72.72,72.99,2131400
"Johnson Controls, Inc.",JCI,2011-06-17,15.82,15.88,15.68,15.7,7211201
"Enterprise Products Partners, L.P.",EPD,2011-06-17,8.08,8.13,7.97,7.98,3204000
Honeywell International Inc.,HON,2011-06-17,37.55,37.59,36.75,36.83,5868517
Liberty Mutual Holding Company Inc.,LBTYA,2011-06-17,8.71,8.83,8.64,8.8,9555708
Sprint Nextel Corporation,SIX.AX,2011-06-17,1.07,1.07,1.07,1.07,341
General Dynamics Corporation,GD,2011-06-17,51.4,51.88,51.12,51.25,1672700
"Delta Air Lines, Inc.",DAL,2011-06-17,8.26,8.42,8.19,8.28,9424600
The Allstate Corporation,ALL,2011-06-17,21.75,21.89,21.53,21.63,5382700
American Express Company,AXP,2011-06-17,39.75,39.81,39.26,39.6,8339200
"Tyson Foods, Inc.",TSN,2011-06-17,13.75,13.9,13.65,13.75,4993900
Philip Morris International Inc.,PM,2011-06-17,34.3,34.83,34.3,34.57,8793900
Time Warner Inc.,T,2011-06-17,8.26,8.34,8.25,8.29,36906632
Oracle Corporation,ORCL,2011-06-17,25.61,25.98,25.47,25.47,42812400
3M Company,MMM,2011-06-17,49.59,49.76,49.17,49.31,4501864
Deere & Company,DE,2011-06-17,60.77,60.81,59.13,59.3,5970100
"Plains All American Pipeline, L.P.",PAA,2011-06-17,11.05,11.09,10.9,10.95,800000
