company,ticker,date,open,high,low,close,volume
"Wal-Mart Stores, Inc.",WMT,2007-08-31,9.99,10.08,9.94,10.01,62468700
Exxon Mobil Corporation,XOM,2007-08-31,45.26,45.5,44.67,44.84,21915800
Chevron Corporation,CVX,2007-08-31,43.21,43.48,42.8,42.95,8155000
ConocoPhillips,COP,2007-08-31,33.5,33.64,33.14,33.27,11687271
General Electric Company,GE,2007-08-31,119.85,120.75,118.9,120.07,7794155
Ford Motor Company,F,2007-08-31,4.01,4.05,3.95,4.02,31661000
"Citigroup, Inc.",C,2007-08-31,325.96,326.58,321.32,324.57,2721150
Bank of America Corporation,BAC,2007-08-31,35.83,35.85,35.28,35.39,22514200
"American International Group,Inc.",AIG,2007-08-31,814.95,818.15,805.96,812.12,437715
J.P. Morgan Chase & Co.,JPM,2007-08-31,28.19,28.28,27.74,27.89,16937800
Verizon Communications Inc.,VZ,2007-08-31,15.44,15.49,15.19,15.29,10350849
International Business Machines Corporation,IBM,2007-08-31,61.28,62.0,61.05,61.65,7200246
Valero Energy Corporation,VLO,2007-08-31,35.8,35.97,35.46,35.55,6273871
McKesson Corporation,MCK,2007-08-31,50.04,50.62,49.32,49.6,1902300
"Cardinal Health, Inc.",CAH,2007-08-31,31.73,31.86,31.28,31.51,1983200
Morgan Stanley,MS,2007-08-31,41.46,42.07,40.91,41.74,10375600
UnitedHealth Group Incorporated,UNH,2007-08-31,38.63,39.41,38.4,39.18,9211400
"Altria Group, Inc.",MO,2007-08-31,7.0,7.02,6.91,6.98,10003600
"The Goldman Sachs Group, Inc.",TGS,2007-08-31,3.16,3.21,2.92,2.92,142100
The Kroger Company,KR,2007-08-31,9.29,9.58,9.23,9.52,10846600
AT&T Inc.,ATT.L,2007-08-31,22.6,23.12,22.5,23.05,169330
The Boeing Company,BA,2007-08-31,71.56,71.99,70.62,70.62,3963100
Costco Wholesale Corporation,COST,2007-08-31,42.44,42.99,42.37,42.68,2462900
Target Corporation,TGT,2007-08-31,40.32,41.42,40.12,41.07,7817600
Johnson & Johnson,JNJ,2007-08-31,36.43,36.48,36.24,36.32,13355800
"MetLife, Inc.",MET,2007-08-31,33.42,33.93,32.95,33.5,4340345
Pfizer Inc.,PFIZER.NS,2007-08-31,399.87,403.38,399.87,402.45,39654
Wells Fargo & Company,WFC,2007-08-31,22.28,22.52,22.11,22.38,15133700
"United Parcel Service, Inc.",UPS,2007-08-31,41.11,41.25,40.75,41.08,3196800
"Lowe's Companies, Inc.",LOW,2007-08-31,21.91,22.52,21.68,22.36,16253200
"Lehman Brothers Holdings, Inc.",LEHNQ,2007-08-31,20.49,20.75,20.35,20.53,6100
Time Warner Inc.,T,2007-08-31,8.18,8.22,8.04,8.13,22798883
Microsoft Corporation,MSFT,2007-08-31,20.51,20.67,20.27,20.53,42511900
Freddie Mac,FMCC,2007-08-31,58.58,60.67,57.45,59.14,11316900
"Motorola, Inc.",MSI,2007-08-31,51.82,52.31,51.64,51.92,3914632
"Caterpillar, Inc.",CAT,2007-08-31,47.15,47.53,46.87,47.21,3341500
Lockheed Martin Corporation,LMT,2007-08-31,57.99,58.31,57.53,57.62,1439100
The Allstate Corporation,ALL,2007-08-31,35.31,35.46,34.93,35.25,3631100
Intel Corporation,INTC,2007-08-31,15.51,15.66,15.49,15.63,56843900
"PepsiCo, Inc.",PEP,2007-08-31,39.9,40.19,39.47,39.78,6216200
The Walt Disney Company,DIS,2007-08-31,27.85,27.92,27.61,27.74,7075900
Sysco Corporation,SYY,2007-08-31,19.75,19.77,19.41,19.5,2401900
"Prudential Financial, Inc.",PRU,2007-08-31,45.96,46.2,45.14,45.93,2084400
"Johnson Controls, Inc.",JCI,2007-08-31,13.74,13.8,13.58,13.73,3841901
FedEx Corporation,FDX,2007-08-31,90.0,90.46,89.05,89.87,1298400
Honeywell International Inc.,HON,2007-08-31,33.71,33.95,33.29,33.34,5708705
"Alcoa, Inc.",AA,2007-08-31,73.01,73.67,72.39,72.87,2659592
Best Buy Co. Inc.,BBY,2007-08-31,25.5,25.62,25.28,25.42,4279500
Northrop Grumman Corporation,NOC,2007-08-31,47.87,48.46,47.73,48.24,2592695
"Federated Department Stores, Inc.",FHI,2007-08-31,13.34,13.46,13.23,13.26,562200
"Cisco Systems, Inc.",CSCO,2007-08-31,20.73,20.8,20.6,20.76,39064400
American Express Company,AXP,2007-08-31,44.25,44.6,43.52,44.19,6144700
The Hartford Financial Services Group Inc.,HFF.BE,2007-08-31,45.24,45.24,45.24,45.24,0
Comcast Corporation,CMCSA,2007-08-31,8.87,9.02,8.84,8.96,28732800
"Tyson Foods, Inc.",TSN,2007-08-31,15.48,15.71,15.38,15.58,1083600
"The Travelers Companies, Inc.",TTC,2007-08-31,11.51,11.58,11.37,11.45,1300000
Massachusetts Financial Group,MFG.AX,2007-08-31,0.74,0.78,0.74,0.78,5491
General Dynamics Corporation,GD,2007-08-31,51.9,52.4,51.49,51.62,1286300
International Paper Company,IP,2007-08-31,16.25,16.49,16.03,16.32,2972282
3M Company,MMM,2007-08-31,43.47,44.3,43.35,44.04,5900825
Deere & Company,DE,2007-08-31,47.03,48.12,46.86,47.75,5383400
"Merck & Co., Inc.",MRK,2007-08-31,25.16,25.39,25.08,25.22,7681002
Halliburton Company,HAL,2007-08-31,25.83,26.16,25.71,25.9,10874400
