company,ticker,date,open,high,low,close,volume
Wal-Mart Stores,WMT,2014-11-07,20.97,21.3,20.9,21.22,28496400
Exxon Mobil,XOM,2014-11-07,59.77,60.62,59.72,60.26,13233500
Chevron,CVX,2014-11-07,73.38,73.98,73.14,73.41,7366600
Phillips 66,PSX,2014-11-07,49.99,50.18,49.31,49.59,5464000
General Motors,GM,2014-11-07,24.01,24.34,23.95,24.22,10070900
Ford Motor,F,2014-11-07,7.9,7.92,7.85,7.87,30254700
General Electric,GE,2014-11-07,106.73,107.63,106.41,107.22,5506759
Valero Energy,VLO,2014-11-07,32.59,32.94,32.51,32.89,6614200
AT&T,ATT.L,2014-11-07,55.3,55.45,54.9,54.9,238800
CVS Caremark,CVS,2014-11-07,64.53,64.71,64.22,64.69,3651200
Fannie Mae,FNMA,2014-11-07,2.27,2.3,2.23,2.29,5988400
UnitedHealth Group,UNH,2014-11-07,80.29,80.47,78.2,78.7,6155400
McKesson,MCK,2014-11-07,185.95,186.06,182.4,183.44,931700
Verizon Communications,VZ,2014-11-07,28.48,28.79,28.36,28.78,14008700
J.P. Morgan Chase & Co.,JPM,2014-11-07,45.37,45.72,45.21,45.66,12384600
Costco Wholesale,COST,2014-11-07,110.17,110.87,109.75,110.71,1589400
Express Scripts Holding,ESH.BE,2014-11-07,8.92,8.92,8.92,8.92,0
Bank of America,BAC,2014-11-07,13.77,13.82,13.7,13.81,53907800
Cardinal Health,CAH,2014-11-07,58.85,58.89,57.54,57.75,2255100
International Business Machines,IBM,2014-11-07,97.74,98.21,97.39,98.13,3655561
Kroger,KR,2014-11-07,23.22,23.41,23.16,23.3,4719000
Marathon Petroleum,MPC,2014-11-07,33.12,33.41,32.79,33.41,7025400
Citigroup,C,2014-11-07,40.11,40.23,39.88,40.03,13479200
Archer Daniels Midland,ADM,2014-11-07,35.95,36.52,35.95,36.43,2311500
Wells Fargo,WFC,2014-11-07,39.79,39.83,39.38,39.53,13312700
Boeing,BA,2014-11-07,109.27,109.28,108.6,108.85,2366700
Procter & Gamble,PG,2014-11-07,65.27,65.61,64.91,65.55,5975700
Freddie Mac,FMCC,2014-11-07,2.22,2.25,2.18,2.21,2263800
Home Depot,HD,2014-11-07,75.19,75.64,74.82,75.56,3429600
Microsoft,MSFT,2014-11-07,41.44,41.44,40.9,41.24,28000600
Target,TGT,2014-11-07,44.65,46.35,44.57,46.0,7531300
Johnson & Johnson,JNJ,2014-11-07,80.24,80.26,79.45,79.65,6652600
American International Group,AIG,2014-11-07,41.4,41.74,41.31,41.61,7421200
MetLife,MET,2014-11-07,33.42,33.67,33.22,33.65,5446749
PepsiCo,PEP,2014-11-07,69.81,69.81,68.87,69.8,5273400
Comcast,CMCSA,2014-11-07,21.52,21.52,21.11,21.4,35044400
ConocoPhillips,COP,2014-11-07,50.06,50.67,50.03,50.56,7367200
Caterpillar,CAT,2014-11-07,76.4,76.83,76.13,76.77,2708200
United Parcel Service,UPS,2014-11-07,72.69,72.76,72.2,72.57,3172300
Pfizer,PFIZER.NS,2014-11-07,1387.69,1404.34,1347.83,1392.15,39653
Lowe's Companies,LOW,2014-11-07,47.14,47.57,47.13,47.29,3907300
Intel Corporation,INTC,2014-11-07,26.07,26.09,25.46,25.76,27604500
"Energy Transfer Equity, L.P.",ET,2014-11-07,12.38,12.9,12.35,12.74,4831000
"Cisco Systems, Inc.",CSCO,2014-11-07,18.03,18.1,17.93,18.06,34001900
Enterprise Products Partners L.P.,EPD,2014-11-07,17.35,17.61,17.24,17.59,2652000
Lockheed Martin Corporation,LMT,2014-11-07,140.66,140.68,137.34,138.26,2569400
"Best Buy Co., Inc.",BBY,2014-11-07,23.71,24.04,23.38,23.73,4360400
The Walt Disney Company,DIS,2014-11-07,80.92,81.49,80.25,81.47,16176300
Sysco Corporation,SYY,2014-11-07,28.35,28.65,28.31,28.59,2454400
FedEx Corporation,FDX,2014-11-07,146.97,146.97,145.03,146.38,1238100
"Merck & Co., Inc.",MRK,2014-11-07,40.3,40.46,40.08,40.27,11122424
"Johnson Controls, Inc.",JCI,2014-11-07,31.52,31.62,31.33,31.44,1994040
"Plains GP Holdings, L.P.",PAGP,2014-11-07,32.68,32.91,32.04,32.35,727425
World Fuel Services Corporation,WFK.BE,2014-11-07,28.42,28.42,28.34,28.34,0
"Prudential Financial, Inc.",PRU,2014-11-07,52.36,52.69,51.95,52.63,2883400
"The Goldman Sachs Group, Inc.",TGS,2014-11-07,2.88,3.12,2.88,2.99,277600
Liberty Mutual Holding Company Inc.,LBTYA,2014-11-07,19.42,19.88,19.21,19.8,12102126
Honeywell International Inc.,HON,2014-11-07,68.78,68.98,68.38,68.83,2631996
"United Continental Holdings, Inc.",UAL,2014-11-07,55.43,55.84,53.87,54.18,5311400
Deere & Company,DE,2014-11-07,71.98,72.85,71.92,72.69,4401400
"Delta Air Lines, Inc.",DAL,2014-11-07,37.61,37.65,37.15,37.38,10192800
Oracle Corporation,ORCL,2014-11-07,33.65,33.89,33.58,33.86,13728500
Morgan Stanley,MS,2014-11-07,26.44,26.5,26.22,26.45,10831600
Sears Holdings Corporation,SRSCQ,2014-11-07,12.48,12.48,12.48,12.48,0
New York Life Insurance Company,601336.SS,2014-11-07,22.03,23.46,21.81,22.44,24403105
"Mondelez International, Inc.",MDLZ,2014-11-07,29.8,29.9,29.48,29.74,8803300
American Express Company,AXP,2014-11-07,78.35,79.0,77.94,78.82,3669200
Nationwide Mutual Insurance Co.,NBS.L,2014-11-07,98.88,123.99,123.99,123.99,380
The Allstate Corporation,ALL,2014-11-07,52.09,52.33,51.93,52.2,2125000
"Tyson Foods, Inc.",TSN,2014-11-07,32.45,32.51,31.68,32.15,3452100
CIGNA Corporation,CI,2014-11-07,92.38,92.97,90.13,90.93,2584900
General Dynamics Corporation,GD,2014-11-07,111.34,111.52,109.94,110.27,1994800
Philip Morris International Inc.,PM,2014-11-07,50.53,50.94,50.39,50.89,3219400
