ticker,company,date,open,high,low,close,volume,daily_return,volatility_30d,moving_avg_30d,moving_avg_90d,trading_volume_avg,price_range,year,month,quarter
AIG,Aig,2024-03-12,72.19,73.27,72.07,73.13,3656000,1.316154059296188,0.9306614604145359,72.655,72.655,2996200.0,1.2000000000000028,2024,3,1
AIG,Aig,2024-03-13,73.43,73.68,72.95,73.09,3645000,-0.05469711472718726,0.7761535740949917,72.8,72.8,3212466.6666666665,0.730000000000004,2024,3,1
AIG,Aig,2024-03-14,73.04,73.6,72.46,73.44,3869100,0.4788616773840393,0.6343985502687398,72.96000000000001,72.96000000000001,3376625.0,1.1400000000000006,2024,3,1
AIG,Aig,2024-03-15,72.93,73.93,72.85,73.84,7185000,0.5446623093681995,0.5515866314946214,73.136,73.136,4138300.0,1.0800000000000125,2024,3,1
ALL,Allstate,2024-03-11,152.0,155.31,151.88,155.27,1582100,0.0,0.0,155.27,155.27,1582100.0,3.430000000000007,2024,3,1
ALL,Allstate,2024-03-12,155.33,156.01,153.4,154.94,1798600,-0.21253300702003766,0.15028353048983675,155.10500000000002,155.10500000000002,1690350.0,2.609999999999985,2024,3,1
ALL,Allstate,2024-03-13,155.44,155.8,153.91,155.4,1457600,0.2968891183684058,0.25587247133218133,155.20333333333335,155.20333333333335,1612766.6666666667,1.8900000000000148,2024,3,1
ALL,Allstate,2024-03-14,155.09,155.87,153.5,154.72,1596700,-0.43758043758044196,0.31283553233347927,155.0825,155.0825,1608750.0,2.3700000000000045,2024,3,1
ALL,Allstate,2024-03-15,153.25,157.96,152.86,157.46,9247300,1.7709410548086926,0.8745053090378249,155.558,155.558,3136460.0,5.099999999999994,2024,3,1
AMZN,Amazon,2024-03-11,174.31,174.47,171.47,171.96,28484800,0.0,0.0,171.96,171.96,28484800.0,3.0,2024,3,1
AMZN,Amazon,2024-03-12,173.5,176.76,171.98,175.39,36610600,1.9946499185857047,1.4104304835251467,173.675,173.675,32547700.0,4.780000000000001,2024,3,1
