ticker,company,sector_name,sector_code,year,quarter,avg_return,total_volatility,correlation_gdp,correlation_inflation,currency_impact,sector_rank,sector_avg_return,outperforming_sector,recession_resilience_score
601336.SS,New York Life Insurance,"Insurance: Life, Health (Mutual)",INSU,2021,1,-0.235918793007876,127.71355924255373,0,0,0,3.0,0.019266785545470785,0,0.0
601336.SS,New York Life Insurance,"Insurance: Life, Health (Mutual)",INSU,2021,2,-0.07858998046322417,110.76857071414494,0,0,0,2.0,0.00035310955876198996,0,0.0
601336.SS,New York Life Insurance,"Insurance: Life, Health (Mutual)",INSU,2021,3,-0.13962613108949343,109.54608760879657,0,0,0,3.0,-0.05796992421053862,0,0.0
601336.SS,New York Life Insurance,"Insurance: Life, Health (Mutual)",INSU,2021,4,-0.04318469046368168,91.08832238753354,0,0,0,3.0,0.10597046922841367,0,0.0
ABBV,AbbVie,Pharmaceuticals,PHAR,2021,1,0.07443364062110779,87.1587643964716,0,0,0,2.0,-0.033354126861832645,1,0.0
ABBV,AbbVie,Pharmaceuticals,PHAR,2021,2,0.0874797793770082,72.06067678779718,0,0,0,3.0,0.14985369702620663,0,0.0
ABBV,AbbVie,Pharmaceuticals,PHAR,2021,3,-0.041596700539905794,72.68159033687168,0,0,0,4.0,-0.02630148659716457,0,0.0
ABBV,AbbVie,Pharmaceuticals,PHAR,2021,4,0.393058669397331,76.31600124211789,0,0,0,1.0,0.11119205544735741,1,0.0
ABT,Abbott Laboratories,Medical Products and Equipment,MEDI,2021,1,0.1716566761949502,87.36194386638724,0,0,0,1.0,0.1716566761949502,0,0.0
ABT,Abbott Laboratories,Medical Products and Equipment,MEDI,2021,2,-0.03346092447889242,94.45373214146561,0,0,0,1.0,-0.03346092447889242,0,0.0
ABT,Abbott Laboratories,Medical Products and Equipment,MEDI,2021,3,0.03925469445700856,63.992874040630106,0,0,0,1.0,0.03925469445700856,0,0.0
ABT,Abbott Laboratories,Medical Products and Equipment,MEDI,2021,4,0.2947277001270774,76.16619930913357,0,0,0,1.0,0.2947277001270774,0,0.0
ACI,Albertsons,Food & Drug Stores,FOOD,2021,1,0.23038812200719638,168.29404684996916,0,0,0,1.0,0.2259008274378691,1,0.0
ACI,Albertsons,Food & Drug Stores,FOOD,2021,2,0.07573563195883452,138.6182983433183,0,0,0,2.0,0.09696334751614855,0,0.0
ACI,Albertsons,Food & Drug Stores,FOOD,2021,3,0.7823612033262506,188.2153408692936,0,0,0,1.0,0.44498481398303713,1,0.0
ACI,Albertsons,Food & Drug Stores,FOOD,2021,4,0.0030606075737374915,193.7425534489833,0,0,0,2.0,0.10629748996288162,0,0.0
ADM,Archer Daniels Midland,Food Production,FOOD,2021,1,0.24287872990406334,99.67891660386964,0,0,0,2.0,0.26193599244367394,0,0.0
