company,ticker,date,open,high,low,close,volume
"Wal-Mart Stores, Inc.",WMT,2013-03-22,19.04,19.28,19.02,19.28,21971400
Exxon Mobil Corporation,XOM,2013-03-22,52.54,53.07,52.49,53.07,10786600
Chevron Corporation,CVX,2013-03-22,70.89,71.33,70.78,71.2,5190700
Phillips 66,PSX,2013-03-22,43.0,43.52,42.91,43.37,2650400
General Motors Company,GM,2013-03-22,21.38,21.45,20.89,21.09,12673300
General Electric Company,GE,2013-03-22,90.15,90.46,89.99,90.34,6386333
Valero Energy Corporation,VLO,2013-03-22,25.41,25.64,25.29,25.42,7874831
Ford Motor Company,F,2013-03-22,6.99,7.03,6.97,7.0,21423900
AT&T Inc.,ATT.L,2013-03-22,37.23,37.49,37.1,37.1,64010
Fannie Mae,FNMA,2013-03-22,0.74,0.95,0.68,0.79,54637800
CVS Caremark Corporation,CVS,2013-03-22,39.01,39.39,39.01,39.36,5230000
McKesson Corporation,MCK,2013-03-22,97.63,98.46,97.51,98.39,947000
Verizon Communications Inc.,VZ,2013-03-22,25.67,25.79,25.56,25.72,9484700
UnitedHealth Group Incorporated,UNH,2013-03-22,45.24,45.37,44.49,44.68,5415900
J.P. Morgan Chase & Co.,JPM,2013-03-22,34.46,34.72,34.25,34.56,22791500
"Cardinal Health, Inc.",CAH,2013-03-22,29.84,30.12,29.66,29.93,7759800
International Business Machines Corporation,IBM,2013-03-22,123.57,124.13,123.23,123.5,3170949
Bank of America Corporation,BAC,2013-03-22,9.97,10.01,9.86,9.93,101974400
Costco Wholesale Corporation,COST,2013-03-22,81.79,83.11,81.78,83.1,2036100
The Kroger Company,KR,2013-03-22,12.6,12.82,12.58,12.76,7477600
Express Scripts Holding Company,ESH.BE,2013-03-22,8.35,8.35,8.35,8.35,0
Wells Fargo & Company,WFC,2013-03-22,26.05,26.13,25.93,26.0,15646600
Citigroup Inc.,C,2013-03-22,33.86,33.87,33.43,33.64,26449100
"Prudential Financial, Inc.",PRU,2013-03-22,34.87,35.05,34.64,34.96,2350600
The Boeing Company,BA,2013-03-22,71.28,71.77,71.28,71.53,2841600
Freddie Mac,FMCC,2013-03-22,0.73,0.92,0.72,0.78,22051300
Marathon Petroleum Corporation,MPC,2013-03-22,30.79,31.63,30.7,31.29,5065400
"The Home Depot, Inc.",THD,2013-03-22,62.4,62.4,61.97,62.1,572300
Microsoft Corporation,MSFT,2013-03-22,22.89,23.01,22.82,22.94,28720900
Target Corporation,TGT,2013-03-22,46.92,47.27,46.78,47.04,3167100
"American International Group, Inc.",AIG,2013-03-22,28.87,29.03,28.66,28.79,12525900
"MetLife, Inc.",MET,2013-03-22,22.56,22.65,22.44,22.64,12729090
Johnson & Johnson,JNJ,2013-03-22,55.8,56.24,55.73,56.24,6873100
Caterpillar Inc.,CAT,2013-03-22,62.66,63.1,62.63,63.0,5115500
"PepsiCo, Inc.",PEP,2013-03-22,53.04,54.78,52.98,54.35,14228500
ConocoPhillips,COP,2013-03-22,39.98,39.98,39.7,39.85,6440800
Comcast Corporation,CMCSA,2013-03-22,15.3,15.52,15.25,15.52,19189800
Pfizer Inc.,PFIZER.NS,2013-03-22,663.48,663.52,644.29,659.17,4415
The Dow Chemical Company,TDC,2013-03-22,56.95,57.24,56.84,57.13,2532400
"United Parcel Service, Inc.",UPS,2013-03-22,53.57,54.57,53.55,54.51,4667000
Intel Corporation,INTC,2013-03-22,15.29,15.42,15.24,15.42,30803200
"Lowe's Companies, Inc.",LOW,2013-03-22,30.21,30.22,29.9,30.13,7641400
"Merck & Co., Inc.",MRK,2013-03-22,28.32,28.48,28.28,28.34,10463232
Lockheed Martin Corporation,LMT,2013-03-22,64.89,65.36,64.63,64.95,1560400
"Cisco Systems, Inc.",CSCO,2013-03-22,14.14,14.23,13.98,14.02,39902900
"Best Buy Co., Inc.",BBY,2013-03-22,14.73,14.99,14.24,14.86,15684100
FedEx Corporation,FDX,2013-03-22,82.3,83.89,82.27,83.54,5379400
Enterprise Products Partners L.P.,EPD,2013-03-22,12.64,12.87,12.61,12.8,2153600
Sysco Corporation,SYY,2013-03-22,24.44,24.74,24.42,24.73,4249500
The Walt Disney Company,DIS,2013-03-22,50.66,51.06,50.54,50.77,5500200
"Johnson Controls, Inc.",JCI,2013-03-22,21.81,22.0,21.76,21.99,2731491
"The Goldman Sachs Group, Inc.",TGS,2013-03-22,1.26,1.29,1.26,1.29,17900
Abbott Laboratories,ABT,2013-03-22,26.26,26.41,26.13,26.41,5058700
Sears Holdings Corporation,SRSCQ,2013-03-22,5.34,5.41,5.33,5.41,4228
World Fuel Services Corporation,WFK.BE,2013-03-22,25.61,25.61,25.61,25.61,0
"Plains All American Pipeline, L.P.",PAA,2013-03-22,22.21,22.73,22.17,22.43,1350500
Honeywell International Inc.,HON,2013-03-22,51.68,51.95,51.57,51.92,4012431
"United Continental Holdings, Inc.",UAL,2013-03-22,32.32,32.48,31.73,31.87,3290400
Oracle Corporation,ORCL,2013-03-22,26.94,27.02,26.3,26.59,64333500
Liberty Mutual Holding Company Inc.,LBTYA,2013-03-22,15.1,15.47,15.09,15.33,8516223
"Delta Air Lines, Inc.",DAL,2013-03-22,14.72,14.72,14.34,14.44,10148700
Deere & Company,DE,2013-03-22,68.59,69.39,68.55,68.87,2693600
Sprint Nextel Corporation,SIX.AX,2013-03-22,0.77,0.77,0.77,0.77,0
"Mondelez International, Inc.",MDLZ,2013-03-22,22.32,22.93,22.29,22.64,34327300
New York Life Insurance Company,601336.SS,2013-03-22,18.74,18.97,18.59,18.85,7112901
American Express Company,AXP,2013-03-22,54.93,55.57,54.89,55.46,3860600
The Allstate Corporation,ALL,2013-03-22,36.74,36.92,36.56,36.89,2147800
"Tyson Foods, Inc.",TSN,2013-03-22,18.56,18.67,18.49,18.65,2182900
Morgan Stanley,MS,2013-03-22,16.19,16.35,16.0,16.18,16558900
General Dynamics Corporation,GD,2013-03-22,52.06,52.28,51.95,52.17,1138700
Philip Morris International Inc.,PM,2013-03-22,48.78,49.3,48.7,49.11,13665900
