company,ticker,date,open,high,low,close,volume
Walmart,WMT,2025-10-14,104.05,107.92,102.89,107.21,30859500
Amazon,AMZN,2025-10-14,215.56,219.32,212.6,216.39,45665600
UnitedHealth,UNH,2025-10-14,354.95,362.33,353.4,359.93,5974800
Apple,APLE,2025-10-14,11.16,11.56,10.85,11.53,3120600
CVS Health,CVS,2025-10-14,77.67,79.29,77.12,79.01,12540000
Alphabet,GOOGL,2025-10-14,241.23,247.12,240.51,245.45,22111600
Exxon Mobil,XOM,2025-10-14,109.8,111.98,109.75,111.32,11167200
McKesson,MCK,2025-10-14,773.0,783.89,762.25,781.9,666500
Cencora,COR,2025-10-14,318.43,318.87,313.98,317.41,727400
JPMorgan Chase,JPM,2025-10-14,305.84,307.0,294.21,302.08,16178800
Costco,COST,2025-10-14,938.93,946.08,934.63,945.17,1925900
Cigna,CI,2025-10-14,296.33,303.88,296.12,302.13,1073900
Microsoft,MSFT,2025-10-14,509.28,514.32,505.05,512.61,14684300
Cardinal Health,CAH,2025-10-14,154.34,154.45,151.87,154.19,2316400
Chevron,CVX,2025-10-14,148.16,151.77,148.01,150.71,6419400
Bank of America,BAC,2025-10-14,48.85,50.5,48.53,50.09,42462600
General Motors,GM,2025-10-14,54.51,57.25,54.33,57.15,9005000
Ford Motor,F,2025-10-14,11.25,11.63,11.21,11.52,89117900
Elevance Health,ELV,2025-10-14,345.12,351.43,344.37,350.48,1638300
Citi,CITI.NE,2025-10-14,39.62,41.86,39.62,41.42,8909
Meta,META,2025-10-14,707.78,715.55,699.33,708.65,8829800
Centene,CNC,2025-10-14,35.83,36.66,35.28,36.44,7002800
Home Depot,HD,2025-10-14,378.87,388.89,378.01,387.72,4399900
Fannie Mae,FNMA,2025-10-14,11.0,11.03,9.75,10.33,16801800
Kroger,KR,2025-10-14,67.58,69.14,66.84,68.76,5987500
Phillips 66,PSX,2025-10-14,127.06,131.85,126.59,129.74,1941300
Marathon Petroleum,MPC,2025-10-14,180.5,185.16,180.34,182.2,1389600
Verizon,VZ,2025-10-14,39.8,40.58,39.76,40.55,22346100
Nvidia,NVDA,2025-10-14,184.77,184.8,179.7,180.03,205641400
Goldman Sachs,GSBD,2025-10-14,9.74,10.01,9.74,9.99,772100
Wells Fargo,WFC,2025-10-14,82.09,85.61,79.97,84.12,36260600
Valero Energy,VLO,2025-10-14,158.11,162.63,158.11,161.17,1953400
Comcast,CMCSA,2025-10-14,29.45,30.11,29.41,29.99,23398700
Allstate,ALL,2025-10-14,206.57,209.91,206.33,209.52,994800
AT&T,ATT.L,2025-10-14,495.0,495.96,483.27,492.0,2238357
Freddie Mac,FMCC,2025-10-14,10.35,10.36,8.89,9.83,8894200
Humana,HUM.ST,2025-10-14,41.2,42.35,41.2,42.25,36473
Morgan Stanley,MS,2025-10-14,153.57,156.17,150.96,154.4,8023800
Target,TGT,2025-10-14,85.45,88.29,85.28,87.85,6352300
StoneX,SNEX,2025-10-14,96.2,98.77,95.36,98.33,329800
Tesla,TSLA,2025-10-14,426.79,434.2,417.86,429.24,72669400
Dell Technologies,DELL,2025-10-14,149.45,152.02,147.57,148.24,7096400
PepsiCo,PEP,2025-10-14,148.69,151.62,148.5,151.54,8371100
Walt Disney,DIS,2025-10-14,109.65,111.84,109.2,111.17,7898000
UPS,UPS,2025-10-14,81.09,82.86,80.6,82.61,6306800
Johnson & Johnson,JNJ,2025-10-14,192.92,194.4,185.88,190.85,13613300
FedEx,FDX,2025-10-14,228.0,235.1,227.01,234.67,1227700
Archer Daniels Midland,ADM,2025-10-14,60.24,61.87,57.93,61.33,6127600
Procter & Gamble,PG,2025-10-14,146.55,148.21,146.06,148.12,8585300
Lowe's,X1G.PA,2025-10-14,233.52,233.69,233.52,233.73,203
Energy Transfer,ET,2025-10-14,15.96,16.24,15.96,16.2,11760400
RTX,RTX,2025-10-14,157.58,159.95,156.67,158.77,3590500
Albertsons,ACI,2025-10-14,18.31,19.35,17.56,19.11,23622400
Sysco,SYY,2025-10-14,78.41,80.19,78.17,80.14,2025500
Progressive,PGR,2025-10-14,236.37,241.01,236.3,240.4,2680400
American Express,AXP,2025-10-14,321.61,336.33,320.5,332.85,2810400
Lockheed Martin,LMT,2025-10-14,501.25,507.0,499.0,505.18,1078000
MetLife,MET,2025-10-14,79.62,82.6,79.53,82.3,2652000
HCA Healthcare,HCA,2025-10-14,410.0,420.58,407.7,418.4,1523000
Prudential Financial,PRU,2025-10-14,99.29,103.0,99.24,102.35,1788500
Boeing,BA,2025-10-14,213.54,217.95,212.24,214.3,5975700
Caterpillar,CAT,2025-10-14,499.15,530.04,497.58,525.96,5459800
Merck,MRK,2025-10-14,85.38,85.68,84.15,84.7,9675000
Pfizer,PFIZER.NS,2025-10-14,5498.0,5540.0,5366.5,5390.0,18906
IBM,IBM,2025-10-14,274.01,276.01,271.06,274.64,3058100
New York Life Insurance,601336.SS,2025-10-14,66.0,67.0,64.97,65.5,62087173
Delta Airlines,DAL,2025-10-14,57.62,61.61,57.5,61.08,10945000
TD Synnex,SNX,2025-10-14,151.84,155.75,151.67,154.56,601300
United Airlines,UAL,2025-10-14,97.5,103.85,97.2,103.15,6591800
ConocoPhillips,COP,2025-10-14,86.1,88.07,85.95,87.36,6003900
TJX,TJX,2025-10-14,141.0,143.94,140.75,143.69,4431800
AbbVie,ABBV,2025-10-14,226.44,229.0,225.88,227.49,5527600
Enterprise Products Partners,EPD,2025-10-14,30.17,30.35,29.96,30.26,4325100
Charter Communications,CHTR,2025-10-14,258.99,268.77,258.88,266.25,1360700
Performance Food,PFGC,2025-10-14,101.18,103.65,101.18,103.52,942300
