company,ticker,date,open,high,low,close,volume
"Wal-Mart Stores, Inc.",WMT,2000-04-27,12.3,12.47,12.06,12.31,16545000
Exxon Mobil Corporation,XOM,2000-04-27,17.64,17.93,17.42,17.88,9662200
Ford Motor Company,F,2000-04-27,12.14,12.21,11.85,12.21,8152206
General Electric Company,GE,2000-04-27,139.27,140.52,137.26,140.14,4220650
International Business Machines Corporation,IBM,2000-04-27,54.25,56.05,53.85,54.81,6608105
"Citigroup, Inc.",C,2000-04-27,241.89,244.1,237.21,242.38,1119120
AT&T Corp.,ATT.L,2000-04-27,48.3,48.3,48.3,48.3,0
Philip Morris Companies Inc.,TABAK.PR,2000-04-27,606.75,606.75,606.75,606.75,14
The Boeing Company,BA,2000-04-27,25.87,26.07,25.22,25.79,3176700
Bank of America Corporation,BAC,2000-04-27,13.17,13.46,13.05,13.36,8961400
The Kroger Company,KR,2000-04-27,6.56,6.82,6.56,6.71,6121400
"American International Group,Inc.",AIG,2000-04-27,890.88,902.73,871.62,873.59,235965
Fannie Mae,FNMA,2000-04-27,51.75,51.81,50.11,51.75,2814400
Morgan Stanley Dean Witter & Co.,MS,2000-04-27,37.7,39.41,37.33,39.41,3252400
Target,TGT,2000-04-27,20.56,20.72,19.99,20.08,2492800
"Merck & Co., Inc.",MRK,2000-04-27,26.92,27.44,26.75,27.01,5916274
Chevron Corporation,CVX,2000-04-27,16.52,17.04,16.52,16.93,2895600
"Motorola, Inc.",MSI,2000-04-27,97.74,100.27,96.57,98.58,3887688
McKesson HBOC Inc.,MCK,2000-04-27,13.79,14.26,13.59,13.95,2694600
Intel Corporation,INTC,2000-04-27,33.4,35.96,33.24,35.6,61088400
Johnson & Johnson,JNJ,2000-04-27,21.09,21.38,20.98,21.28,4756600
Costco Wholesale Corporation,COST,2000-04-27,35.41,37.75,34.49,37.45,5615600
Time Warner Inc.,T,2000-04-27,5.97,6.04,5.87,5.9,9482488
"United Parcel Service of America, Inc.",UPS,2000-04-27,31.69,32.2,31.54,31.9,689400
The Allstate Corporation,ALL,2000-04-27,12.42,12.42,12.08,12.22,1763400
Lockheed Martin Corporation,LMT,2000-04-27,12.58,12.81,12.25,12.51,1761100
"Goldman Sachs Group, Inc.",GS,2000-04-27,64.06,67.38,63.27,66.64,1772400
"Cardinal Health, Inc.",CAH,2000-04-27,16.5,17.14,16.35,16.7,1888350
ConAgra,CAG,2000-04-27,6.09,6.13,6.01,6.05,1346295
International Paper Company,IP,2000-04-27,14.17,14.36,14.12,14.19,2265244
Freddie Mac,FMCC,2000-04-27,40.82,40.82,38.22,40.15,2542500
"AutoNation, Inc.",AN,2000-04-27,7.56,8.18,7.5,7.79,1101900
Honeywell International Inc.,HON,2000-04-27,27.31,28.41,27.21,27.84,2367016
The Walt Disney Company,DIS,2000-04-27,32.15,32.15,31.11,31.68,4674810
First Union Corporation,FHN,2000-04-27,9.16,9.16,8.9,8.99,272949
Wells Fargo & Co.,WFC,2000-04-27,10.43,10.52,10.32,10.43,9294800
Duke Energy Corporation,DUK,2000-04-27,16.05,16.07,15.75,15.92,1349395
American Express Company,AXP,2000-04-27,31.45,32.0,30.93,31.96,8248372
Loews Corporation,L,2000-04-27,7.63,7.65,7.49,7.56,1945200
Conoco,COP,2000-04-27,8.33,8.39,8.27,8.3,2013599
CIGNA Corporation,CI,2000-04-27,22.8,22.91,22.05,22.33,1970100
"PepsiCo, Inc.",PEP,2000-04-27,19.38,19.61,19.19,19.55,2825500
Microsoft Corporation,MSFT,2000-04-27,20.6,21.36,20.58,21.32,77669800
"Caterpillar, Inc.",CAT,2000-04-27,10.43,10.61,10.21,10.53,2903600
"UnitedHealth Group, Incorporated",UNH,2000-04-27,6.61,6.69,6.53,6.55,7212800
Xerox Corporation,XRX,2000-04-27,31.66,32.02,30.94,31.16,1397319
Electronic Data Systems Corporation,EA,2000-04-27,14.04,15.63,13.14,14.96,8215200
J.P. Morgan & Co. Incorporated,JPM,2000-04-27,23.98,24.1,23.4,23.58,9298200
CVS Corporation,CVS,2000-04-27,14.15,14.25,14.05,14.15,3002000
"Federated Department Stores, Inc.",FHI,2000-04-27,6.11,6.12,6.02,6.09,54600
Sysco Corporation,SYY,2000-04-27,10.02,10.15,9.79,9.84,2091000
