company,ticker,date,open,high,low,close,volume
Ford Motor Company,F,1998-02-10,7.26,7.34,7.25,7.25,8581938
Exxon Corporation,XOM,1998-02-10,13.14,13.18,13.05,13.15,5364000
"Wal-Mart Stores, Inc.",WMT,1998-02-10,4.54,4.57,4.53,4.55,17338800
General Electric Company,GE,1998-02-10,64.93,66.3,64.72,65.3,2675778
International Business Machines Corporation,IBM,1998-02-10,24.03,25.1,23.89,24.72,17079716
AT&T Corp.,ATT.L,1998-02-10,11.4,11.4,11.4,11.4,0
The Boeing Company,BA,1998-02-10,29.33,30.74,29.33,30.58,5252000
Travelers Group Inc.,TRV,1998-02-10,21.94,21.97,21.76,21.8,844000
Chevron Corporation,CVX,1998-02-10,13.66,13.71,13.41,13.53,4659600
"American International Group,Inc.",AIG,1998-02-10,474.79,484.23,472.96,481.87,142031
"Motorola, Inc.",MSI,1998-02-10,52.64,54.62,52.33,54.1,2783304
"PepsiCo, Inc.",PEP,1998-02-10,18.12,18.41,17.97,17.97,5350700
Lockheed Martin Corporation,LMT,1998-02-10,27.42,27.89,27.42,27.54,1572000
Fannie Mae,FNMA,1998-02-10,49.89,50.24,49.15,49.4,1979800
"Morgan Stanley, Dean Witter, Discover & Co.",MSD,1998-02-10,1.24,1.25,1.23,1.25,58300
The Kroger Company,KR,1998-02-10,7.0,7.11,6.93,7.08,7165600
Intel Corporation,INTC,1998-02-10,12.1,12.43,12.04,12.21,59575200
The Allstate Corporation,ALL,1998-02-10,23.85,24.08,23.76,23.95,1884000
"ConAgra, Inc.",CAG,1998-02-10,9.62,9.65,9.23,9.31,1240925
"Merck & Co., Inc.",MRK,1998-02-10,21.24,21.47,21.13,21.41,6192213
Johnson & Johnson,JNJ,1998-02-10,17.19,17.45,17.19,17.39,3603400
The Walt Disney Company,DIS,1998-02-10,26.89,27.25,26.6,27.1,3398682
CIGNA Corporation,CI,1998-02-10,16.48,16.48,16.17,16.27,1215900
Loews Corporation,L,1998-02-10,13.94,13.95,13.8,13.82,1286400
American Express Company,AXP,1998-02-10,17.24,17.8,17.24,17.57,4357249
"Caterpillar, Inc.",CAT,1998-02-10,13.05,13.24,12.8,12.84,3526800
Xerox Corporation,XRX,1998-02-10,47.16,47.3,46.47,46.85,822149
J.P. Morgan & Co. Incorporated,JPM,1998-02-10,18.23,18.34,18.1,18.2,6259800
Duke Energy Corporation,DUK,1998-02-10,13.96,14.02,13.82,13.85,784489
Electronic Data Systems Corporation,EA,1998-02-10,8.76,9.31,8.76,9.28,15524400
Sysco Corporation,SYY,1998-02-10,5.98,6.01,5.94,5.98,1004800
Federal Home Loan Mortgage Corp.,FMCC,1998-02-10,37.39,37.54,36.02,36.63,1355900
First Union Corporation,FHN,1998-02-10,13.86,14.14,13.86,13.86,661905
Archer Daniels Midland Company,ADM,1998-02-10,10.06,10.17,9.94,9.97,1401965
Ashland Inc.,ASH,1998-02-10,12.15,12.31,12.12,12.29,884642
