company,ticker,date,open,high,low,close,volume
"Wal-Mart Stores, Inc.",WMT,2004-07-27,11.6,11.81,11.58,11.8,28904700
Exxon Mobil Corporation,XOM,2004-07-27,22.25,22.32,22.17,22.3,10804000
Ford Motor Company,F,2004-07-27,6.96,7.03,6.93,7.01,5080600
General Electric Company,GE,2004-07-27,92.45,93.59,92.31,93.3,3611210
ConocoPhillips,COP,2004-07-27,14.39,14.57,14.3,14.53,6844925
"Citigroup, Inc.",C,2004-07-27,268.5,269.11,265.76,267.28,1369670
International Business Machines Corporation,IBM,2004-07-27,43.58,43.93,43.5,43.72,4287031
"American International Group,Inc.",AIG,2004-07-27,834.78,857.57,831.3,849.65,397795
Verizon Communications Inc.,VZ,2004-07-27,11.54,12.01,11.5,11.65,25987889
"Altria Group, Inc.",MO,2004-07-27,3.11,3.13,3.1,3.11,4358300
McKesson Corporation,MCK,2004-07-27,27.03,27.15,26.69,26.74,2108900
"Cardinal Health, Inc.",CAH,2004-07-27,20.48,20.7,19.54,20.02,19556200
The Kroger Company,KR,2004-07-27,5.65,5.71,5.58,5.61,7087200
Fannie Mae,FNMA,2004-07-27,62.62,63.11,62.41,62.64,2631900
The Boeing Company,BA,2004-07-27,32.88,33.58,32.72,33.49,2979300
Target Corporation,TGT,2004-07-27,26.18,26.97,26.15,26.9,4726700
Bank of America Corporation,BAC,2004-07-27,26.25,26.28,25.98,26.16,11091600
Pfizer Inc.,PFIZER.NS,2004-07-27,253.33,253.36,241.27,244.87,22462
J.P. Morgan Chase & Co.,JPM,2004-07-27,20.75,21.04,20.67,20.91,8491200
Time Warner Inc.,T,2004-07-27,4.23,4.36,4.21,4.28,21220940
Costco Wholesale Corporation,COST,2004-07-27,26.91,27.75,26.86,27.75,3967400
Johnson & Johnson,JNJ,2004-07-27,30.27,30.49,30.16,30.45,5083300
Valero Energy Corp,VLO,2004-07-27,9.16,9.36,9.0,9.32,11715427
MetLife Inc.,MET,2004-07-27,17.34,17.47,17.21,17.32,1680868
Morgan Stanley,MS,2004-07-27,25.1,25.77,25.08,25.65,4487200
AT&T,ATT.L,2004-07-27,17.05,17.05,17.05,17.05,0
"United Parcel Service, Inc.",UPS,2004-07-27,36.54,36.66,36.36,36.36,1864900
Microsoft Corporation,MSFT,2004-07-27,17.69,17.72,17.34,17.53,72968400
The Allstate Corporation,ALL,2004-07-27,27.82,28.05,27.75,27.91,2791400
Lockheed Martin Corporation,LMT,2004-07-27,28.29,29.01,28.26,28.92,2773500
Wells Fargo,WFC,2004-07-27,15.69,15.87,15.64,15.82,5767400
"Lowe's Companies, Inc.",LOW,2004-07-27,17.14,17.55,17.14,17.33,7077400
Intel Corporation,INTC,2004-07-27,13.36,13.5,13.24,13.4,87134700
"UnitedHealth Group, Incorporated",UNH,2004-07-27,24.92,24.92,23.5,24.06,16582800
Northrop Grumman Corporation,NOC,2004-07-27,30.59,30.81,30.3,30.71,1060210
"Prudential Financial, Inc.",PRU,2004-07-27,22.57,22.73,22.51,22.69,1349900
The Walt Disney Company,DIS,2004-07-27,18.17,18.28,18.08,18.17,5879372
"Motorola, Inc.",MSI,2004-07-27,42.05,42.08,40.72,41.28,4089980
"PepsiCo, Inc.",PEP,2004-07-27,28.53,28.59,28.11,28.2,4347900
CVS Corporation,CVS,2004-07-27,13.62,14.09,13.6,14.03,3928200
Sysco Corporation,SYY,2004-07-27,19.28,19.38,19.06,19.11,1596500
American Express Company,AXP,2004-07-27,31.47,31.72,31.47,31.69,7606306
International Paper Company,IP,2004-07-27,18.06,18.45,18.05,18.42,3252613
"Tyson Foods, Inc.",TSN,2004-07-27,13.14,13.43,13.07,13.31,1929800
"Goldman Sachs Group, Inc.",GS,2004-07-27,62.94,64.35,62.93,64.21,4131900
Duke Energy,DUK,2004-07-27,13.42,13.59,13.34,13.59,1713245
Honeywell International Inc.,HON,2004-07-27,20.37,20.71,20.3,20.71,4730248
"Caterpillar, Inc.",CAT,2004-07-27,21.46,21.47,21.13,21.33,6918000
Best Buy Co. Inc.,BBY,2004-07-27,17.38,17.99,17.38,17.87,4607100
"Johnson Controls, Inc.",JCI,2004-07-27,30.91,31.82,30.85,31.7,3593113
FedEx Corporation,FDX,2004-07-27,65.23,65.72,64.61,65.28,1268600
"Merck & Co., Inc.",MRK,2004-07-27,19.92,19.93,19.72,19.92,5450962
"ConAgra Foods, Incorporated",CAG,2004-07-27,9.79,9.8,9.65,9.68,2378921
"Alcoa, Inc.",AA,2004-07-27,55.98,58.36,55.6,57.97,2047399
Electronic Data Systems,EA,2004-07-27,49.57,49.63,48.55,49.41,4411000
Comcast Corporation,CMCSA,2004-07-27,6.52,6.58,6.45,6.58,27174900
Weyerhaeuser Company,WY,2004-07-27,10.9,11.27,10.86,11.23,1510300
Abbott Laboratories,ABT,2004-07-27,11.38,11.55,11.28,11.53,6266153
"AutoNation, Inc.",AN,2004-07-27,15.28,15.62,15.23,15.62,1182600
"The Williams Companies, Inc.",WMB,2004-07-27,3.98,4.07,3.96,4.04,2414377
"Cisco Systems, Inc.",CSCO,2004-07-27,13.38,13.52,13.17,13.47,59712700
