date,usd_inr_rate
2013-01-02,54.23
2013-01-03,54.46
2013-01-04,54.93
2013-01-07,55.2
2013-01-08,55.02
2013-01-09,54.79
2013-01-10,54.49
2013-01-11,54.81
2013-01-14,54.5
2013-01-15,54.58
2013-01-16,54.66
2013-01-17,54.35
2013-01-18,53.82
2013-01-22,53.72
2013-01-23,53.66
2013-01-24,53.67
2013-01-25,53.78
2013-01-28,53.97
2013-01-29,53.64
2013-01-30,53.21
2013-01-31,53.32
2013-02-01,53.16
2013-02-04,53.24
2013-02-05,52.99
2013-02-06,53.07
2013-02-07,53.22
2013-02-08,53.58
2013-02-11,53.95
2013-02-12,53.75
2013-02-13,53.79
2013-02-14,53.94
2013-02-15,54.28
2013-02-19,54.26
2013-02-20,54.18
2013-02-21,54.47
2013-02-22,54.28
2013-02-25,53.96
2013-02-26,54.14
2013-02-27,53.72
2013-02-28,54.37
2013-03-01,54.9
2013-03-04,54.92
2013-03-05,54.87
2013-03-06,54.83
2013-03-07,54.45
2013-03-08,54.32
2013-03-11,54.38
2013-03-12,54.19
2013-03-13,54.3
2013-03-14,54.22
2013-03-15,54.06
2013-03-18,54.1
2013-03-19,54.4
2013-03-20,54.32
2013-03-21,54.27
2013-03-22,54.3
2013-03-25,54.22
2013-03-26,54.42
2013-03-27,54.45
2013-03-28,54.44
2013-03-29,54.52
2013-04-01,54.28
2013-04-02,54.43
2013-04-03,54.46
2013-04-04,54.91
2013-04-05,54.75
2013-04-08,54.58
2013-04-09,54.47
2013-04-10,54.41
2013-04-11,54.36
2013-04-12,54.62
2013-04-15,54.48
2013-04-16,54.08
2013-04-17,54.16
2013-04-18,53.95
2013-04-19,53.98
2013-04-22,54.19
2013-04-23,54.39
2013-04-24,54.22
2013-04-25,54.11
2013-04-26,54.41
2013-04-29,54.2
2013-04-30,53.68
2013-05-01,53.65
2013-05-02,53.79
2013-05-03,53.8
2013-05-06,54.13
2013-05-07,54.06
2013-05-08,54.08
2013-05-09,54.34
2013-05-10,54.94
2013-05-13,54.85
2013-05-14,54.5
2013-05-15,54.78
2013-05-16,54.68
2013-05-17,55.17
2013-05-20,55.02
2013-05-21,55.42
2013-05-22,55.62
2013-05-23,55.7
2013-05-24,55.78
2013-05-28,56.07
2013-05-29,56.28
2013-05-30,56.5
2013-05-31,56.5
2013-06-03,56.66
2013-06-04,56.43
2013-06-05,56.84
2013-06-06,56.92
2013-06-07,56.57
2013-06-10,58.13
2013-06-11,58.34
2013-06-12,57.82
2013-06-13,58.07
2013-06-14,57.56
2013-06-17,57.97
2013-06-18,58.79
2013-06-19,58.7
2013-06-20,59.57
2013-06-21,59.43
2013-06-24,59.8
2013-06-25,59.66
2013-06-26,60.7
2013-06-27,60.19
2013-06-28,59.52
2013-07-01,59.38
2013-07-02,59.54
2013-07-03,60.21
2013-07-05,60.23
2013-07-08,60.75
2013-07-09,60.09
2013-07-10,59.88
2013-07-11,59.82
2013-07-12,59.88
2013-07-15,59.89
2013-07-16,59.29
2013-07-17,59.34
2013-07-18,59.59
2013-07-19,59.37
2013-07-22,59.71
2013-07-23,59.64
2013-07-24,59.14
2013-07-25,59.01
2013-07-26,59.08
2013-07-29,59.33
2013-07-30,60.8
2013-07-31,60.77
2013-08-01,60.45
2013-08-02,60.88
2013-08-05,60.88
2013-08-06,60.78
2013-08-07,61.2
2013-08-08,60.72
2013-08-09,60.34
2013-08-12,61.15
2013-08-13,61.33
2013-08-14,61.27
2013-08-15,61.41
2013-08-16,61.65
2013-08-19,63.13
2013-08-20,63.21
2013-08-21,64.11
2013-08-22,64.55
2013-08-23,63.22
2013-08-26,64.26
2013-08-27,66.24
2013-08-28,68.8
2013-08-29,66.55
2013-08-30,65.71
2013-09-03,67.71
2013-09-04,67.08
2013-09-05,66.01
2013-09-06,65.23
2013-09-09,65.24
2013-09-10,63.83
2013-09-11,63.26
2013-09-12,63.42
2013-09-13,63.36
2013-09-16,62.83
2013-09-17,63.36
2013-09-18,63.37
2013-09-19,61.76
2013-09-20,62.27
2013-09-23,62.57
2013-09-24,62.72
2013-09-25,62.2
2013-09-26,61.68
2013-09-27,62.48
2013-09-30,62.58
2013-10-01,62.46
2013-10-02,62.46
2013-10-03,61.97
2013-10-04,61.42
2013-10-07,61.79
2013-10-08,61.79
2013-10-09,61.92
2013-10-10,61.3
2013-10-11,61.07
2013-10-15,61.84
2013-10-16,61.72
2013-10-17,61.13
2013-10-18,61.26
2013-10-21,61.56
2013-10-22,61.64
2013-10-23,61.54
2013-10-24,61.48
2013-10-25,61.4
2013-10-28,61.54
2013-10-29,61.34
2013-10-30,61.09
2013-10-31,61.61
2013-11-01,61.84
2013-11-04,61.74
2013-11-05,61.76
2013-11-06,62.48
2013-11-07,62.41
2013-11-08,62.48
2013-11-12,63.73
2013-11-13,63.28
2013-11-14,63.12
2013-11-15,62.97
2013-11-18,62.07
2013-11-19,62.26
2013-11-20,62.34
2013-11-21,62.94
2013-11-22,62.72
2013-11-25,62.37
2013-11-26,62.47
2013-11-27,62.47
2013-11-29,62.39
2013-12-02,62.3
2013-12-03,62.38
2013-12-04,61.9
2013-12-05,61.6
2013-12-06,61.43
2013-12-09,60.87
2013-12-10,61.04
2013-12-11,61.38
2013-12-12,61.85
2013-12-13,62.16
2013-12-16,61.68
2013-12-17,61.92
2013-12-18,62.06
2013-12-19,62.14
2013-12-20,61.98
2013-12-23,61.83
2013-12-24,61.75
2013-12-26,62.15
2013-12-27,61.92
2013-12-30,61.77
2013-12-31,61.92
