date,usd_inr_rate
2003-01-02,48.05
2003-01-03,48.03
2003-01-06,48.01
2003-01-07,48.0
2003-01-08,48.0
2003-01-09,47.96
2003-01-10,48.0
2003-01-13,47.96
2003-01-14,47.95
2003-01-15,47.97
2003-01-16,47.96
2003-01-17,47.96
2003-01-21,47.97
2003-01-22,47.93
2003-01-23,47.92
2003-01-24,47.9
2003-01-27,48.1
2003-01-28,47.92
2003-01-29,47.83
2003-01-30,47.85
2003-01-31,47.83
2003-02-03,47.8
2003-02-04,47.82
2003-02-05,47.77
2003-02-06,47.8
2003-02-07,47.72
2003-02-10,47.69
2003-02-11,47.7
2003-02-12,47.89
2003-02-13,47.87
2003-02-14,47.92
2003-02-18,47.75
2003-02-19,47.7
2003-02-20,47.65
2003-02-21,47.65
2003-02-24,47.74
2003-02-25,47.74
2003-02-26,47.67
2003-02-27,47.66
2003-02-28,47.66
2003-03-03,47.7
2003-03-04,47.85
2003-03-05,47.8
2003-03-06,47.63
2003-03-07,47.8
2003-03-10,47.7
2003-03-11,47.64
2003-03-12,47.65
2003-03-13,47.66
2003-03-14,47.66
2003-03-17,47.68
2003-03-18,47.68
2003-03-19,47.72
2003-03-20,47.75
2003-03-21,47.66
2003-03-24,47.68
2003-03-25,47.64
2003-03-26,47.64
2003-03-27,47.59
2003-03-28,47.55
2003-03-31,47.53
2003-04-01,47.45
2003-04-02,47.4
2003-04-03,47.43
2003-04-04,47.44
2003-04-07,47.44
2003-04-08,47.46
2003-04-09,47.45
2003-04-10,47.4
2003-04-11,47.38
2003-04-14,47.44
2003-04-15,47.36
2003-04-16,47.38
2003-04-17,47.34
2003-04-18,47.34
2003-04-21,47.38
2003-04-22,47.34
2003-04-23,47.35
2003-04-24,47.36
2003-04-25,47.37
2003-04-28,47.35
2003-04-29,47.37
2003-04-30,47.37
2003-05-01,47.35
2003-05-02,47.35
2003-05-05,47.3
2003-05-06,47.28
2003-05-07,47.28
2003-05-08,47.25
2003-05-09,47.2
2003-05-12,47.18
2003-05-13,47.15
2003-05-14,47.15
2003-05-15,47.13
2003-05-16,47.12
2003-05-19,46.99
2003-05-20,46.95
2003-05-21,46.9
2003-05-22,46.91
2003-05-23,46.87
2003-05-27,46.85
2003-05-28,46.98
2003-05-29,47.05
2003-05-30,47.07
2003-06-02,47.15
2003-06-03,46.95
2003-06-04,46.85
2003-06-05,46.84
2003-06-06,46.88
2003-06-09,46.87
2003-06-10,46.79
2003-06-11,46.7
2003-06-12,46.73
2003-06-13,46.7
2003-06-16,46.66
2003-06-17,46.59
2003-06-18,46.62
2003-06-19,46.61
2003-06-20,46.57
2003-06-23,46.66
2003-06-24,46.57
2003-06-25,46.58
2003-06-26,46.57
2003-06-27,46.4
2003-06-30,46.4
2003-07-01,46.49
2003-07-02,46.36
2003-07-03,46.4
2003-07-07,46.34
2003-07-08,46.3
2003-07-09,46.24
2003-07-10,46.21
2003-07-11,46.1
2003-07-14,46.06
2003-07-15,46.13
2003-07-16,46.23
2003-07-17,46.23
2003-07-18,46.29
2003-07-21,46.27
2003-07-22,46.15
2003-07-23,46.16
2003-07-24,46.15
2003-07-25,46.15
2003-07-28,46.15
2003-07-29,46.13
2003-07-30,46.15
2003-07-31,46.15
2003-08-01,46.18
2003-08-04,46.15
2003-08-05,46.14
2003-08-06,46.05
2003-08-07,45.98
2003-08-08,46.01
2003-08-11,45.99
2003-08-12,45.89
2003-08-13,45.95
2003-08-14,46.0
2003-08-15,46.0
2003-08-18,45.9
2003-08-19,45.85
2003-08-20,45.88
2003-08-21,45.8
2003-08-22,45.88
2003-08-25,45.9
2003-08-26,45.88
2003-08-27,45.88
2003-08-28,45.88
2003-08-29,45.88
2003-09-02,45.88
2003-09-03,45.9
2003-09-04,45.8
2003-09-05,45.88
2003-09-08,45.85
2003-09-09,45.8
2003-09-10,45.82
2003-09-11,45.72
2003-09-12,45.8
2003-09-15,45.8
2003-09-16,45.9
2003-09-17,45.95
2003-09-18,46.0
2003-09-19,45.98
2003-09-22,45.77
2003-09-23,45.77
2003-09-24,45.88
2003-09-25,45.88
2003-09-26,45.77
2003-09-29,45.85
2003-09-30,45.78
2003-10-01,45.7
2003-10-02,45.43
2003-10-03,45.33
2003-10-06,45.49
2003-10-07,45.33
2003-10-08,45.43
2003-10-09,45.29
2003-10-10,45.42
2003-10-14,45.66
2003-10-15,45.7
2003-10-16,45.33
2003-10-17,45.33
2003-10-20,45.36
2003-10-21,45.33
2003-10-22,45.35
2003-10-23,45.33
2003-10-24,45.32
2003-10-27,45.4
2003-10-28,45.31
2003-10-29,45.36
2003-10-30,45.35
2003-10-31,45.33
2003-11-03,45.32
2003-11-04,45.31
2003-11-05,45.34
2003-11-06,45.3
2003-11-07,45.33
2003-11-10,45.33
2003-11-12,45.36
2003-11-13,45.39
2003-11-14,45.44
2003-11-17,45.55
2003-11-18,45.62
2003-11-19,45.63
2003-11-20,45.78
2003-11-21,45.75
2003-11-24,45.88
2003-11-25,45.95
2003-11-26,45.88
2003-11-28,45.82
2003-12-01,45.77
2003-12-02,45.7
2003-12-03,45.63
2003-12-04,45.66
2003-12-05,45.66
2003-12-08,45.55
2003-12-09,45.55
2003-12-10,45.55
2003-12-11,45.55
2003-12-12,45.55
2003-12-15,45.55
2003-12-16,45.5
2003-12-17,45.55
2003-12-18,45.5
2003-12-19,45.54
2003-12-22,45.52
2003-12-23,45.52
2003-12-24,45.5
2003-12-26,45.5
2003-12-29,45.66
2003-12-30,45.57
2003-12-31,45.55
