date,usd_inr_rate
2023-01-03,82.86
2023-01-04,82.72
2023-01-05,82.57
2023-01-06,82.72
2023-01-09,82.36
2023-01-10,81.6
2023-01-11,81.6
2023-01-12,81.19
2023-01-13,81.31
2023-01-17,81.57
2023-01-18,81.33
2023-01-19,81.28
2023-01-20,80.99
2023-01-23,81.41
2023-01-24,81.53
2023-01-25,81.49
2023-01-26,81.59
2023-01-27,81.54
2023-01-30,81.47
2023-01-31,81.69
2023-02-01,81.73
2023-02-02,82.03
2023-02-03,82.21
2023-02-06,82.77
2023-02-07,82.81
2023-02-08,82.65
2023-02-09,82.44
2023-02-10,82.47
2023-02-13,82.72
2023-02-14,82.86
2023-02-15,82.78
2023-02-16,82.74
2023-02-17,82.73
2023-02-21,82.85
2023-02-22,82.78
2023-02-23,82.59
2023-02-24,82.97
2023-02-27,82.69
2023-02-28,82.57
2023-03-01,82.43
2023-03-02,82.41
2023-03-03,81.98
2023-03-06,81.77
2023-03-07,81.93
2023-03-08,81.86
2023-03-09,82.02
2023-03-10,81.93
2023-03-13,82.19
2023-03-14,82.25
2023-03-15,82.84
2023-03-16,82.63
2023-03-17,82.56
2023-03-20,82.55
2023-03-21,82.59
2023-03-22,82.66
2023-03-23,82.07
2023-03-24,82.34
2023-03-27,82.24
2023-03-28,82.17
2023-03-29,82.18
2023-03-30,82.34
2023-03-31,82.19
2023-04-03,82.24
2023-04-04,82.33
2023-04-05,81.89
2023-04-06,81.86
2023-04-07,81.85
2023-04-10,82.01
2023-04-11,82.04
2023-04-12,81.98
2023-04-13,81.65
2023-04-14,81.88
2023-04-17,81.98
2023-04-18,82.08
2023-04-19,82.18
2023-04-20,82.1
2023-04-21,82.06
2023-04-24,81.9
2023-04-25,81.92
2023-04-26,81.74
2023-04-27,81.84
2023-04-28,81.84
2023-05-01,81.84
2023-05-02,81.89
2023-05-03,81.83
2023-05-04,81.73
2023-05-05,81.81
2023-05-08,81.78
2023-05-09,82.04
2023-05-10,81.94
2023-05-11,82.13
2023-05-12,82.17
2023-05-15,82.3
2023-05-16,82.26
2023-05-17,82.39
2023-05-18,82.77
2023-05-19,82.65
2023-05-22,82.83
2023-05-23,82.84
2023-05-24,82.66
2023-05-25,82.76
2023-05-26,82.58
2023-05-30,82.67
2023-05-31,82.68
2023-06-01,82.41
2023-06-02,82.35
2023-06-05,82.67
2023-06-06,82.61
2023-06-07,82.5
2023-06-08,82.57
2023-06-09,82.46
2023-06-12,82.43
2023-06-13,82.38
2023-06-14,82.1
2023-06-15,82.18
2023-06-16,81.89
2023-06-20,82.11
2023-06-21,82.04
2023-06-22,81.93
2023-06-23,82.01
2023-06-26,82.0
2023-06-27,81.98
2023-06-28,82.0
2023-06-29,82.05
2023-06-30,82.06
2023-07-03,81.96
2023-07-05,82.34
2023-07-06,82.49
2023-07-07,82.74
2023-07-10,82.57
2023-07-11,82.39
2023-07-12,82.03
2023-07-13,82.04
2023-07-14,82.16
2023-07-17,82.03
2023-07-18,82.03
2023-07-19,82.09
2023-07-20,81.99
2023-07-21,81.99
2023-07-24,81.81
2023-07-25,81.87
2023-07-26,81.99
2023-07-27,82.15
2023-07-28,82.22
2023-07-31,82.24
2023-08-01,82.25
2023-08-02,82.58
2023-08-03,82.74
2023-08-04,82.83
2023-08-07,82.75
2023-08-08,82.85
2023-08-09,82.84
2023-08-10,82.69
2023-08-11,82.87
2023-08-14,83.17
2023-08-15,82.94
2023-08-16,83.19
2023-08-17,83.09
2023-08-18,83.14
2023-08-21,83.1
2023-08-22,82.94
2023-08-23,82.69
2023-08-24,82.57
2023-08-25,82.64
2023-08-28,82.6
2023-08-29,82.7
2023-08-30,82.73
2023-08-31,82.78
2023-09-01,82.69
2023-09-05,83.03
2023-09-06,83.14
2023-09-07,83.21
2023-09-08,82.93
2023-09-11,83.03
2023-09-12,82.86
2023-09-13,82.93
2023-09-14,83.02
2023-09-15,83.15
2023-09-18,83.27
2023-09-19,83.27
2023-09-20,83.07
2023-09-21,83.11
2023-09-22,82.95
2023-09-25,83.11
2023-09-26,83.24
2023-09-27,83.18
2023-09-28,83.13
2023-09-29,83.08
2023-10-02,83.04
2023-10-03,83.22
2023-10-04,83.25
2023-10-05,83.24
2023-10-06,83.25
2023-10-10,83.25
2023-10-11,83.18
2023-10-12,83.28
2023-10-13,83.26
2023-10-16,83.28
2023-10-17,83.22
2023-10-18,83.25
2023-10-19,83.1
2023-10-20,83.14
2023-10-23,83.19
2023-10-24,83.19
2023-10-25,83.18
2023-10-26,83.24
2023-10-27,83.27
2023-10-30,83.25
2023-10-31,83.26
2023-11-01,83.24
2023-11-02,83.22
2023-11-03,83.14
2023-11-06,83.19
2023-11-07,83.22
2023-11-08,83.28
2023-11-09,83.25
2023-11-13,83.32
2023-11-14,83.32
2023-11-15,83.11
2023-11-16,83.22
2023-11-17,83.25
2023-11-20,83.33
2023-11-21,83.26
2023-11-22,83.29
2023-11-24,83.34
2023-11-27,83.34
2023-11-28,83.33
2023-11-29,83.31
2023-11-30,83.36
2023-12-01,83.27
2023-12-04,83.4
2023-12-05,83.33
2023-12-06,83.32
2023-12-07,83.32
2023-12-08,83.38
2023-12-11,83.38
2023-12-12,83.37
2023-12-13,83.4
2023-12-14,83.28
2023-12-15,83.02
2023-12-18,83.04
2023-12-19,83.18
2023-12-20,83.14
2023-12-21,83.27
2023-12-22,83.12
2023-12-26,83.17
2023-12-27,83.35
2023-12-28,83.15
2023-12-29,83.19
