Ticker,Company,Sector,CurrencyCorrelation,AvgReturn
COR,Cencora,Wholesalers: Health Care,0.05698484927415848,0.14575744606554508
UIPMX,USAA,,0.05581492558121681,0.5628753006458282
PAGP,Plains GP,,0.03181106969714165,0.05286813278992971
ORCL,Oracle,,0.026921499520540237,0.3537033051252365
COLA.WA,Coca-Cola,,0.026463806629180908,-0.010134277244408926
MSFT,Microsoft,,0.023014802485704422,0.11979750543832779
FMCC,Freddie Mac,,0.02015582285821438,0.9074789683024088
SNX,TD Synnex,Wholesalers,0.01910899579524994,0.2090014417966207
CAH,Cardinal Health,,0.018586168065667152,0.1750367060303688
RTX,RTX,Aerospace & Defense,0.015761537477374077,0.16838837787508965
TILIX,TIAA,,0.015312614850699902,0.08710385859012604
GD,General Dynamics,,0.014959052205085754,0.21538998683293661
FNMA,Fannie Mae,Diversified Financials,0.014832188375294209,0.7045483887195587
HUM.ST,Humana,,0.013037728145718575,0.11693364381790161
META,Meta,Internet Services and Retailing,0.012466931249946356,0.11074376478791237
GM,General Motors,Motor Vehicles & Parts,0.011605876497924328,0.07015033066272736
TSLA,Tesla,,0.01097094640135765,0.11331325769424438
GOOGL,Alphabet,,0.010927937924861908,0.1434128632148107
TRV,Travelers,Insurance: Property and Casualty (Stock),0.010251970728859305,0.3378719286993146
COST,Costco,Specialty Retailers: Other,0.009483225643634796,0.016061072548230488
