company,ticker,date,open,high,low,close,volume
Walmart,WMT,2025-11-11,102.5,103.74,102.32,103.44,13182100
Amazon,AMZN,2025-11-11,248.41,249.75,247.23,249.1,23564100
UnitedHealth,UNH,2025-11-11,323.3,327.86,319.88,327.45,7157800
Apple,APLE,2025-11-11,11.89,12.03,11.84,11.89,2041600
CVS Health,CVS,2025-11-11,78.0,79.9,77.66,79.87,5931700
Alphabet,GOOGL,2025-11-11,287.75,291.92,287.32,291.31,19842100
Exxon Mobil,XOM,2025-11-11,117.8,119.76,117.8,118.74,16077100
McKesson,MCK,2025-11-11,860.22,861.55,852.52,856.44,388900
Cencora,COR,2025-11-11,363.04,365.57,361.84,364.48,855100
JPMorgan Chase,JPM,2025-11-11,317.5,319.05,315.28,315.62,5030200
Costco,COST,2025-11-11,916.5,918.89,913.0,913.86,1663400
Cigna,CI,2025-11-11,260.26,269.15,259.51,268.0,3298600
Microsoft,MSFT,2025-11-11,503.86,508.65,501.41,507.73,17980000
Cardinal Health,CAH,2025-11-11,204.96,207.47,203.77,204.81,1966200
Chevron,CVX,2025-11-11,155.02,156.24,154.18,154.51,6361400
Bank of America,BAC,2025-11-11,53.75,53.98,53.28,53.63,22244300
General Motors,GM,2025-11-11,71.12,71.64,70.99,71.22,6164000
Ford Motor,F,2025-11-11,13.19,13.44,13.19,13.3,79742400
Elevance Health,ELV,2025-11-11,306.76,317.35,303.6,315.25,1449600
Citi,CITI.NE,2025-11-11,42.2,42.34,41.92,41.97,4340
Meta,META,2025-11-11,628.0,629.56,619.39,627.08,13302200
Centene,CNC,2025-11-11,34.74,35.44,34.04,35.36,9089100
Home Depot,HD,2025-11-11,371.99,376.0,370.91,374.24,2407300
Fannie Mae,FNMA,2025-11-11,11.16,11.16,10.6,10.66,3658800
Kroger,KR,2025-11-11,64.22,64.97,63.75,64.68,4852500
Phillips 66,PSX,2025-11-11,138.42,141.73,138.38,139.66,2215800
Marathon Petroleum,MPC,2025-11-11,196.81,200.71,196.43,199.13,2132900
Verizon,VZ,2025-11-11,40.05,40.78,40.04,40.7,25360900
Nvidia,NVDA,2025-11-11,195.16,195.42,191.3,193.16,176483300
Goldman Sachs,GSBD,2025-11-11,9.63,9.74,9.6,9.71,1025800
Wells Fargo,WFC,2025-11-11,86.11,87.06,86.05,86.19,13851500
Valero Energy,VLO,2025-11-11,178.97,181.84,178.82,179.73,1868800
Comcast,CMCSA,2025-11-11,27.37,27.65,27.05,27.45,53417000
Allstate,ALL,2025-11-11,204.87,207.59,203.31,207.36,921000
AT&T,ATT.L,2025-11-11,539.0,539.0,533.0,538.0,3626304
Freddie Mac,FMCC,2025-11-11,9.94,10.05,9.47,9.52,1787400
Humana,HUM.ST,2025-11-11,47.25,47.25,46.55,46.9,58488
Morgan Stanley,MS,2025-11-11,165.3,166.72,164.78,166.5,3237600
Target,TGT,2025-11-11,90.24,90.98,89.81,90.44,4762900
StoneX,SNEX,2025-11-11,90.35,91.03,89.51,89.92,200900
Tesla,TSLA,2025-11-11,439.4,442.49,432.36,439.62,60533200
Dell Technologies,DELL,2025-11-11,140.3,141.0,136.29,138.76,7116100
PepsiCo,PEP,2025-11-11,143.28,145.76,142.68,145.08,7683600
Walt Disney,DIS,2025-11-11,112.65,114.97,112.42,114.85,9713300
UPS,UPS,2025-11-11,92.21,93.87,91.27,93.41,6859200
Johnson & Johnson,JNJ,2025-11-11,189.39,193.92,189.05,193.83,7465600
FedEx,FDX,2025-11-11,254.58,270.32,254.0,267.72,3520100
Archer Daniels Midland,ADM,2025-11-11,55.9,57.21,55.55,57.15,3394100
Procter & Gamble,PG,2025-11-11,145.96,148.65,145.67,148.54,7332500
Lowe's,X1G.PA,2025-11-11,233.45,233.45,233.45,233.45,0
Energy Transfer,ET,2025-11-11,16.68,16.73,16.56,16.7,28964900
RTX,RTX,2025-11-11,178.11,179.29,176.71,178.51,3387700
Albertsons,ACI,2025-11-11,17.69,17.84,17.52,17.82,7168400
Sysco,SYY,2025-11-11,74.35,75.62,74.04,75.49,3251000
Progressive,PGR,2025-11-11,218.47,220.77,218.11,219.91,2390400
American Express,AXP,2025-11-11,367.89,373.08,366.26,370.16,2132900
Lockheed Martin,LMT,2025-11-11,451.77,461.77,451.0,457.07,1322100
MetLife,MET,2025-11-11,77.41,77.85,77.25,77.79,3929700
HCA Healthcare,HCA,2025-11-11,461.6,469.57,458.19,462.31,1347900
Prudential Financial,PRU,2025-11-11,105.9,106.36,105.23,105.35,1849100
Boeing,BA,2025-11-11,194.74,196.4,194.35,195.21,5783400
Caterpillar,CAT,2025-11-11,568.72,570.45,560.26,567.93,1517400
Merck,MRK,2025-11-11,87.35,91.07,87.26,90.95,15436000
Pfizer,PFIZER.NS,2025-11-11,5138.0,5144.5,4982.5,4997.0,18686
IBM,IBM,2025-11-11,309.0,317.91,308.43,313.72,4381900
New York Life Insurance,601336.SS,2025-11-11,68.6,68.77,67.09,67.09,15038809
Delta Airlines,DAL,2025-11-11,58.45,58.88,57.35,57.74,5693800
TD Synnex,SNX,2025-11-11,154.0,154.58,149.37,149.48,417600
United Airlines,UAL,2025-11-11,95.82,97.0,93.56,94.95,5037000
ConocoPhillips,COP,2025-11-11,88.3,90.55,87.98,89.86,6561600
TJX,TJX,2025-11-11,146.77,147.17,145.2,145.74,2980000
AbbVie,ABBV,2025-11-11,219.0,225.42,219.0,225.17,4802400
Enterprise Products Partners,EPD,2025-11-11,31.31,31.53,31.27,31.46,3028200
Charter Communications,CHTR,2025-11-11,212.11,212.69,208.37,209.22,1352400
Performance Food,PFGC,2025-11-11,97.36,99.06,96.06,96.74,1383900
American Airlines,AAL,2025-11-11,13.3,13.36,12.95,12.99,41274700
Cisco Systems,CSCO,2025-11-11,71.74,72.25,71.1,71.71,21412900
HP,HP,2025-11-11,26.66,27.91,26.66,27.57,1530500
Tyson Foods,TSN,2025-11-11,54.24,55.72,54.01,55.51,3544500
Intel,INTC,2025-11-11,38.15,38.22,37.49,37.88,53741900
Oracle,ORCL,2025-11-11,236.23,237.45,228.89,236.15,20686600
Broadcom,AVGO,2025-11-11,358.97,361.89,349.67,351.96,16446800
Deere,DE,2025-11-11,474.56,480.22,472.01,477.95,1179100
Nike,NKE,2025-11-11,61.73,63.6,61.24,63.15,17646400
Plains GP,PAGP,2025-11-11,17.7,17.72,17.53,17.64,677000
USAA,UIPMX,2025-11-11,44.22,44.22,44.22,44.22,0
Ingram Micro,INGM,2025-11-11,21.68,21.68,20.97,21.01,273200
General Dynamics,GD,2025-11-11,349.46,353.49,348.09,352.42,670600
TIAA,TILIX,2025-11-11,80.57,80.57,80.57,80.57,0
Travelers,TRV,2025-11-11,283.78,286.73,282.0,286.02,1453000
Eli Lilly,LLY,2025-11-11,965.13,998.48,963.87,987.17,4166400
Walmart,WMT,2025-11-12,103.35,103.6,102.66,103.44,12084400
Amazon,AMZN,2025-11-12,250.24,250.37,243.75,244.2,31190100
UnitedHealth,UNH,2025-11-12,328.45,343.17,327.08,339.06,10403300
Apple,APLE,2025-11-12,11.89,12.02,11.78,11.78,2305100
CVS Health,CVS,2025-11-12,79.71,81.72,79.65,80.26,9324600
Alphabet,GOOGL,2025-11-12,291.68,292.01,283.69,286.71,24829900
Exxon Mobil,XOM,2025-11-12,118.07,118.25,116.77,117.1,13790900
McKesson,MCK,2025-11-12,854.1,854.1,838.99,840.75,1157400
Cencora,COR,2025-11-12,363.4,365.46,359.55,362.82,1812400
JPMorgan Chase,JPM,2025-11-12,316.26,322.25,316.21,320.41,10578300
Costco,COST,2025-11-12,915.47,918.1,911.67,914.0,1829700
Cigna,CI,2025-11-12,266.5,276.14,266.5,270.61,2459700
Microsoft,MSFT,2025-11-12,508.41,510.71,498.19,510.19,26574900
Cardinal Health,CAH,2025-11-12,203.95,204.96,202.34,204.32,2513700
Chevron,CVX,2025-11-12,153.86,154.07,150.4,151.63,11670900
Bank of America,BAC,2025-11-12,53.89,54.69,53.77,54.11,40536700
General Motors,GM,2025-11-12,71.17,72.39,70.99,71.84,9167200
Ford Motor,F,2025-11-12,13.3,13.5,13.3,13.45,61840500
Elevance Health,ELV,2025-11-12,314.94,332.57,314.0,327.63,2020700
Citi,CITI.NE,2025-11-12,42.38,43.08,42.38,42.91,7524
Meta,META,2025-11-12,628.13,628.99,607.77,609.01,24493300
Centene,CNC,2025-11-12,35.23,37.07,35.23,36.2,8729600
Home Depot,HD,2025-11-12,372.06,373.56,369.01,371.13,3375800
Fannie Mae,FNMA,2025-11-12,10.69,10.85,9.17,9.57,16707200
Kroger,KR,2025-11-12,64.56,65.48,64.54,65.05,5148300
Phillips 66,PSX,2025-11-12,138.92,140.55,136.69,136.86,2057800
Marathon Petroleum,MPC,2025-11-12,198.64,201.24,195.37,195.91,2506100
Verizon,VZ,2025-11-12,40.78,40.96,40.74,40.8,17834000
Nvidia,NVDA,2025-11-12,195.72,195.89,191.13,193.8,154935300
Goldman Sachs,GSBD,2025-11-12,9.75,9.93,9.75,9.82,1078000
Wells Fargo,WFC,2025-11-12,86.31,88.64,85.94,86.26,16775200
Valero Energy,VLO,2025-11-12,178.87,180.36,176.07,176.43,1800800
Comcast,CMCSA,2025-11-12,27.44,27.96,27.42,27.89,30938900
Allstate,ALL,2025-11-12,207.29,209.54,206.7,209.21,961500
AT&T,ATT.L,2025-11-12,540.0,547.0,533.0,534.0,857173
Freddie Mac,FMCC,2025-11-12,9.6,9.74,8.32,8.5,6814700
Humana,HUM.ST,2025-11-12,46.9,47.8,46.75,47.35,57750
Morgan Stanley,MS,2025-11-12,167.52,171.77,167.52,169.92,6892900
Target,TGT,2025-11-12,91.77,92.6,91.11,91.91,5512400
StoneX,SNEX,2025-11-12,90.48,91.51,89.6,90.03,375900
Tesla,TSLA,2025-11-12,442.15,442.33,426.56,430.6,58513500
Dell Technologies,DELL,2025-11-12,140.65,143.79,139.75,140.71,5503000
PepsiCo,PEP,2025-11-12,144.56,145.5,144.06,144.39,5790100
Walt Disney,DIS,2025-11-12,114.57,117.09,114.39,116.65,15248700
UPS,UPS,2025-11-12,93.92,94.85,93.72,94.54,5814500
Johnson & Johnson,JNJ,2025-11-12,193.36,195.55,193.07,194.39,8803000
FedEx,FDX,2025-11-12,268.14,271.97,267.4,268.67,1751100
Archer Daniels Midland,ADM,2025-11-12,56.69,57.67,56.54,57.27,3130700
Procter & Gamble,PG,2025-11-12,148.53,149.15,147.51,148.01,7851100
Lowe's,X1G.PA,2025-11-12,233.74,233.74,233.74,234.35,30
Energy Transfer,ET,2025-11-12,16.69,16.75,16.48,16.58,10083800
RTX,RTX,2025-11-12,177.9,179.19,176.67,176.99,4470500
Albertsons,ACI,2025-11-12,17.84,18.1,17.81,17.86,5281400
Sysco,SYY,2025-11-12,75.69,76.16,75.37,75.42,3005500
Progressive,PGR,2025-11-12,219.63,222.25,218.0,221.87,2783100
American Express,AXP,2025-11-12,371.11,377.23,370.51,372.77,2961500
Lockheed Martin,LMT,2025-11-12,456.14,459.77,455.22,457.04,935400
MetLife,MET,2025-11-12,77.83,80.47,77.83,80.21,4218900
HCA Healthcare,HCA,2025-11-12,462.0,479.43,459.96,473.61,1411800
Prudential Financial,PRU,2025-11-12,105.6,107.13,105.58,106.38,1658300
Boeing,BA,2025-11-12,195.75,196.66,193.8,195.5,8288300
Caterpillar,CAT,2025-11-12,570.5,581.27,570.5,573.02,2645100
Merck,MRK,2025-11-12,91.41,92.91,91.16,91.45,13218900
Pfizer,PFIZER.NS,2025-11-12,5032.0,5115.5,4988.5,5015.5,23309
IBM,IBM,2025-11-12,319.89,324.9,314.53,314.98,6042700
New York Life Insurance,601336.SS,2025-11-12,67.2,70.06,67.03,69.48,27350223
Delta Airlines,DAL,2025-11-12,58.25,60.66,58.11,60.48,9805400
TD Synnex,SNX,2025-11-12,150.01,153.13,150.01,152.72,533200
United Airlines,UAL,2025-11-12,95.56,100.24,95.41,99.97,5967000
ConocoPhillips,COP,2025-11-12,88.51,89.43,88.12,88.25,6941500
TJX,TJX,2025-11-12,146.24,147.68,144.51,147.21,5826500
AbbVie,ABBV,2025-11-12,225.4,234.0,225.29,233.23,8583200
Enterprise Products Partners,EPD,2025-11-12,31.42,31.64,31.41,31.57,3515100
Charter Communications,CHTR,2025-11-12,208.62,214.53,207.75,213.07,1871000
Performance Food,PFGC,2025-11-12,96.58,97.19,96.07,96.57,1014000
American Airlines,AAL,2025-11-12,13.1,13.53,13.02,13.46,46029900
Cisco Systems,CSCO,2025-11-12,71.91,74.21,71.72,73.96,57591600
HP,HP,2025-11-12,27.43,27.61,26.25,26.38,1522600
Tyson Foods,TSN,2025-11-12,55.46,55.55,53.97,54.06,3210500
Intel,INTC,2025-11-12,38.06,38.2,37.35,37.89,53876000
Oracle,ORCL,2025-11-12,236.74,236.81,226.17,226.99,24195000
Broadcom,AVGO,2025-11-12,358.04,358.87,351.68,355.22,12190500
Deere,DE,2025-11-12,479.0,484.93,477.77,480.78,1068200
Nike,NKE,2025-11-12,64.1,65.19,63.74,64.2,14812200
Plains GP,PAGP,2025-11-12,17.6,17.65,17.42,17.45,1136800
USAA,UIPMX,2025-11-12,45.71,45.71,45.71,45.71,0
Ingram Micro,INGM,2025-11-12,21.09,21.56,21.01,21.28,243700
General Dynamics,GD,2025-11-12,351.9,353.74,349.38,349.45,941400
Coca-Cola,COLA.WA,2025-11-12,261.0,261.0,259.95,261.0,23
TIAA,TILIX,2025-11-12,80.42,80.42,80.42,80.42,0
Travelers,TRV,2025-11-12,286.0,288.95,285.59,286.13,1483200
Eli Lilly,LLY,2025-11-12,991.66,1020.92,988.65,1016.29,5185200
Walmart,WMT,2025-11-13,103.59,103.93,102.02,102.54,18088500
Amazon,AMZN,2025-11-13,243.05,243.75,236.5,237.58,41401700
UnitedHealth,UNH,2025-11-13,338.35,339.03,331.29,332.52,7788700
Apple,APLE,2025-11-13,11.72,11.82,11.57,11.65,1929300
CVS Health,CVS,2025-11-13,79.23,79.99,78.52,79.24,7262100
Alphabet,GOOGL,2025-11-13,282.34,282.84,277.24,278.57,29494000
Exxon Mobil,XOM,2025-11-13,117.6,118.72,117.25,117.76,17291900
McKesson,MCK,2025-11-13,837.02,849.74,836.95,846.24,712600
Cencora,COR,2025-11-13,362.28,365.07,360.45,364.85,1314900
JPMorgan Chase,JPM,2025-11-13,319.23,320.63,309.1,309.48,8973300
Costco,COST,2025-11-13,916.35,926.75,911.72,925.08,2430600
Cigna,CI,2025-11-13,270.75,275.41,270.29,270.89,2678100
Microsoft,MSFT,2025-11-13,509.36,512.54,500.35,502.35,25273100
Cardinal Health,CAH,2025-11-13,202.96,207.05,201.6,206.06,2182100
Chevron,CVX,2025-11-13,152.3,154.47,152.23,153.86,7998700
Bank of America,BAC,2025-11-13,53.79,54.21,52.77,52.87,37716100
General Motors,GM,2025-11-13,72.16,72.87,71.48,71.89,9004300
Ford Motor,F,2025-11-13,13.4,13.5,13.25,13.28,71481600
Elevance Health,ELV,2025-11-13,325.61,332.66,321.54,328.28,1759600
Citi,CITI.NE,2025-11-13,42.92,42.92,41.89,41.96,6211
Meta,META,2025-11-13,613.07,617.65,603.0,609.89,20973800
Centene,CNC,2025-11-13,35.8,36.5,35.46,36.09,7244200
Home Depot,HD,2025-11-13,371.66,373.52,366.62,368.07,3034800
Fannie Mae,FNMA,2025-11-13,9.64,9.78,7.49,8.63,27019600
Kroger,KR,2025-11-13,65.23,65.78,65.04,65.62,5226800
Phillips 66,PSX,2025-11-13,137.17,139.4,137.17,138.32,2444200
