company,ticker,date,open,high,low,close,volume
"Wal-Mart Stores, Inc.",WMT,2003-01-03,11.17,11.17,10.79,10.83,25167900
Exxon Mobil Corporation,XOM,2003-01-03,16.62,16.8,16.6,16.74,9221900
Ford Motor Company,F,2003-01-03,4.43,4.47,4.34,4.34,8436000
General Electric Company,GE,2003-01-03,69.33,69.69,68.4,69.47,3135294
"Citigroup, Inc.",C,2003-01-03,212.14,212.43,208.98,210.74,1365630
International Business Machines Corporation,IBM,2003-01-03,40.62,41.1,40.38,41.1,6236566
"American International Group,Inc.",AIG,2003-01-03,715.98,720.39,709.9,716.82,194780
Verizon Communications Inc.,VZ,2003-01-03,11.42,11.6,11.4,11.57,5745323
"Altria Group, Inc.",MO,2003-01-03,2.46,2.48,2.39,2.41,11520000
ConocoPhillips,COP,2003-01-03,8.96,9.0,8.91,8.94,3661471
The Boeing Company,BA,2003-01-03,23.0,23.22,22.85,23.05,2303000
Fannie Mae,FNMA,2003-01-03,57.42,58.24,57.34,58.22,3334100
"Merck & Co., Inc.",MRK,2003-01-03,23.41,23.71,23.38,23.61,5419837
The Kroger Company,KR,2003-01-03,5.61,5.66,5.56,5.63,4918800
"Cardinal Health, Inc.",CAH,2003-01-03,27.81,28.57,27.79,28.43,2007000
McKesson Corporation,MCK,2003-01-03,23.5,24.0,23.5,23.63,1271100
AT&T,ATT.L,2003-01-03,13.65,13.65,13.65,13.65,0
Bank of America Corporation,BAC,2003-01-03,20.36,20.49,20.2,20.4,7803400
Target Corporation,TGT,2003-01-03,18.7,18.7,17.89,18.12,5454400
J.P. Morgan Chase & Co.,JPM,2003-01-03,13.61,13.87,13.45,13.84,12525700
Freddie Mac,FMCC,2003-01-03,52.71,53.28,52.7,52.96,2095100
Costco Wholesale Corporation,COST,2003-01-03,19.34,19.36,18.73,18.87,3368000
Johnson & Johnson,JNJ,2003-01-03,29.81,30.31,29.81,30.24,8743800
Pfizer Inc.,PFIZER.NS,2003-01-03,199.55,200.07,195.89,197.61,5530
MetLife Inc.,MET,2003-01-03,13.99,14.19,13.87,14.02,1375348
Morgan Stanley,MS,2003-01-03,21.38,21.41,21.11,21.34,2963100
"United Parcel Service, Inc.",UPS,2003-01-03,31.93,32.03,31.84,31.96,1935500
The Allstate Corporation,ALL,2003-01-03,21.76,21.94,21.63,21.8,1713000
Wells Fargo & Co.,WFC,2003-01-03,12.65,12.8,12.61,12.61,7808000
Microsoft Corporation,MSFT,2003-01-03,16.37,16.43,16.15,16.43,55546800
"ConAgra Foods, Incorporated",CAG,2003-01-03,8.81,8.9,8.77,8.89,2171008
Valero Energy Corp,VLO,2003-01-03,4.78,4.79,4.67,4.71,3304755
Lockheed Martin Corporation,LMT,2003-01-03,31.47,31.81,31.47,31.72,1404100
"Prudential Financial, Inc.",PRU,2003-01-03,15.69,15.69,15.45,15.55,2139300
Intel,INTC,2003-01-03,9.54,9.64,9.35,9.47,50271500
"Motorola, Inc.",MSI,2003-01-03,23.82,24.65,23.66,23.95,2393756
"Lowe's Companies, Inc.",LOW,2003-01-03,13.89,13.89,12.75,13.03,31357600
The Walt Disney Company,DIS,2003-01-03,13.53,13.68,13.39,13.61,4636695
"PepsiCo, Inc.",PEP,2003-01-03,23.42,23.52,23.14,23.48,3153400
"UnitedHealth Group, Incorporated",UNH,2003-01-03,16.81,17.02,16.75,16.92,8318000
International Paper Company,IP,2003-01-03,14.4,14.48,14.22,14.35,2418687
CVS Corporation,CVS,2003-01-03,8.28,8.51,8.28,8.41,4623600
American Express Company,AXP,2003-01-03,23.21,23.49,23.1,23.28,2924026
Archer Daniels Midland Company,ADM,2003-01-03,7.23,7.34,7.21,7.32,887600
"Tyson Foods, Inc.",TSN,2003-01-03,7.84,7.97,7.81,7.91,594200
Sysco Corporation,SYY,2003-01-03,16.32,16.48,16.24,16.33,1439100
"Goldman Sachs Group, Inc.",GS,2003-01-03,49.54,50.21,49.51,50.05,2342800
Honeywell International Inc.,HON,2003-01-03,13.32,13.46,13.06,13.19,2918010
Electronic Data Systems Corporation,EA,2003-01-03,25.37,26.7,25.35,26.54,14677400
"Alcoa, Inc.",AA,2003-01-03,42.33,42.87,41.79,42.78,1185393
FedEx Corporation,FDX,2003-01-03,44.63,44.89,44.42,44.8,877800
"Caterpillar, Inc.",CAT,2003-01-03,13.54,13.56,13.36,13.48,3399800
"Johnson Controls, Inc.",JCI,2003-01-03,17.47,17.72,17.3,17.57,5336406
CIGNA Corporation,CI,2003-01-03,12.22,12.32,12.1,12.12,5518200
Best Buy Co. Inc.,BBY,2003-01-03,8.93,9.18,8.82,8.9,5918550
"AutoNation, Inc.",AN,2003-01-03,12.68,12.83,12.55,12.59,853700
"Cisco Systems, Inc.",CSCO,2003-01-03,8.83,9.08,8.82,9.05,50891700
Weyerhaeuser Company,WY,2003-01-03,8.8,8.8,8.68,8.76,769000
Northrop Grumman Corporation,NOC,2003-01-03,28.03,28.03,27.67,27.91,2273824
Abbott Laboratories,ABT,2003-01-03,9.81,9.94,9.77,9.94,11466451
