company,ticker,date,open,high,low,close,volume
Exxon Mobil Corporation,XOM,2009-04-02,38.06,38.29,37.51,37.8,38162200
"Wal-Mart Stores, Inc.",WMT,2009-04-02,12.57,12.86,12.54,12.64,65542800
Chevron Corporation,CVX,2009-04-02,35.86,36.52,35.61,36.02,18069100
ConocoPhillips,COP,2009-04-02,17.38,18.01,17.31,17.56,26244084
General Electric Company,GE,2009-04-02,36.58,37.43,35.97,36.54,30600275
Ford Motor Company,F,2009-04-02,1.49,1.52,1.46,1.5,68130500
AT&T Inc.,ATT.L,2009-04-02,19.3,19.3,19.3,19.3,0
Valero Energy Corporation,VLO,2009-04-02,10.12,10.55,10.11,10.39,14685856
Bank of America Corporation,BAC,2009-04-02,6.11,6.12,5.5,5.63,512639600
"Citigroup, Inc.",C,2009-04-02,22.04,22.19,19.89,20.33,52594690
International Business Machines Corporation,IBM,2009-04-02,53.78,55.32,53.36,54.69,16965074
McKesson Corporation,MCK,2009-04-02,30.92,31.39,30.78,31.08,3783000
J.P. Morgan Chase & Co.,JPM,2009-04-02,19.63,19.69,18.19,18.69,131840800
Verizon Communications Inc.,VZ,2009-04-02,12.52,13.05,12.43,12.82,30753746
"Cardinal Health, Inc.",CAH,2009-04-02,14.87,15.57,14.76,15.28,3405400
CVS Caremark Corporation,CVS,2009-04-02,19.36,20.06,19.3,19.93,12127600
UnitedHealth Group Incorporated,UNH,2009-04-02,16.63,17.09,16.36,16.55,14884600
The Kroger Company,KR,2009-04-02,7.91,8.05,7.84,7.92,15724000
Costco Wholesale Corporation,COST,2009-04-02,32.88,34.13,32.65,33.76,5122400
"The Home Depot, Inc.",THD,2009-04-02,15.18,15.18,14.69,14.9,65200
Target Corporation,TGT,2009-04-02,22.32,23.45,22.18,22.95,12031600
Johnson & Johnson,JNJ,2009-04-02,32.69,33.21,32.31,32.5,17418900
Morgan Stanley,MS,2009-04-02,17.53,17.57,16.13,16.24,67785600
The Boeing Company,BA,2009-04-02,27.4,28.78,27.4,28.18,9449300
Microsoft Corporation,MSFT,2009-04-02,14.34,14.62,13.97,14.18,99082300
The Dow Chemical Company,TDC,2009-04-02,16.43,16.81,16.26,16.7,3732100
"MetLife, Inc.",MET,2009-04-02,13.49,13.74,13.2,13.34,16968904
"The Goldman Sachs Group, Inc.",TGS,2009-04-02,0.97,0.97,0.92,0.92,3300
Wells Fargo & Company,WFC,2009-04-02,10.44,10.66,9.78,10.06,206881200
"United Parcel Service, Inc.",UPS,2009-04-02,29.07,30.54,28.77,29.83,10843900
Caterpillar Inc.,CAT,2009-04-02,19.68,20.77,19.49,20.49,21643000
Pfizer Inc.,PFIZER.NS,2009-04-02,369.63,369.63,358.22,365.49,3821
"Lowe's Companies, Inc.",LOW,2009-04-02,13.82,14.68,13.82,14.25,18957400
Time Warner Inc.,T,2009-04-02,5.94,6.07,5.83,5.95,45533287
Sears Holdings Corporation,SRSCQ,2009-04-02,6.65,6.67,6.65,6.67,300
