company,ticker,date,open,high,low,close,volume
"Wal-Mart Stores, Inc.",WMT,2000-08-18,10.61,10.87,10.59,10.87,22047900
Exxon Mobil Corporation,XOM,2000-08-18,18.63,18.75,18.42,18.57,8297800
Ford Motor Company,F,2000-08-18,11.23,11.43,11.23,11.41,6111000
General Electric Company,GE,2000-08-18,146.65,147.47,145.51,146.65,1736027
International Business Machines Corporation,IBM,2000-08-18,60.77,61.27,59.66,59.81,4317365
"Citigroup, Inc.",C,2000-08-18,297.35,297.6,293.4,295.5,664240
AT&T Corp.,ATT.L,2000-08-18,61.0,61.0,61.0,61.0,0
Philip Morris Companies Inc.,TABAK.PR,2000-08-18,564.42,564.42,564.42,564.42,20
The Boeing Company,BA,2000-08-18,29.91,30.03,29.54,29.79,4070600
Bank of America Corporation,BAC,2000-08-18,14.03,14.21,14.03,14.14,6788200
The Kroger Company,KR,2000-08-18,7.35,7.5,7.35,7.43,2851400
"American International Group,Inc.",AIG,2000-08-18,1022.69,1033.06,1022.69,1030.84,117015
Fannie Mae,FNMA,2000-08-18,48.42,48.62,47.9,48.31,4223100
Morgan Stanley Dean Witter & Co.,MS,2000-08-18,50.05,50.36,49.1,49.29,2212600
Target,TGT,2000-08-18,15.44,15.7,15.41,15.7,5063200
"Merck & Co., Inc.",MRK,2000-08-18,27.76,27.8,27.12,27.31,4252365
Chevron Corporation,CVX,2000-08-18,16.65,16.88,16.65,16.72,3106800
"Motorola, Inc.",MSI,2000-08-18,93.72,93.88,91.49,92.13,2205920
McKesson HBOC Inc.,MCK,2000-08-18,20.56,20.82,20.56,20.66,1016400
Intel Corporation,INTC,2000-08-18,40.37,41.47,39.94,40.12,35795600
Johnson & Johnson,JNJ,2000-08-18,25.05,25.11,24.61,24.9,5476800
Costco Wholesale Corporation,COST,2000-08-18,22.0,22.67,21.8,22.34,3310800
Time Warner Inc.,T,2000-08-18,5.44,5.49,5.29,5.41,11242481
"United Parcel Service of America, Inc.",UPS,2000-08-18,27.53,27.65,27.08,27.26,736100
The Allstate Corporation,ALL,2000-08-18,15.9,15.9,15.63,15.63,1383500
Lockheed Martin Corporation,LMT,2000-08-18,14.51,14.74,14.48,14.71,522200
"Goldman Sachs Group, Inc.",GS,2000-08-18,83.32,83.41,81.31,82.01,853900
"Cardinal Health, Inc.",CAH,2000-08-18,23.66,23.74,23.02,23.36,1851150
ConAgra,CAG,2000-08-18,6.29,6.31,6.27,6.28,1110240
International Paper Company,IP,2000-08-18,12.87,13.14,12.73,13.04,2576735
Freddie Mac,FMCC,2000-08-18,37.43,37.48,37.12,37.17,4301900
"AutoNation, Inc.",AN,2000-08-18,6.5,6.62,6.5,6.56,556500
Honeywell International Inc.,HON,2000-08-18,18.15,18.15,17.83,17.99,3897692
The Walt Disney Company,DIS,2000-08-18,30.44,30.44,29.49,29.78,4544957
First Union Corporation,FHN,2000-08-18,9.94,9.97,9.82,9.91,155373
Wells Fargo & Co.,WFC,2000-08-18,11.14,11.2,11.07,11.09,4659400
Duke Energy Corporation,DUK,2000-08-18,19.07,19.25,18.97,19.18,812712
American Express Company,AXP,2000-08-18,36.56,36.67,36.09,36.25,2375871
Loews Corporation,L,2000-08-18,11.95,11.95,11.64,11.86,1107000
Conoco,COP,2000-08-18,10.15,10.17,9.96,9.99,4213735
CIGNA Corporation,CI,2000-08-18,28.75,28.82,28.53,28.53,1672500
"PepsiCo, Inc.",PEP,2000-08-18,22.69,23.18,22.56,22.99,2598500
Microsoft Corporation,MSFT,2000-08-18,21.72,21.82,21.38,21.69,54438800
"Caterpillar, Inc.",CAT,2000-08-18,10.13,10.21,9.98,10.11,1970800
"UnitedHealth Group, Incorporated",UNH,2000-08-18,9.07,9.07,8.81,8.92,8038400
Xerox Corporation,XRX,2000-08-18,18.99,19.07,18.63,18.85,1155767
Electronic Data Systems Corporation,EA,2000-08-18,22.57,22.61,21.91,22.0,5340000
J.P. Morgan & Co. Incorporated,JPM,2000-08-18,24.5,24.71,24.23,24.47,3694100
CVS Corporation,CVS,2000-08-18,12.25,12.45,12.17,12.43,1969000
"Federated Department Stores, Inc.",FHI,2000-08-18,7.81,7.9,7.69,7.75,130400
Sysco Corporation,SYY,2000-08-18,11.05,11.29,11.02,11.2,1591800
