company,ticker,date,open,high,low,close,volume
Walmart,WMT,2024-04-22,58.61,59.44,58.1,59.19,14910000
Amazon,AMZN,2024-04-22,176.94,178.87,174.56,177.23,37924900
Apple,AAPL,2024-04-22,164.18,165.91,163.44,164.5,48116400
Unitedhealth Group,UNH,2024-04-22,483.44,485.03,476.51,477.08,4697700
Cvs,CVS,2024-04-22,65.17,65.76,64.83,65.3,5701600
Exxon Mobil,XOM,2024-04-22,112.28,114.45,111.5,113.5,16340700
Alphabet,GOOGL,2024-04-22,153.25,156.56,153.0,155.21,26446200
Mckesson,MCK,2024-04-22,521.45,529.61,514.32,523.75,893500
Cencora,COR,2024-04-22,232.63,235.6,231.38,233.47,2287100
Costco,COST,2024-04-22,708.06,711.43,699.45,708.65,1437100
Jp Morgan Chase,JPM,2024-04-22,180.03,184.03,180.02,183.34,11529700
Microsoft,MSFT,2024-04-22,394.93,397.67,390.66,395.8,20286900
Cardinal Health,CAH,2024-04-22,101.38,102.02,98.83,100.39,5287300
Chevron,CVX,2024-04-22,148.15,150.7,146.75,149.97,6779200
Cigna,CI,2024-04-22,343.39,346.94,343.3,343.81,1404000
Ford Motor,F,2024-04-22,11.0,11.53,10.95,11.51,86462700
Bank Of America,BAC,2024-04-22,35.7,36.58,35.57,36.4,43867100
General Motors,GM,2024-04-22,42.02,42.88,41.55,42.54,21315100
Elevance Health,ELV,2024-04-22,517.47,524.1,514.87,519.53,1525100
Citigroup,C,2024-04-22,56.29,57.83,56.06,57.72,14513100
Centene,CNC,2024-04-22,75.5,76.34,75.25,75.58,2479600
Home Depot,HD,2024-04-22,326.13,327.31,321.78,324.09,3112800
Marathon Petroleum,MPC,2024-04-22,189.07,192.08,187.19,191.0,1437200
Kroger,KR,2024-04-22,54.74,55.07,54.31,54.87,4260400
Phillips 66,PSX,2024-04-22,145.16,148.83,143.91,147.63,1625500
Fannie Mae,FNMA,2024-04-22,1.36,1.44,1.35,1.43,2710700
Valero Energy,VLO,2024-04-22,155.57,158.81,154.12,157.48,2130000
Meta Platforms,META,2024-04-22,487.24,489.51,471.0,479.29,17271100
Verizon Communications,VZ,2024-04-22,37.52,37.74,34.95,34.99,51243200
At&T,ATT.L,2024-04-22,332.5,335.0,325.0,327.0,1233350
Comcast,CMCSA,2024-04-22,38.4,38.61,37.91,38.49,24644700
Wells Fargo,WFC,2024-04-22,58.0,59.04,57.94,58.67,21753400
Goldman Sachs Group,GS,2024-04-22,394.07,404.76,391.78,404.15,4165600
Freddie Mac,FMCC,2024-04-22,1.25,1.33,1.24,1.32,1617300
Target,TGT,2024-04-22,158.14,158.44,155.58,156.59,2155500
Humana,HUM.ST,2024-04-22,24.89,25.28,24.84,24.84,89997
Tesla,TSLA,2024-04-22,140.56,144.44,138.8,142.05,107097600
Morgan Stanley,MS,2024-04-22,86.35,87.82,85.97,87.28,7294400
Johnson & Johnson,JNJ,2024-04-22,141.63,143.31,140.48,142.21,10118700
Archer Daniels Midland,ADM,2024-04-22,58.61,59.04,57.73,58.61,3169600
Pepsico,PEP,2024-04-22,165.35,167.99,164.99,167.29,7288700
United Parcel Service,UPS,2024-04-22,129.27,131.85,128.68,131.21,4578500
Fedex,FDX,2024-04-22,259.81,262.97,258.21,261.24,1246600
Walt Disney,DIS,2024-04-22,111.61,112.14,110.28,110.51,6901700
Dell Technologies,DELL,2024-04-22,112.16,115.41,111.43,112.68,5410000
Lowe'S,X1G.PA,2024-04-22,220.75,220.75,220.22,221.19,666
Procter & Gamble,PG,2024-04-22,152.53,155.29,151.4,154.56,8926300
Energy Transfer,ET,2024-04-22,13.84,13.9,13.76,13.87,9953500
Boeing,BA,2024-04-22,169.82,172.15,168.16,170.48,4724900
Albertsons,ACI,2024-04-22,19.53,19.53,19.12,19.28,3578300
Sysco,SYY,2024-04-22,73.99,74.57,73.53,74.21,2600700
Rtx,RTX,2024-04-22,98.48,98.72,97.87,98.06,7594100
General Electric,GE,2024-04-22,147.45,150.5,147.45,148.79,7322800
Lockheed Martin,LMT,2024-04-22,446.98,451.12,442.35,443.23,1820900
American Express,AXP,2024-04-22,228.28,231.56,224.01,229.23,5151300
Caterpillar,CAT,2024-04-22,348.13,353.9,345.33,349.61,2085400
Metlife,MET,2024-04-22,68.02,68.8,67.42,68.36,2846000
Hca Healthcare,HCA,2024-04-22,303.68,309.45,303.43,306.7,1131400
Progressive,PGR,2024-04-22,210.57,211.7,208.43,208.56,2732400
Ibm,IBM,2024-04-22,173.21,174.04,171.32,172.69,3076500
Deere,DE,2024-04-22,390.41,394.36,383.88,391.15,1005500
Nvidia,NVDA,2024-04-22,78.07,80.04,76.37,79.48,596341000
Stonex Group,SNEX,2024-04-22,44.67,45.79,44.41,45.09,308250
Merck,MRK,2024-04-22,120.65,121.96,120.18,120.87,7805800
Conocophillips,COP,2024-04-22,121.79,123.48,120.2,122.47,4194900
Pfizer,PFIZER.NS,2024-04-22,3999.49,4047.93,3958.87,4002.63,17885
Delta Air Lines,DAL,2024-04-22,46.84,48.19,46.84,48.04,10442100
Td Synnex,SNX,2024-04-22,111.81,113.14,110.44,112.57,560800
Allstate,ALL,2024-04-22,168.1,170.97,167.37,170.29,1698300
Cisco Systems,CSCO,2024-04-22,46.51,46.61,46.04,46.18,20135700
Charter Communications,CHTR,2024-04-22,267.56,267.96,259.53,265.08,1171100
Abbvie,ABBV,2024-04-22,159.27,161.08,158.55,159.47,5580700
New York Life Insurance,601336.SS,2024-04-22,27.95,28.64,27.88,27.94,11570789
Intel,INTC,2024-04-22,34.06,34.21,33.73,34.05,39909900
Tjx,TJX,2024-04-22,92.02,92.49,91.23,91.97,4114500
Prudential Financial,PRU,2024-04-22,102.53,103.21,101.72,102.6,1085600
United Airlines Holdings,UAL,2024-04-22,51.86,54.15,51.53,53.94,16424900
Performance Food Group,PFGC,2024-04-22,68.91,69.43,68.35,69.01,728800
Tyson Foods,TSN,2024-04-22,57.21,57.91,56.84,57.65,1705200
American Airlines Group,AAL,2024-04-22,14.28,14.68,14.18,14.53,27763800
Liberty Mutual Insurance Group,LFG.AX,2024-04-22,3.19,3.21,3.18,3.2,53547
Nike,NKE,2024-04-22,91.81,92.22,91.05,91.38,8642000
Oracle,ORCL,2024-04-22,114.31,114.61,112.64,112.83,7125500
Enterprise Products Partners,EPD,2024-04-22,25.67,25.8,25.46,25.67,4799000
Capital One Financial,COF,2024-04-22,140.6,143.7,139.61,143.67,2875500
Plains Gp Holdings,PAGP,2024-04-22,16.41,16.53,16.27,16.4,5334000
World Kinect,WKC,2024-04-22,23.63,23.9,23.44,23.7,321800
Aig,AIG,2024-04-22,72.28,72.98,71.77,72.57,2769900
Tiaa,TILIX,2024-04-22,51.62,51.62,51.62,51.62,0
Chs,CHS.V,2024-04-22,0.01,0.01,0.01,0.01,322000
Dow,DOW,2024-04-22,51.31,51.93,51.0,51.64,3211600
Best Buy,BBY,2024-04-22,71.44,71.64,69.52,70.07,2504800
