company,ticker,date,open,high,low,close,volume
Walmart,WMT,2025-05-23,95.12,96.32,94.78,96.12,13668600
Amazon,AMZN,2025-05-23,198.9,202.37,197.85,200.99,33393500
UnitedHealth,UNH,2025-05-23,292.17,295.72,287.77,291.65,16873600
Apple,APLE,2025-05-23,10.91,11.04,10.9,11.02,2427200
CVS Health,CVS,2025-05-23,59.48,59.73,58.54,59.69,8143100
Alphabet,GOOGL,2025-05-23,168.7,169.6,167.54,168.12,35211400
Exxon Mobil,XOM,2025-05-23,100.77,101.63,100.25,101.19,12061600
McKesson,MCK,2025-05-23,713.68,716.68,707.93,714.53,816000
Cencora,COR,2025-05-23,291.3,292.39,288.22,291.33,1356400
JPMorgan Chase,JPM,2025-05-23,254.34,259.47,253.54,258.2,6671800
Costco,COST,2025-05-23,1009.17,1012.27,1004.19,1005.68,1413900
Cigna,CI,2025-05-23,311.12,313.49,307.47,312.89,1667800
Microsoft,MSFT,2025-05-23,448.4,452.1,447.34,448.6,16883500
Cardinal Health,CAH,2025-05-23,151.19,152.19,149.81,151.79,1856600
Chevron,CVX,2025-05-23,131.44,133.79,131.12,133.55,7025900
Bank of America,BAC,2025-05-23,42.0,42.94,41.87,42.71,34875100
General Motors,GM,2025-05-23,48.09,48.89,48.03,48.41,5611900
Ford Motor,F,2025-05-23,10.05,10.15,10.04,10.11,80519000
Elevance Health,ELV,2025-05-23,381.44,382.51,365.14,368.62,2479600
Citi,CITI.NE,2025-05-23,29.74,30.48,29.74,30.41,7352
Meta,META,2025-05-23,623.1,631.54,621.75,626.16,8454100
Centene,CNC,2025-05-23,58.3,58.52,55.79,56.41,5206800
Home Depot,HD,2025-05-23,358.11,360.42,356.89,358.44,3115000
Fannie Mae,FNMA,2025-05-23,10.5,11.23,9.84,10.99,26306900
Kroger,KR,2025-05-23,68.11,68.72,67.33,67.88,5516800
Phillips 66,PSX,2025-05-23,109.5,111.33,109.39,111.08,2248700
Marathon Petroleum,MPC,2025-05-23,155.78,158.42,155.78,157.44,1576800
Verizon,VZ,2025-05-23,42.06,42.07,41.47,41.91,12393400
Nvidia,NVDA,2025-05-23,129.98,132.66,129.14,131.27,198821300
Goldman Sachs,GSBD,2025-05-23,9.93,10.06,9.93,10.0,357500
Wells Fargo,WFC,2025-05-23,71.11,72.38,71.11,72.03,9260900
Valero Energy,VLO,2025-05-23,124.92,127.28,124.69,126.71,2053000
Comcast,CMCSA,2025-05-23,33.57,34.0,33.56,33.85,13930000
Allstate,ALL,2025-05-23,200.56,202.11,199.47,201.27,821300
AT&T,ATT.L,2025-05-23,389.5,395.5,379.0,385.5,602748
Freddie Mac,FMCC,2025-05-23,7.9,8.0,7.42,7.76,11009200
Humana,HUM.ST,2025-05-23,37.75,37.75,36.4,36.75,67037
Morgan Stanley,MS,2025-05-23,122.5,124.94,122.28,124.44,3361400
Target,TGT,2025-05-23,90.99,92.99,90.99,92.12,7373800
StoneX,SNEX,2025-05-23,83.88,86.2,83.01,85.53,241400
Tesla,TSLA,2025-05-23,337.92,343.18,333.21,339.34,84654800
