company,ticker,date,open,high,low,close,volume
Walmart,WMT,2017-04-06,20.69,20.81,20.6,20.61,17823300
Apple,APLE,2017-04-06,12.02,12.17,11.98,12.16,864500
Exxon Mobil,XOM,2017-04-06,55.79,56.1,55.6,55.97,9554900
McKesson,MCK,2017-04-06,134.91,135.69,134.51,135.28,1937700
UnitedHealth Group,UNH,2017-04-06,144.91,145.41,144.37,144.81,2923600
CVS Health,CVS,2017-04-06,58.65,58.68,58.21,58.52,6331000
General Motors,GM,2017-04-06,29.06,29.45,28.95,29.18,12171900
AT&T,ATT.L,2017-04-06,91.4,93.5,91.4,92.72,311910
Ford Motor,F,2017-04-06,7.08,7.13,7.05,7.08,36165300
General Electric,GE,2017-04-06,132.21,133.01,131.86,131.91,4496668
Verizon Communications,VZ,2017-04-06,30.78,30.83,30.56,30.72,18456100
Cardinal Health,CAH,2017-04-06,63.14,64.19,62.73,64.16,2369100
Costco,COST,2017-04-06,144.8,146.88,144.49,145.09,3313800
Kroger,KR,2017-04-06,24.48,24.82,24.44,24.53,8685300
Chevron,CVX,2017-04-06,75.02,75.38,74.76,75.13,3934500
Fannie Mae,FNMA,2017-04-06,2.44,2.54,2.37,2.5,3513100
J.P. Morgan Chase,JPM,2017-04-06,68.3,69.04,67.72,68.7,14379600
Express Scripts Holding,ESH.BE,2017-04-06,7.23,7.23,7.23,7.23,0
Home Depot,HD,2017-04-06,119.83,120.58,119.8,120.0,2699100
Boeing,BA,2017-04-06,166.04,166.66,165.63,165.86,2343600
Wells Fargo,WFC,2017-04-06,43.06,43.6,42.87,43.39,10387500
Bank of America Corp.,BAC,2017-04-06,19.06,19.3,18.88,19.13,82975200
Alphabet,GOOGL,2017-04-06,42.18,42.39,41.91,41.97,30672000
Microsoft,MSFT,2017-04-06,59.37,59.79,59.27,59.49,18103500
Citigroup,C,2017-04-06,44.94,45.54,44.61,45.28,13806000
Comcast,CMCSA,2017-04-06,30.18,31.05,30.17,30.87,23316500
IBM,IBM,2017-04-06,113.48,113.48,112.69,112.82,3593428
Phillips 66,PSX,2017-04-06,55.38,55.42,54.71,54.87,3322400
Johnson & Johnson,JNJ,2017-04-06,98.59,99.07,98.31,98.75,4324200
Procter & Gamble,PG,2017-04-06,70.99,71.02,70.62,70.69,7231500
Valero Energy,VLO,2017-04-06,45.94,46.28,45.66,45.91,3378100
Target,TGT,2017-04-06,41.18,41.93,41.11,41.5,8672400
Freddie Mac,FMCC,2017-04-06,2.34,2.45,2.28,2.4,2000600
Lowe's,X1G.PA,2017-04-06,225.36,225.36,225.36,225.36,0
Dell Technologies,DELL,2017-04-06,16.5,16.59,16.43,16.52,6751980
MetLife,MET,2017-04-06,34.37,34.97,34.13,34.87,7077015
PepsiCo,PEP,2017-04-06,86.81,86.93,86.27,86.39,2740600
Archer Daniels Midland,ADM,2017-04-06,34.83,35.05,34.64,34.89,2285000
UPS,UPS,2017-04-06,76.88,77.0,76.69,76.81,2824600
Intel,INTC,2017-04-06,29.71,29.83,29.62,29.62,20198200
Prudential Financial,PRU,2017-04-06,70.32,71.15,69.94,70.91,2403500
Marathon Petroleum,MPC,2017-04-06,37.85,38.45,37.72,37.98,4536100
Disney,DIS,2017-04-06,106.3,106.83,105.86,106.48,4744000
Humana,HUM.ST,2017-04-06,69.71,70.19,69.47,70.19,94392
Pfizer,PFIZER.NS,2017-04-06,1630.07,1642.32,1600.3,1613.61,12003
AIG,AIG,2017-04-06,49.46,49.92,49.37,49.73,3862600
Lockheed Martin,LMT,2017-04-06,213.17,213.91,212.73,213.36,740400
Sysco,SYY,2017-04-06,41.5,41.7,41.41,41.54,2371400
FedEx,FDX,2017-04-06,170.58,171.68,170.27,170.57,1410500
Hewlett Packard Enterprise,HPE,2017-04-06,10.8,10.89,10.76,10.83,15977155
Cisco Systems,CSCO,2017-04-06,25.52,25.74,25.44,25.58,15316800
HP,HP,2017-04-06,43.75,44.41,43.56,44.14,995300
New York Life Insurance,601336.SS,2017-04-06,33.19,33.19,32.67,32.91,7964960
Centene,CNC,2017-04-06,35.42,35.78,35.26,35.74,1868200
American Airlines Group,AAL,2017-04-06,40.1,40.64,39.86,40.41,3627600
Merck,MRK,2017-04-06,46.63,46.99,46.42,46.46,7915125
Cigna,CI,2017-04-06,137.82,139.19,136.75,139.02,1502800
Delta Air Lines,DAL,2017-04-06,40.72,41.2,40.49,40.84,6080400
Best Buy,BBY,2017-04-06,35.88,36.25,35.54,35.62,4386800
Honeywell International,HON,2017-04-06,93.31,93.76,93.01,93.38,2298900
Caterpillar,CAT,2017-04-06,77.6,79.24,77.46,78.75,5421600
Morgan Stanley,MS,2017-04-06,32.28,32.85,32.12,32.63,9520900
Goldman Sachs Group,GS,2017-04-06,189.37,191.9,188.22,190.66,2927200
Energy Transfer Equity,ET,2017-04-06,9.23,9.4,9.19,9.27,5220300
TIAA,TILIX,2017-04-06,13.28,13.28,13.28,13.28,0
Oracle,ORCL,2017-04-06,39.03,39.03,38.68,38.72,11557800
Tyson Foods,TSN,2017-04-06,49.72,50.37,49.61,50.29,2277100
United Continental Holdings,UAL,2017-04-06,70.16,70.93,69.56,70.22,1874200
Allstate,ALL,2017-04-06,67.26,67.39,66.93,67.25,1614200
American Express,AXP,2017-04-06,69.24,69.72,68.69,69.38,2914800
TJX,TJX,2017-04-06,33.74,34.19,33.74,33.93,7543400
Nike,NKE,2017-04-06,49.52,50.3,49.4,49.58,6692200
Exelon,EXC,2017-04-06,18.92,19.1,18.79,19.06,8004999
General Dynamics,GD,2017-04-06,153.74,154.78,153.72,154.09,745700
Gilead Sciences,GILD,2017-04-06,48.47,48.74,48.32,48.51,8716000
3M,MMM,2017-04-06,118.31,118.69,117.75,117.99,1946370
Time Warner,T,2017-04-06,16.76,16.77,16.58,16.58,27131805
Charter Communications,CHTR,2017-04-06,331.75,336.96,330.55,336.8,1638100
Northwestern Mutual,NWE,2017-04-06,41.27,41.58,41.12,41.56,331100
Travelers Cos.,TRV,2017-04-06,100.37,100.43,99.7,99.99,1226500
Capital One Financial,COF,2017-04-06,72.06,72.76,70.87,72.31,4378900
