company,ticker,date,open,high,low,close,volume
Ford Motor Company,F,1999-03-30,12.11,12.28,12.04,12.11,4290462
"Wal-Mart Stores, Inc.",WMT,1999-03-30,9.99,10.15,9.96,10.09,18828600
Exxon Corporation,XOM,1999-03-30,15.78,15.78,15.4,15.46,5290600
General Electric Company,GE,1999-03-30,95.85,97.62,94.89,97.19,3184768
International Business Machines Corporation,IBM,1999-03-30,43.65,44.7,43.62,44.04,7810273
"Citigroup, Inc.",C,1999-03-30,165.2,168.27,164.71,166.17,948020
The Boeing Company,BA,1999-03-30,22.06,22.06,21.66,21.74,3222600
AT&T Corp.,ATT.L,1999-03-30,15.95,15.95,15.95,15.95,0
"American International Group,Inc.",AIG,1999-03-30,744.33,757.34,740.39,753.4,132056
Fannie Mae,FNMA,1999-03-30,56.61,56.86,56.21,56.56,1884800
Morgan Stanley Dean Witter & Co.,MS,1999-03-30,25.23,25.26,24.6,24.6,4958600
"Motorola, Inc.",MSI,1999-03-30,63.46,64.62,63.3,63.35,3764721
The Kroger Company,KR,1999-03-30,10.86,10.86,10.61,10.73,2963200
"Merck & Co., Inc.",MRK,1999-03-30,30.05,30.63,29.95,30.56,3058169
Chevron Corporation,CVX,1999-03-30,16.67,16.68,16.46,16.57,2240400
Intel Corporation,INTC,1999-03-30,17.12,17.45,17.11,17.24,50729200
Lockheed Martin Corporation,LMT,1999-03-30,19.23,19.23,18.91,19.13,1269500
The Allstate Corporation,ALL,1999-03-30,19.95,20.21,19.82,20.02,2735000
"ConAgra, Inc.",CAG,1999-03-30,7.77,7.86,7.71,7.75,2918621
Johnson & Johnson,JNJ,1999-03-30,23.56,23.62,23.5,23.57,3610600
The Walt Disney Company,DIS,1999-03-30,24.89,24.89,24.33,24.7,6013583
"PepsiCo, Inc.",PEP,1999-03-30,20.56,20.65,20.33,20.49,4271000
First Union Corporation,FHN,1999-03-30,17.9,18.02,17.31,17.36,405498
CIGNA Corporation,CI,1999-03-30,23.62,23.85,23.17,23.24,1494600
"Caterpillar, Inc.",CAT,1999-03-30,12.02,12.05,11.75,11.94,1858600
McKesson HBOC Inc.,MCK,1999-03-30,54.86,55.57,54.24,55.47,717400
Loews Corporation,L,1999-03-30,11.15,11.15,10.8,10.81,1141800
Wells Fargo & Co.,WFC,1999-03-30,8.88,9.1,8.76,8.79,6666200
Xerox Corporation,XRX,1999-03-30,58.85,59.48,57.31,58.01,1073226
American Express Company,AXP,1999-03-30,24.81,25.38,24.8,24.89,3785559
International Paper Company,IP,1999-03-30,16.35,16.35,15.7,15.73,2537651
J.P. Morgan & Co. Incorporated,JPM,1999-03-30,25.29,25.73,25.29,25.48,3074550
Freddie Mac,FMCC,1999-03-30,47.98,48.29,47.06,47.27,1451200
Duke Energy Corporation,DUK,1999-03-30,14.7,14.72,14.3,14.47,994895
"AutoNation, Inc.",AN,1999-03-30,11.4,11.51,11.11,11.23,1456200
United Health Care Corporation,UNH,1999-03-30,5.04,5.09,5.04,5.08,3477600
Halliburton Company,HAL,1999-03-30,13.54,13.54,13.04,13.27,6388200
Electronic Data Systems Corporation,EA,1999-03-30,12.13,12.2,11.83,11.89,1775600
Archer Daniels Midland Company,ADM,1999-03-30,6.99,7.14,6.93,6.99,1381510
"Cardinal Health, Inc.",CAH,1999-03-30,21.01,21.01,19.98,20.18,2043000
FDX Corporation,FDX,1999-03-30,38.68,39.76,38.48,39.23,1821800
"Federated Department Stores, Inc.",FHI,1999-03-30,3.65,3.69,3.61,3.65,120900
"Alcoa, Inc.",AA,1999-03-30,34.76,34.76,33.55,34.29,955389
Sysco Corporation,SYY,1999-03-30,7.18,7.18,6.95,6.97,954800
CVS Corporation,CVS,1999-03-30,15.4,15.58,15.26,15.52,2282800
