ticker	company	sector_name	outperformance_rate	max_consecutive_quarters	total_quarters_analyzed	avg_company_return	avg_sector_return	return_advantage	consistency_category	analysis_type	generated_at
601336.SS	New York Life Insurance	Insurance	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 23:30:26.394448
MPC	Marathon Petroleum	Petroleum Refining	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 23:30:26.410308
PFGC	Performance Food Group	Wholesalers	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 23:30:26.412420
PEP	Pepsico	Food Consumer Products	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 23:30:26.412186
PAGP	Plains Gp Holdings	Pipelines	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 23:30:26.411950
ORCL	Oracle	Computer Software	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 23:30:26.411715
NVDA	Nvidia	Semiconductor And Electronics	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 23:30:26.411481
NKE	Nike	Apparel	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 23:30:26.411247
MSFT	Microsoft	Computer Software	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 23:30:26.411011
MS	Morgan Stanley	Commercial Banks	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 23:30:26.410776
MRK	Merck	Pharmaceutical	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 23:30:26.410544
META	Meta Platforms	Internet Services And Retailing	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 23:30:26.410074
HD	Home Depot	Specialty Retailers	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 23:30:26.407412
MET	Metlife	Insurance	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 23:30:26.409840
MCK	Mckesson	Wholesalers	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 23:30:26.409602
LMT	Lockheed Martin	Aerospace, Defense	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 23:30:26.409369
LFG.AX	Liberty Mutual Insurance Group	Insurance	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 23:30:26.409133
KR	Kroger	Food & Drug Stores	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 23:30:26.408894
JPM	Jp Morgan Chase	Commercial Banks	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 23:30:26.408653
JNJ	Johnson & Johnson	Pharmaceutical	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 23:30:26.408405
INTC	Intel	Semiconductor And Electronics	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 23:30:26.408164
IBM	Ibm	Information Technology Services	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 23:30:26.407923
PFIZER.NS	Pfizer	Pharmaceutical	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 23:30:26.412652
PG	Procter & Gamble	Household And Personal Products	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 23:30:26.412886
PGR	Progressive	Insurance	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 23:30:26.413118
PRU	Prudential Financial	Insurance	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 23:30:26.413356
X1G.PA	Lowe'S	Specialty Retailers	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 23:30:26.417800
WMT	Walmart	General Merchandisers	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 23:30:26.417569
WKC	World Kinect	Energy	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 23:30:26.417336
WFC	Wells Fargo	Commercial Banks	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 23:30:26.417103
VZ	Verizon Communications	Telecommunications	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 23:30:26.416869
VLO	Valero Energy	Petroleum Refining	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 23:30:26.416638
UPS	United Parcel Service	Mail, Package, And Freight Delivery	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 23:30:26.416403
UNH	Unitedhealth Group	Health Care	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 23:30:26.416171
UAL	United Airlines Holdings	Airlines	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 23:30:26.415938
TSN	Tyson Foods	Food Production	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 23:30:26.415703
TSLA	Tesla	Motor Vehicles & Parts	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 23:30:26.415469
