company,ticker,date,open,high,low,close,volume
Exxon Mobil Corporation,XOM,2012-07-10,49.03,49.21,48.3,48.46,14106100
"Wal-Mart Stores, Inc.",WMT,2012-07-10,18.35,18.52,18.28,18.4,39984600
Chevron Corporation,CVX,2012-07-10,60.13,60.43,59.23,59.57,6424200
ConocoPhillips,COP,2012-07-10,34.51,34.6,33.64,33.8,7696800
General Motors Company,GM,2012-07-10,15.13,15.3,14.74,14.79,9803300
General Electric Company,GE,2012-07-10,75.57,75.68,73.53,73.98,11390989
Fannie Mae,FNMA,2012-07-10,0.24,0.25,0.24,0.24,1092500
Ford Motor Company,F,2012-07-10,4.93,4.95,4.81,4.85,33516600
AT&T Inc.,ATT.L,2012-07-10,30.18,30.7,30.18,30.7,15770
Valero Energy Corporation,VLO,2012-07-10,13.52,13.72,13.27,13.36,10723716
Bank of America Corporation,BAC,2012-07-10,6.03,6.04,5.83,5.89,101758300
McKesson Corporation,MCK,2012-07-10,85.16,85.9,84.38,84.55,1043900
Verizon Communications Inc.,VZ,2012-07-10,23.03,23.11,22.89,22.93,12098400
J.P. Morgan Chase & Co.,JPM,2012-07-10,23.9,24.06,23.62,23.93,33175500
CVS Caremark Corporation,CVS,2012-07-10,33.39,33.52,33.0,33.09,6120500
International Business Machines Corporation,IBM,2012-07-10,109.4,109.88,106.7,107.08,4906054
Citigroup Inc.,C,2012-07-10,19.65,19.77,19.1,19.23,27895100
"Cardinal Health, Inc.",CAH,2012-07-10,29.96,30.17,29.79,29.96,3168700
UnitedHealth Group Incorporated,UNH,2012-07-10,45.62,45.76,44.78,45.16,5662700
The Kroger Company,KR,2012-07-10,8.73,8.81,8.7,8.75,17583200
Costco Wholesale Corporation,COST,2012-07-10,69.17,69.37,68.57,68.68,1867600
Freddie Mac,FMCC,2012-07-10,0.25,0.25,0.24,0.25,414100
Wells Fargo & Company,WFC,2012-07-10,22.94,23.07,22.44,22.59,21878400
Marathon Petroleum Corporation,MPC,2012-07-10,15.1,15.21,14.81,14.87,5399800
"American International Group,Inc.",AIG,2012-07-10,23.83,23.99,23.4,23.59,7762500
"MetLife, Inc.",MET,2012-07-10,17.51,17.68,17.18,17.28,7493277
"The Home Depot, Inc.",THD,2012-07-10,49.13,49.3,48.33,48.49,97300
Microsoft Corporation,MSFT,2012-07-10,23.87,23.98,23.42,23.6,37534100
Target Corporation,TGT,2012-07-10,39.38,40.2,39.21,40.03,8310600
The Boeing Company,BA,2012-07-10,61.79,62.13,60.35,60.62,4756700
Pfizer Inc.,PFIZER.NS,2012-07-10,755.49,758.74,750.74,756.03,5153
"PepsiCo, Inc.",PEP,2012-07-10,47.42,47.51,47.12,47.22,5074800
Johnson & Johnson,JNJ,2012-07-10,46.72,46.81,46.56,46.66,12851800
Caterpillar Inc.,CAT,2012-07-10,59.09,59.61,55.95,56.76,15154700
The Dow Chemical Company,TDC,2012-07-10,66.09,66.2,62.22,62.79,2732500
Comcast Corporation,CMCSA,2012-07-10,11.76,11.92,11.63,11.7,25600600
