Year,AvgDailyReturn,AvgVolatility,TotalVolume,CompanyCount,AvgGDP,AvgInflation
2023,0.18638208205024576,1.446225900149606,17442756365,92,,
2024,0.07655418285779758,1.8502714215420228,1272073972716,93,29298.0126953125,313.6978530883789
2025,0.0,0.0,3939119712,92,15131.96044921875,240.89507293701172
