company,ticker,date,open,high,low,close,volume
Walmart,WMT,2017-03-30,20.4,20.7,20.39,20.66,24424500
Apple,APLE,2017-03-30,11.93,12.11,11.89,12.1,972100
Exxon Mobil,XOM,2017-03-30,55.31,56.55,55.24,56.43,44704900
McKesson,MCK,2017-03-30,140.89,141.38,139.17,139.61,1196700
UnitedHealth Group,UNH,2017-03-30,143.33,145.33,143.17,144.51,2993800
CVS Health,CVS,2017-03-30,59.76,60.11,59.6,59.92,3834600
General Motors,GM,2017-03-30,30.33,30.57,30.17,30.25,8760600
AT&T,ATT.L,2017-03-30,91.2,93.11,91.2,93.0,249530
Ford Motor,F,2017-03-30,7.33,7.37,7.29,7.34,28008200
General Electric,GE,2017-03-30,130.72,132.17,130.58,131.64,7503760
Verizon Communications,VZ,2017-03-30,30.72,30.87,30.65,30.75,11623000
Cardinal Health,CAH,2017-03-30,63.37,63.59,62.87,63.35,1312100
Costco,COST,2017-03-30,142.77,143.52,142.31,143.28,1034000
Kroger,KR,2017-03-30,24.38,24.39,24.18,24.28,5863600
Chevron,CVX,2017-03-30,74.35,74.71,73.7,74.1,6797700
Fannie Mae,FNMA,2017-03-30,2.65,2.65,2.47,2.62,3688300
J.P. Morgan Chase,JPM,2017-03-30,69.67,70.66,69.6,70.32,11631000
Express Scripts Holding,ESH.BE,2017-03-30,7.54,7.54,7.54,7.54,0
Home Depot,HD,2017-03-30,119.57,120.11,119.34,119.76,2450800
Boeing,BA,2017-03-30,165.75,166.91,165.72,166.43,1737200
Wells Fargo,WFC,2017-03-30,43.63,44.22,43.57,44.07,12106500
Bank of America Corp.,BAC,2017-03-30,19.23,19.72,19.19,19.63,79189200
Alphabet,GOOGL,2017-03-30,42.31,42.31,42.05,42.18,18988000
Microsoft,MSFT,2017-03-30,59.21,59.72,59.16,59.47,15122800
Citigroup,C,2017-03-30,44.9,45.99,44.88,45.75,14886200
Comcast,CMCSA,2017-03-30,29.93,30.27,29.93,30.24,10232300
IBM,IBM,2017-03-30,113.74,114.22,113.63,113.74,3314042
Phillips 66,PSX,2017-03-30,55.94,56.28,55.63,56.09,3241500
Johnson & Johnson,JNJ,2017-03-30,98.5,99.05,98.14,98.44,4711700
Procter & Gamble,PG,2017-03-30,71.56,71.62,71.25,71.33,3691900
Valero Energy,VLO,2017-03-30,47.47,47.49,46.71,46.73,7512800
Target,TGT,2017-03-30,42.65,42.92,42.5,42.8,4870200
Freddie Mac,FMCC,2017-03-30,2.53,2.53,2.44,2.5,2413100
Lowe's,X1G.PA,2017-03-30,224.67,224.67,224.67,224.67,0
Dell Technologies,DELL,2017-03-30,16.44,16.79,16.39,16.46,9212396
MetLife,MET,2017-03-30,34.54,35.37,34.5,35.17,7658884
PepsiCo,PEP,2017-03-30,86.94,87.14,86.72,86.86,2104900
Archer Daniels Midland,ADM,2017-03-30,35.72,35.73,35.43,35.56,2018900
UPS,UPS,2017-03-30,76.19,76.93,75.85,76.8,1721600
Intel,INTC,2017-03-30,29.25,29.51,29.21,29.39,16433000
Prudential Financial,PRU,2017-03-30,70.25,71.74,70.22,71.58,1995400
Marathon Petroleum,MPC,2017-03-30,38.56,38.72,38.11,38.21,5893200
Disney,DIS,2017-03-30,105.99,106.72,105.76,106.61,4192800
Humana,HUM.ST,2017-03-30,68.75,68.99,68.04,68.52,102385
Pfizer,PFIZER.NS,2017-03-30,1538.35,1594.62,1526.41,1579.91,45971
AIG,AIG,2017-03-30,49.64,50.58,49.6,50.32,4706600
Lockheed Martin,LMT,2017-03-30,214.52,216.42,214.24,216.1,562200
Sysco,SYY,2017-03-30,41.33,41.77,41.27,41.58,1921200
FedEx,FDX,2017-03-30,167.53,169.13,166.82,168.99,1890800
Hewlett Packard Enterprise,HPE,2017-03-30,10.62,10.72,10.59,10.63,15394686
Cisco Systems,CSCO,2017-03-30,25.91,26.01,25.85,25.87,12801600
HP,HP,2017-03-30,43.11,43.77,42.69,43.17,1977000
New York Life Insurance,601336.SS,2017-03-30,32.8,33.23,32.61,32.98,10467878
Centene,CNC,2017-03-30,35.46,36.17,35.38,36.08,3667600
American Airlines Group,AAL,2017-03-30,40.53,41.3,40.47,41.2,3681400
Merck,MRK,2017-03-30,46.65,46.78,46.51,46.61,5577456
Cigna,CI,2017-03-30,135.65,136.93,135.27,135.7,804700
Delta Air Lines,DAL,2017-03-30,41.53,41.94,41.43,41.75,4909100
Best Buy,BBY,2017-03-30,35.41,36.14,35.36,36.07,3243600
Honeywell International,HON,2017-03-30,94.36,94.81,94.26,94.57,1971671
Caterpillar,CAT,2017-03-30,76.41,76.73,75.94,76.61,3672600
Morgan Stanley,MS,2017-03-30,33.22,33.89,33.18,33.67,11264300
Goldman Sachs Group,GS,2017-03-30,191.37,193.47,191.28,192.82,3156800
Energy Transfer Equity,ET,2017-03-30,9.26,9.27,9.17,9.27,2186600
TIAA,TILIX,2017-03-30,13.33,13.33,13.33,13.33,0
Oracle,ORCL,2017-03-30,38.96,39.22,38.89,39.16,7792500
Tyson Foods,TSN,2017-03-30,49.68,49.84,49.46,49.5,1556900
United Continental Holdings,UAL,2017-03-30,69.66,70.96,69.66,70.78,2462400
Allstate,ALL,2017-03-30,67.14,67.58,67.02,67.42,1159100
American Express,AXP,2017-03-30,69.34,70.32,69.25,70.24,2924100
TJX,TJX,2017-03-30,35.11,35.28,35.06,35.25,3761200
Nike,NKE,2017-03-30,50.78,50.89,50.18,50.39,7210500
Exelon,EXC,2017-03-30,18.81,18.88,18.65,18.77,5610944
General Dynamics,GD,2017-03-30,155.16,155.87,154.97,155.44,926000
Gilead Sciences,GILD,2017-03-30,49.15,49.45,48.96,49.27,5198700
3M,MMM,2017-03-30,118.52,118.99,118.12,118.85,2195138
Time Warner,T,2017-03-30,16.64,16.81,16.61,16.78,19560644
Charter Communications,CHTR,2017-03-30,325.13,328.55,322.58,328.12,850600
Northwestern Mutual,NWE,2017-03-30,41.13,41.17,40.86,41.16,275400
Travelers Cos.,TRV,2017-03-30,99.84,100.59,99.84,100.4,1093100
Capital One Financial,COF,2017-03-30,72.82,74.92,72.56,74.81,4081700
