ticker	company	sector_name	avg_currency_correlation	avg_annual_return	exposure_category	interpretation	analysis_type	generated_at
601336.SS	New York Life Insurance	Insurance: Life, Health (Mutual)	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
MRK	Merck	Pharmaceuticals	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
PFIZER.NS	Pfizer	Pharmaceuticals	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
PFGC	Performance Food	Wholesalers: Food and Grocery	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
PEP	PepsiCo	Food Consumer Products	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
PAGP	Plains GP	Pipelines	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
ORCL	Oracle	Computer Software	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
NVDA	Nvidia	Semiconductors and Other Electronic Components	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
NKE	Nike	Apparel	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
MSFT	Microsoft	Computer Software	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
MS	Morgan Stanley	Commercial Banks	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
MPC	Marathon Petroleum	Petroleum Refining	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
IBM	IBM	Information Technology Services	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
META	Meta	Internet Services and Retailing	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
MET	MetLife	Insurance: Life, Health (Stock)	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
MCK	McKesson	Wholesalers: Health Care	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
LMT	Lockheed Martin	Aerospace & Defense	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
LLY	Eli Lilly	Pharmaceuticals	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
KR	Kroger	Food & Drug Stores	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
JPM	JPMorgan Chase	Commercial Banks	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
JNJ	Johnson & Johnson	Pharmaceuticals	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
INTC	Intel	Semiconductors and Other Electronic Components	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
PG	Procter & Gamble	Household and Personal Products	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
PGR	Progressive	Insurance: Property and Casualty (Stock)	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
PRU	Prudential Financial	Insurance: Life, Health (Stock)	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
PSX	Phillips 66	Petroleum Refining	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
X1G.PA	Lowe's	Specialty Retailers: Other	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
WMT	Walmart	General Merchandisers	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
WFC	Wells Fargo	Commercial Banks	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
VZ	Verizon	Telecommunications	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
VLO	Valero Energy	Petroleum Refining	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
UPS	UPS	Mail, Package and Freight Delivery	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
UNH	UnitedHealth	Health Care: Insurance and Managed Care	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
UIPMX	USAA	Insurance: Property and Casualty (Stock)	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
UAL	United Airlines	Airlines	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
TSN	Tyson Foods	Food Production	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
TSLA	Tesla	Motor Vehicles & Parts	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
TRV	Travelers	Insurance: Property and Casualty (Stock)	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
TJX	TJX	Specialty Retailers: Apparel	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
TILIX	TIAA	Insurance: Life, Health (Mutual)	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
TGT	Target	General Merchandisers	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
SYY	Sysco	Wholesalers: Food and Grocery	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
SNX	TD Synnex	Wholesalers: Electronics and Office Equipment	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
SNEX	StoneX	Diversified Financials	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
RTX	RTX	Aerospace & Defense	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
INGM	Ingram Micro	Wholesalers: Electronics and Office Equipment	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
HUM.ST	Humana	Health Care: Insurance and Managed Care	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
AAL	American Airlines	Airlines	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
BA	Boeing	Aerospace & Defense	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
COLA.WA	Coca-Cola	Beverages	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
CNC	Centene	Health Care: Insurance and Managed Care	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
CMCSA	Comcast	Telecommunications	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
CITI.NE	Citi	Commercial Banks	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
CI	Cigna	Health Care: Pharmacy and Other Services	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
CHTR	Charter Communications	Telecommunications	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
CAT	Caterpillar	Construction and Farm Machinery	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
CAH	Cardinal Health	Wholesalers: Health Care	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
BAC	Bank of America	Commercial Banks	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
AXP	American Express	Diversified Financials	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
HP	HP	Computers, Office Equipment	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
AVGO	Broadcom	Semiconductors and Other Electronic Components	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
ATT.L	AT&T	Telecommunications	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
APLE	Apple	Computers, Office Equipment	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
AMZN	Amazon	Internet Services and Retailing	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
ALL	Allstate	Insurance: Property and Casualty (Stock)	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
ALL	Allstate	Insurance: Property and Casualty (Mutual)	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
ADM	Archer Daniels Midland	Food Production	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
ACI	Albertsons	Food & Drug Stores	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
ABBV	AbbVie	Pharmaceuticals	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
COP	ConocoPhillips	Mining, Crude-Oil Production	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
COR	Cencora	Wholesalers: Health Care	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
COST	Costco	General Merchandisers	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 20:42:25.010028
