ticker	company	sector_name	outperformance_rate	max_consecutive_quarters	total_quarters_analyzed	avg_company_return	avg_sector_return	return_advantage	consistency_category	analysis_type	generated_at
601336.SS	New York Life Insurance	Insurance: Life, Health (Mutual)	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 20:42:25.011743
MRK	Merck	Pharmaceuticals	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 20:42:25.026325
PFIZER.NS	Pfizer	Pharmaceuticals	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 20:42:25.028461
PFGC	Performance Food	Wholesalers: Food and Grocery	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 20:42:25.028228
PEP	PepsiCo	Food Consumer Products	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 20:42:25.027993
PAGP	Plains GP	Pipelines	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 20:42:25.027757
ORCL	Oracle	Computer Software	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 20:42:25.027517
NVDA	Nvidia	Semiconductors and Other Electronic Components	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 20:42:25.027279
NKE	Nike	Apparel	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 20:42:25.027043
MSFT	Microsoft	Computer Software	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 20:42:25.026805
MS	Morgan Stanley	Commercial Banks	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 20:42:25.026565
MPC	Marathon Petroleum	Petroleum Refining	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 20:42:25.026081
AAL	American Airlines	Airlines	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 20:42:25.012010
META	Meta	Internet Services and Retailing	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 20:42:25.025831
MET	MetLife	Insurance: Life, Health (Stock)	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 20:42:25.025560
MCK	McKesson	Wholesalers: Health Care	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 20:42:25.025171
LMT	Lockheed Martin	Aerospace & Defense	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 20:42:25.024901
LLY	Eli Lilly	Pharmaceuticals	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 20:42:25.024667
KR	Kroger	Food & Drug Stores	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 20:42:25.024436
JPM	JPMorgan Chase	Commercial Banks	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 20:42:25.024200
JNJ	Johnson & Johnson	Pharmaceuticals	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 20:42:25.023968
INTC	Intel	Semiconductors and Other Electronic Components	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 20:42:25.023735
PG	Procter & Gamble	Household and Personal Products	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 20:42:25.028693
PGR	Progressive	Insurance: Property and Casualty (Stock)	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 20:42:25.028928
PRU	Prudential Financial	Insurance: Life, Health (Stock)	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 20:42:25.029162
PSX	Phillips 66	Petroleum Refining	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 20:42:25.029397
X1G.PA	Lowe's	Specialty Retailers: Other	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 20:42:25.033885
WMT	Walmart	General Merchandisers	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 20:42:25.033653
WFC	Wells Fargo	Commercial Banks	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 20:42:25.033411
VZ	Verizon	Telecommunications	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 20:42:25.033162
VLO	Valero Energy	Petroleum Refining	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 20:42:25.032930
UPS	UPS	Mail, Package and Freight Delivery	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 20:42:25.032696
UNH	UnitedHealth	Health Care: Insurance and Managed Care	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 20:42:25.032462
UIPMX	USAA	Insurance: Property and Casualty (Stock)	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 20:42:25.032224
UAL	United Airlines	Airlines	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 20:42:25.031979
TSN	Tyson Foods	Food Production	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 20:42:25.031745
TSLA	Tesla	Motor Vehicles & Parts	0.0	0	1	0.0	0.0	0.0	Inconsistent or Below-Average Performer	consistent_performers	2025-11-24 20:42:25.031511
