company,ticker,date,open,high,low,close,volume
Ford Motor Company,F,1997-09-30,6.07,6.19,6.05,6.09,5613333
Exxon Corporation,XOM,1997-09-30,13.46,13.64,13.36,13.4,5220000
"Wal-Mart Stores, Inc.",WMT,1997-09-30,3.87,3.89,3.85,3.86,13917000
General Electric Company,GE,1997-09-30,57.47,58.36,57.1,57.1,2503319
International Business Machines Corporation,IBM,1997-09-30,25.57,26.22,25.29,25.87,13046130
AT&T Corp.,ATT.L,1997-09-30,12.95,12.95,12.95,12.95,0
Chevron Corporation,CVX,1997-09-30,15.0,15.06,14.78,14.78,1945400
"PepsiCo, Inc.",PEP,1997-09-30,18.88,18.97,18.53,18.79,3716600
"American International Group,Inc.",AIG,1997-09-30,438.58,440.16,432.04,432.3,97847
"Motorola, Inc.",MSI,1997-09-30,59.03,60.33,58.82,59.76,2866886
Lockheed Martin Corporation,LMT,1997-09-30,26.22,26.46,26.18,26.46,1898600
The Kroger Company,KR,1997-09-30,5.37,5.38,5.28,5.31,3878400
Fannie Mae,FNMA,1997-09-30,36.69,37.28,36.59,36.98,2110400
"ConAgra, Inc.",CAG,1997-09-30,9.82,9.94,9.54,9.57,1015407
The Allstate Corporation,ALL,1997-09-30,20.79,20.95,20.48,20.77,1947000
The Boeing Company,BA,1997-09-30,34.49,34.49,34.02,34.14,2673400
Johnson & Johnson,JNJ,1997-09-30,14.49,14.49,14.28,14.33,5560600
Travelers Group Inc.,TRV,1997-09-30,20.06,20.22,19.93,20.22,298200
Intel Corporation,INTC,1997-09-30,13.42,13.44,13.05,13.06,62021200
International Paper Company,IP,1997-09-30,19.76,19.85,19.7,19.79,1110296
Loews Corporation,L,1997-09-30,15.09,15.33,15.06,15.3,2574600
"Merck & Co., Inc.",MRK,1997-09-30,18.42,18.55,18.01,18.13,5447294
Xerox Corporation,XRX,1997-09-30,45.67,46.77,45.53,46.25,722113
CIGNA Corporation,CI,1997-09-30,16.72,16.9,16.61,16.74,1629000
The Walt Disney Company,DIS,1997-09-30,19.92,20.28,19.86,20.08,3767866
American Express Company,AXP,1997-09-30,16.59,16.67,16.47,16.49,3371187
"Caterpillar, Inc.",CAT,1997-09-30,13.31,13.47,13.27,13.28,1520000
J.P. Morgan & Co. Incorporated,JPM,1997-09-30,17.82,18.01,17.72,17.72,5900400
Digital Equipment Corporation,GEN,1997-09-30,0.99,1.04,0.99,1.02,11570400
Rockwell International Corporation,ROK,1997-09-30,9.13,9.18,9.03,9.15,228500
Minnesota Mining & Manufacturing Company,MMM,1997-09-30,17.82,18.04,17.78,17.9,2381236
McKesson Corporation,MCK,1997-09-30,41.22,41.47,41.15,41.15,481000
SYSCO Corporation,SYY,1997-09-30,4.61,4.66,4.56,4.63,1446800
Archer Daniels Midland Company,ADM,1997-09-30,10.35,10.41,10.27,10.38,910657
Morgan Stanley Group,MS,1997-09-30,13.06,13.06,12.78,12.84,2886000
Alcoa,AA,1997-09-30,33.75,34.08,33.67,33.8,978777
The Goodyear Tire & Rubber Company,TGT,1997-09-30,9.01,9.02,8.64,8.73,5294800
