company,ticker,date,open,high,low,close,volume
Walmart,WMT,2025-03-24,86.06,87.23,85.94,87.08,17900700
Amazon,AMZN,2025-03-24,200.0,203.64,199.95,203.26,41625400
UnitedHealth,UNH,2025-03-24,508.24,511.37,504.34,509.64,3840900
Apple,APLE,2025-03-24,12.74,12.85,12.57,12.69,2145200
CVS Health,CVS,2025-03-24,65.62,66.53,65.31,65.62,11329600
Alphabet,GOOGL,2025-03-24,166.72,167.97,164.79,167.33,30879100
Exxon Mobil,XOM,2025-03-24,112.58,113.78,112.49,112.7,14207500
McKesson,MCK,2025-03-24,661.62,662.14,654.38,659.42,775400
Cencora,COR,2025-03-24,266.83,268.39,265.25,266.05,1056800
JPMorgan Chase,JPM,2025-03-24,241.63,244.79,240.58,244.17,9422700
Costco,COST,2025-03-24,916.24,924.85,916.24,922.25,2208100
Cigna,CI,2025-03-24,314.35,317.87,312.59,317.26,1287800
Microsoft,MSFT,2025-03-24,393.29,393.29,387.73,390.98,21004500
Cardinal Health,CAH,2025-03-24,131.55,132.23,130.36,131.89,2153200
Chevron,CVX,2025-03-24,159.14,160.82,158.78,159.46,8068000
Bank of America,BAC,2025-03-24,42.44,42.66,42.26,42.58,30646100
General Motors,GM,2025-03-24,50.47,51.59,50.17,51.16,16024400
Ford Motor,F,2025-03-24,9.65,9.85,9.62,9.85,102847200
Elevance Health,ELV,2025-03-24,421.82,428.09,420.62,423.05,972100
Citi,CITI.NE,2025-03-24,30.34,30.76,30.09,30.7,52468
Meta,META,2025-03-24,614.08,621.64,611.32,617.96,15741300
Centene,CNC,2025-03-24,58.97,59.98,58.47,59.34,3034500
Home Depot,HD,2025-03-24,350.44,360.14,350.11,359.48,4023200
Fannie Mae,FNMA,2025-03-24,6.95,7.1,6.46,7.1,16708000
Kroger,KR,2025-03-24,64.34,64.67,63.83,64.41,4803800
Phillips 66,PSX,2025-03-24,122.1,124.09,121.53,122.99,4032700
Marathon Petroleum,MPC,2025-03-24,148.71,150.98,145.19,146.29,3087300
Verizon,VZ,2025-03-24,41.54,42.03,41.45,41.48,18050000
Nvidia,NVDA,2025-03-24,119.86,122.2,119.32,121.39,228452500
Goldman Sachs,GSBD,2025-03-24,10.73,10.75,10.6,10.72,785600
Wells Fargo,WFC,2025-03-24,72.43,73.31,72.13,73.06,10688900
Valero Energy,VLO,2025-03-24,128.32,131.23,127.59,128.97,4497100
Comcast,CMCSA,2025-03-24,35.75,35.84,35.45,35.56,34933300
Allstate,ALL,2025-03-24,204.99,205.99,203.74,205.29,1240800
AT&T,ATT.L,2025-03-24,373.0,389.0,373.0,386.0,850377
Freddie Mac,FMCC,2025-03-24,5.76,5.98,5.5,5.94,5791700
Humana,HUM.ST,2025-03-24,43.74,43.74,41.16,41.94,283052
Morgan Stanley,MS,2025-03-24,119.77,122.23,119.47,121.69,6184400
Target,TGT,2025-03-24,101.41,104.78,101.36,104.66,8526100
StoneX,SNEX,2025-03-24,78.93,79.7,73.58,79.15,481700
Tesla,TSLA,2025-03-24,258.08,278.64,256.33,278.39,169079900
Dell Technologies,DELL,2025-03-24,98.61,100.11,97.91,98.42,6491800
PepsiCo,PEP,2025-03-24,142.52,143.72,141.87,143.46,5968900
Walt Disney,DIS,2025-03-24,99.79,100.01,98.44,99.75,8224400
UPS,UPS,2025-03-24,109.83,111.22,109.38,109.9,6611600
Johnson & Johnson,JNJ,2025-03-24,160.28,161.81,159.94,160.72,8046400
FedEx,FDX,2025-03-24,232.01,241.29,231.75,239.23,3999000
Archer Daniels Midland,ADM,2025-03-24,44.67,45.36,44.27,44.7,3992300
Procter & Gamble,PG,2025-03-24,163.13,163.57,162.09,162.37,6102100
Lowe's,X1G.PA,2025-03-24,226.14,226.14,226.14,226.14,0
Energy Transfer,ET,2025-03-24,17.75,18.03,17.71,17.82,12855200
RTX,RTX,2025-03-24,130.89,133.09,130.18,132.89,5525300
Albertsons,ACI,2025-03-24,20.69,20.79,20.3,20.35,4290200
Sysco,SYY,2025-03-24,69.85,70.4,69.73,70.0,2659100
Progressive,PGR,2025-03-24,275.16,275.69,272.22,273.69,2553300
American Express,AXP,2025-03-24,272.94,275.93,271.95,275.54,2651400
Lockheed Martin,LMT,2025-03-24,419.66,429.65,418.35,428.88,3015400
MetLife,MET,2025-03-24,81.6,82.63,81.37,82.33,2971900
HCA Healthcare,HCA,2025-03-24,326.6,335.54,324.82,332.6,1423800
Prudential Financial,PRU,2025-03-24,107.53,109.14,107.21,108.97,1745000
Boeing,BA,2025-03-24,182.03,184.4,180.44,180.9,9986100
Caterpillar,CAT,2025-03-24,336.71,339.28,335.47,337.82,2277200
Merck,MRK,2025-03-24,91.08,91.29,89.77,90.5,16950100
Pfizer,PFIZER.NS,2025-03-24,4003.81,4075.53,3964.99,3982.19,38368
IBM,IBM,2025-03-24,242.69,244.17,241.37,243.81,4753300
New York Life Insurance,601336.SS,2025-03-24,49.08,50.3,49.04,49.94,20572264
Delta Airlines,DAL,2025-03-24,47.3,48.9,47.25,48.42,9852900
TD Synnex,SNX,2025-03-24,127.96,130.27,126.96,128.83,832200
United Airlines,UAL,2025-03-24,76.65,80.34,76.65,80.22,8778700
ConocoPhillips,COP,2025-03-24,99.42,100.3,98.97,99.57,6768300
TJX,TJX,2025-03-24,115.92,118.59,115.9,118.49,4315200
AbbVie,ABBV,2025-03-24,204.22,205.81,202.38,204.01,7393800
Enterprise Products Partners,EPD,2025-03-24,32.12,32.3,31.87,31.96,3236300
Charter Communications,CHTR,2025-03-24,365.59,371.98,364.33,367.5,1488200
Performance Food,PFGC,2025-03-24,77.81,79.08,77.19,78.43,1760200
American Airlines,AAL,2025-03-24,11.56,11.9,11.54,11.83,44590200
Cisco Systems,CSCO,2025-03-24,59.91,60.24,59.75,59.84,28335600
HP,HP,2025-03-24,24.18,24.7,24.11,24.54,1178100
Tyson Foods,TSN,2025-03-24,59.21,59.84,58.98,59.3,2453500
Intel,INTC,2025-03-24,24.72,24.99,24.13,24.22,69169000
Oracle,ORCL,2025-03-24,155.18,155.44,152.89,153.72,7848300
Broadcom,AVGO,2025-03-24,193.51,195.89,189.9,190.47,33180300
Deere,DE,2025-03-24,471.83,478.36,469.38,475.12,903800
Nike,NKE,2025-03-24,67.76,68.08,65.91,66.6,26552500
Plains GP,PAGP,2025-03-24,20.17,20.32,20.06,20.18,1230300
USAA,UIPMX,2025-03-24,25.5,25.5,25.5,25.5,0
Ingram Micro,INGM,2025-03-24,19.42,19.91,19.12,19.7,435200
General Dynamics,GD,2025-03-24,261.05,262.24,259.67,261.91,1023200
Coca-Cola,COLA.WA,2025-03-24,268.55,268.55,268.55,268.55,3
TIAA,TILIX,2025-03-24,63.23,63.23,63.23,63.23,0
Travelers,TRV,2025-03-24,256.72,257.87,254.69,257.34,1240000
Eli Lilly,LLY,2025-03-24,840.51,861.93,832.99,859.98,3102400
