Ticker,Company,Industry,AvgReturn,AvgVolatility
LLY,Eli Lilly,,1.3761335760354996,2.0545832839879123
CAH,Cardinal Health,Wholesalers: Health Care,1.3173191723498432,2.817021418701519
GOOGL,Alphabet,,1.0253487225960602,1.8055319298397412
MRK,Merck,Pharmaceuticals,0.882014173167673,1.9317952340299434
CNC,Centene,,0.7830189022828232,3.584177168932828
HCA,HCA Healthcare,,0.6677716723219915,1.485270993276076
FDX,FedEx,"Mail, Package, and Freight Delivery",0.5936004956337538,1.6804120432246814
COR,Cencora,,0.5549897575242952,1.1291229128837585
TSN,Tyson Foods,Food Production,0.5040812346745621,1.3449795246124268
MCK,McKesson,Wholesalers: Health Care,0.48026406494053925,1.4002224261110479
UPS,UPS,"Mail, Package, and Freight Delivery",0.47342719306999986,1.9817846579985186
ALL,Allstate,Insurance: Property and Casualty (Stock),0.44326698824509303,1.432357137853449
AVGO,Broadcom,,0.42981618795205245,2.8751256574283945
CAT,Caterpillar,Industrial and Farm Equipment,0.40896001187237824,2.704872570254586
HP,HP,,0.4037247801368887,2.8706048510291358
TRV,Travelers,,0.38977932574396784,1.3167457201264121
JNJ,Johnson & Johnson,Pharmaceuticals,0.37801314602521335,0.8661278513344851
CSCO,Cisco Systems,Network and Other Communications Equipment,0.36965769715607166,1.4185234199870715
TJX,TJX,,0.34236091222952714,0.995615233074535
PRU,Prudential Financial,"Insurance: Life, Health (Stock)",0.3328696478327567,1.3073196898807178
