company,ticker,date,open,high,low,close,volume
Exxon Mobil Corporation,XOM,2012-06-18,48.11,48.5,48.02,48.46,13885100
"Wal-Mart Stores, Inc.",WMT,2012-06-18,17.21,17.42,17.2,17.38,22660500
Chevron Corporation,CVX,2012-06-18,59.14,59.62,59.06,59.33,6630300
ConocoPhillips,COP,2012-06-18,34.78,34.91,34.47,34.8,8850100
General Motors Company,GM,2012-06-18,16.09,16.23,15.98,16.01,6394000
General Electric Company,GE,2012-06-18,74.33,74.7,73.84,73.84,8757548
Fannie Mae,FNMA,2012-06-18,0.26,0.26,0.26,0.26,827700
Ford Motor Company,F,2012-06-18,5.37,5.39,5.32,5.36,27361000
AT&T Inc.,ATT.L,2012-06-18,30.27,30.27,29.52,29.75,195050
Valero Energy Corporation,VLO,2012-06-18,12.47,12.47,12.25,12.32,6999959
Bank of America Corporation,BAC,2012-06-18,6.12,6.23,6.09,6.11,140319900
McKesson Corporation,MCK,2012-06-18,81.91,83.56,81.91,83.41,1048200
Verizon Communications Inc.,VZ,2012-06-18,22.08,22.39,22.07,22.23,12273800
J.P. Morgan Chase & Co.,JPM,2012-06-18,24.05,24.45,23.9,23.98,31084400
CVS Caremark Corporation,CVS,2012-06-18,32.11,32.35,31.95,32.2,7135300
International Business Machines Corporation,IBM,2012-06-18,113.58,114.77,113.35,113.99,3534329
Citigroup Inc.,C,2012-06-18,20.79,20.9,20.44,20.47,32822200
"Cardinal Health, Inc.",CAH,2012-06-18,29.53,29.81,29.49,29.71,1262800
UnitedHealth Group Incorporated,UNH,2012-06-18,47.66,48.21,47.17,48.17,9718000
The Kroger Company,KR,2012-06-18,8.83,8.85,8.73,8.83,12451600
Costco Wholesale Corporation,COST,2012-06-18,66.9,67.42,66.63,67.38,1570900
Freddie Mac,FMCC,2012-06-18,0.26,0.27,0.26,0.26,416900
Wells Fargo & Company,WFC,2012-06-18,22.15,22.42,22.06,22.24,20933700
Marathon Petroleum Corporation,MPC,2012-06-18,13.49,13.53,13.21,13.47,7128800
"American International Group,Inc.",AIG,2012-06-18,23.7,24.14,23.57,24.0,12447200
"MetLife, Inc.",MET,2012-06-18,17.11,17.13,16.76,16.9,10130987
"The Home Depot, Inc.",THD,2012-06-18,47.57,47.95,47.45,47.78,128100
Microsoft Corporation,MSFT,2012-06-18,23.8,23.83,23.57,23.68,58679900
Target Corporation,TGT,2012-06-18,39.4,39.74,39.0,39.51,3834200
The Boeing Company,BA,2012-06-18,59.35,59.89,58.99,59.53,3435200
Pfizer Inc.,PFIZER.NS,2012-06-18,721.03,728.08,710.22,715.39,2974
"PepsiCo, Inc.",PEP,2012-06-18,46.92,47.14,46.9,47.04,4337700
Johnson & Johnson,JNJ,2012-06-18,45.24,45.63,45.24,45.57,25750000
Caterpillar Inc.,CAT,2012-06-18,61.06,61.59,60.58,61.34,4722600
The Dow Chemical Company,TDC,2012-06-18,71.97,73.24,71.0,72.77,1284700
Comcast Corporation,CMCSA,2012-06-18,11.54,11.66,11.49,11.56,24327400
Kraft Foods Inc.,1959.T,2012-06-18,337.43,351.07,337.43,341.74,12000
Intel Corporation,INTC,2012-06-18,19.15,19.37,19.1,19.24,30432300
"United Parcel Service, Inc.",UPS,2012-06-18,48.65,49.1,48.44,48.89,3083500
"Best Buy Co., Inc.",BBY,2012-06-18,12.56,12.69,12.44,12.53,4565200
"Lowe's Companies, Inc.",LOW,2012-06-18,21.86,22.39,21.83,22.29,11708800
"Prudential Financial, Inc.",PRU,2012-06-18,27.61,27.65,26.99,27.1,3423000
"Merck & Co., Inc.",MRK,2012-06-18,24.3,24.51,24.3,24.38,8651135
