rank,company,industry,revenue,employees,ticker
1,Exxon Mobil Corporation,Petroleum Refining,452926.0,,XOM
2,"Wal-Mart Stores, Inc.",General Merchandisers,446950.0,,WMT
3,Chevron Corporation,Petroleum Refining,245621.0,,CVX
4,ConocoPhillips,Petroleum Refining,237272.0,,COP
5,General Motors Company,Motor Vehicles & Parts,150276.0,,GM
6,General Electric Company,Diversified Financials,147616.0,,GE
8,Fannie Mae,Diversified Financials,137451.0,,FNMA
9,Ford Motor Company,Motor Vehicles & Parts,136264.0,,F
11,AT&T Inc.,Telecommunications,126723.0,,ATT.L
12,Valero Energy Corporation,Petroleum Refining,125095.0,,VLO
13,Bank of America Corporation,Commercial Banks,115074.0,,BAC
14,McKesson Corporation,Wholesalers: Health Care,112084.0,,MCK
15,Verizon Communications Inc.,Telecommunications,110875.0,,VZ
16,J.P. Morgan Chase & Co.,Commercial Banks,110838.0,,JPM
18,CVS Caremark Corporation,Food & Drug Stores,107750.0,,CVS
19,International Business Machines Corporation,Information Technology Services,106916.0,,IBM
20,Citigroup Inc.,Commercial Banks,102939.0,,C
21,"Cardinal Health, Inc.",Wholesalers: Health Care,102644.2,,CAH
22,UnitedHealth Group Incorporated,Health Care: Insurance and Managed Care,101862.0,,UNH
23,The Kroger Company,Food & Drug Stores,90374.0,,KR
24,Costco Wholesale Corporation,Specialty Retailers: Other,88915.0,,COST
25,Freddie Mac,Diversified Financials,88262.0,,FMCC
26,Wells Fargo & Company,Commercial Banks,87597.0,,WFC
31,Marathon Petroleum Corporation,Petroleum Refining,73645.0,,MPC
33,"American International Group,Inc.",Insurance: Property and Casualty (Stock),71730.0,,AIG
34,"MetLife, Inc.","Insurance: Life, Health (Stock)",70641.0,,MET
35,"The Home Depot, Inc.",Specialty Retailers: Other,70395.0,,THD
37,Microsoft Corporation,Computer Software,69943.0,,MSFT
38,Target Corporation,General Merchandisers,69865.0,,TGT
39,The Boeing Company,Aerospace & Defense,68735.0,,BA
40,Pfizer Inc.,Pharmaceuticals,67932.0,,PFIZER.NS
41,"PepsiCo, Inc.",Food Consumer Products,66504.0,,PEP
42,Johnson & Johnson,Pharmaceuticals,65030.0,,JNJ
46,Caterpillar Inc.,Construction and Farm Machinery,60138.0,,CAT
47,The Dow Chemical Company,Chemicals,59985.0,,TDC
49,Comcast Corporation,Telecommunications,55842.0,,CMCSA
50,Kraft Foods Inc.,Food Consumer Products,54365.0,,1959.T
51,Intel Corporation,Semiconductors and Other Electronic Components,53999.0,,INTC
52,"United Parcel Service, Inc.","Mail, Package, and Freight Delivery",53105.0,,UPS
53,"Best Buy Co., Inc.",Specialty Retailers: Other,50272.0,,BBY
54,"Lowe's Companies, Inc.",Specialty Retailers: Other,50208.0,,LOW
55,"Prudential Financial, Inc.","Insurance: Life, Health (Stock)",49045.0,,PRU
57,"Merck & Co., Inc.",Pharmaceuticals,48047.0,,MRK
58,Lockheed Martin Corporation,Aerospace & Defense,46692.0,,LMT
60,Express Scripts Holding Company,Health Care: Pharmacy and Other Services,46128.3,,ESH.BE
61,"Sunoco, Inc.",Petroleum Refining,45765.0,,SUN
62,Enterprise Products Partners L.P.,Pipelines,44313.0,,EPD
64,"Cisco Systems, Inc.",Network and Other Communications Equipment,43218.0,,CSCO
65,Sears Holdings Corporation,General Merchandisers,41567.0,,SRSCQ
66,The Walt Disney Company,Entertainment,40893.0,,DIS
67,"Johnson Controls, Inc.",Motor Vehicles & Parts,40833.0,,JCI
68,Morgan Stanley,Commercial Banks,39376.0,,MS
69,Sysco Corporation,Wholesalers: Food and Grocery,39323.5,,SYY
70,FedEx Corporation,"Mail, Package, and Freight Delivery",39304.0,,FDX
71,Abbott Laboratories,Pharmaceuticals,38851.3,,ABT
76,"United Continental Holdings, Inc.",Airlines,37110.0,,UAL
77,Honeywell International Inc.,Aerospace & Defense,37059.0,,HON
80,"The Goldman Sachs Group, Inc.",Commercial Banks,36793.0,,TGS
82,Oracle Corporation,Computer Software,35622.0,,ORCL
83,"Delta Air Lines, Inc.",Airlines,35115.0,,DAL
84,Liberty Mutual Holding Company Inc.,Insurance: Property and Casualty (Stock),34671.0,,LBTYA
85,World Fuel Services Corporation,Wholesalers: Diversified,34622.9,,WFK.BE
86,New York Life Insurance Company,"Insurance: Life, Health (Mutual)",34393.5,,601336.SS
87,"Plains All American Pipeline, L.P.",Pipelines,34275.0,,PAA
90,Sprint Nextel Corporation,Telecommunications,33679.0,,SIX.AX
92,General Dynamics Corporation,Aerospace & Defense,32677.0,,GD
93,The Allstate Corporation,Insurance: Property and Casualty (Stock),32654.0,,ALL
95,American Express Company,Commercial Banks,32282.0,,AXP
96,"Tyson Foods, Inc.",Food Production,32266.0,,TSN
97,Deere & Company,Construction and Farm Machinery,32012.5,,DE
98,Murphy Oil Corporation,Petroleum Refining,31446.3,,MUR
99,Philip Morris International Inc.,Tobacco,31097.0,,PM
