company,ticker,date,open,high,low,close,volume
Exxon Mobil Corporation,XOM,2009-03-03,35.43,35.58,34.48,34.63,48931900
"Wal-Mart Stores, Inc.",WMT,2009-03-03,11.33,11.38,11.02,11.1,84125400
Chevron Corporation,CVX,2009-03-03,29.96,30.31,29.39,29.58,19266800
ConocoPhillips,COP,2009-03-03,15.16,15.41,14.83,14.94,25184551
General Electric Company,GE,2009-03-03,26.68,26.85,23.31,23.85,86477332
Ford Motor Company,F,2009-03-03,0.98,0.98,0.93,0.93,15442700
AT&T Inc.,ATT.L,2009-03-03,17.2,17.2,17.0,17.3,154000
Valero Energy Corporation,VLO,2009-03-03,9.34,9.53,9.06,9.16,14553044
Bank of America Corporation,BAC,2009-03-03,3.06,3.17,2.77,2.83,347261200
"Citigroup, Inc.",C,2009-03-03,9.79,10.31,8.98,9.05,51618540
International Business Machines Corporation,IBM,2009-03-03,48.9,48.92,47.29,47.61,14376329
McKesson Corporation,MCK,2009-03-03,35.22,35.92,34.46,34.76,2954900
J.P. Morgan Chase & Co.,JPM,2009-03-03,14.36,14.51,13.65,13.92,85590100
Verizon Communications Inc.,VZ,2009-03-03,10.86,11.01,10.72,10.78,25067039
"Cardinal Health, Inc.",CAH,2009-03-03,14.62,14.87,14.27,14.39,3729600
CVS Caremark Corporation,CVS,2009-03-03,17.34,17.42,16.66,16.68,15893300
UnitedHealth Group Incorporated,UNH,2009-03-03,13.91,14.71,13.21,13.96,33608100
The Kroger Company,KR,2009-03-03,7.48,7.65,7.36,7.37,16406400
Costco Wholesale Corporation,COST,2009-03-03,29.01,29.39,28.26,28.57,8133400
"The Home Depot, Inc.",THD,2009-03-03,13.01,13.24,12.9,13.0,15800
Target Corporation,TGT,2009-03-03,17.68,17.8,16.31,16.51,30336100
Johnson & Johnson,JNJ,2009-03-03,29.44,29.77,29.04,29.23,25987400
Morgan Stanley,MS,2009-03-03,12.99,13.1,11.79,12.78,42542800
The Boeing Company,BA,2009-03-03,22.5,22.81,22.01,22.24,10433300
Microsoft Corporation,MSFT,2009-03-03,11.79,11.94,11.5,11.68,80476600
The Dow Chemical Company,TDC,2009-03-03,14.8,15.51,14.7,15.35,2650600
"MetLife, Inc.",MET,2009-03-03,9.21,9.38,7.24,7.41,38507489
"The Goldman Sachs Group, Inc.",TGS,2009-03-03,0.85,0.87,0.83,0.87,31100
Wells Fargo & Company,WFC,2009-03-03,7.53,7.72,6.85,7.0,156370200
"United Parcel Service, Inc.",UPS,2009-03-03,22.44,22.54,21.77,21.92,6553700
Caterpillar Inc.,CAT,2009-03-03,14.71,15.13,14.1,14.6,22397200
Pfizer Inc.,PFIZER.NS,2009-03-03,300.84,319.25,300.05,311.13,22462
"Lowe's Companies, Inc.",LOW,2009-03-03,10.98,11.12,10.29,10.42,27017200
Time Warner Inc.,T,2009-03-03,5.19,5.35,5.0,5.08,63768342
Sears Holdings Corporation,SRSCQ,2009-03-03,5.71,5.71,5.71,5.71,0
"PepsiCo, Inc.",PEP,2009-03-03,28.95,29.73,28.66,29.38,14962400
Kraft Foods Inc.,1959.T,2009-03-03,439.26,439.26,439.26,439.26,101000
Lockheed Martin Corporation,LMT,2009-03-03,36.03,36.88,35.04,35.59,6494900
Best Buy Co. Inc.,BBY,2009-03-03,16.09,16.63,15.64,15.91,15290400
"Cisco Systems, Inc.",CSCO,2009-03-03,9.43,9.58,9.34,9.36,62320000
"Johnson Controls, Inc.",JCI,2009-03-03,6.29,6.29,6.08,6.11,12524505
FedEx Corporation,FDX,2009-03-03,33.64,34.22,32.96,33.08,3437600
The Walt Disney Company,DIS,2009-03-03,13.69,14.14,13.54,13.86,19551300
Intel Corporation,INTC,2009-03-03,7.89,7.99,7.68,7.77,76602000
Sysco Corporation,SYY,2009-03-03,12.87,12.89,12.42,12.45,5199500
Honeywell International Inc.,HON,2009-03-03,15.6,15.77,15.2,15.26,8922968
Sprint Nextel Corporation,SIX.AX,2009-03-03,5.17,5.17,5.17,5.17,0
Comcast Corporation,CMCSA,2009-03-03,4.45,4.57,4.31,4.35,62024200
Northrop Grumman Corporation,NOC,2009-03-03,22.81,22.87,22.26,22.45,4625346
American Express Company,AXP,2009-03-03,8.74,9.69,8.52,9.16,33865100
"Motorola, Inc.",MSI,2009-03-03,10.91,11.32,10.43,10.46,6616797
"Plains All American Pipeline, L.P.",PAA,2009-03-03,5.85,5.85,5.53,5.63,1305200
Abbott Laboratories,ABT,2009-03-03,15.6,15.68,15.09,15.1,27979783
The Allstate Corporation,ALL,2009-03-03,11.06,11.3,10.29,10.53,7823600
General Dynamics Corporation,GD,2009-03-03,27.99,28.2,26.84,26.89,4875200
"Prudential Financial, Inc.",PRU,2009-03-03,8.14,8.44,6.81,6.92,18816600
Liberty Mutual Holding Company Inc.,LBTYA,2009-03-03,2.64,2.7,2.5,2.53,18593286
Deere & Company,DE,2009-03-03,18.29,18.89,17.65,18.21,8215400
"Tyson Foods, Inc.",TSN,2009-03-03,6.18,6.28,5.88,5.9,4858400
"Alcoa, Inc.",AA,2009-03-03,12.33,12.6,11.49,11.65,11863337
