company,ticker,date,open,high,low,close,volume
Walmart,WMT,2017-06-26,21.77,22.06,21.76,21.93,25762500
Apple,APLE,2017-06-26,12.35,12.41,12.31,12.38,588100
Exxon Mobil,XOM,2017-06-26,55.51,55.64,55.07,55.29,7718700
McKesson,MCK,2017-06-26,156.53,157.73,155.87,156.82,1563200
UnitedHealth Group,UNH,2017-06-26,162.82,163.48,161.29,162.81,2327400
CVS Health,CVS,2017-06-26,59.56,61.62,59.56,61.27,8655700
General Motors,GM,2017-06-26,29.6,29.93,29.52,29.82,11836600
AT&T,ATT.L,2017-06-26,103.5,103.5,101.5,102.71,287280
Ford Motor,F,2017-06-26,7.04,7.13,7.04,7.12,31316800
General Electric,GE,2017-06-26,122.62,123.02,122.22,122.71,5947203
Verizon Communications,VZ,2017-06-26,28.83,29.17,28.83,29.02,10105500
Cardinal Health,CAH,2017-06-26,61.78,62.01,61.52,61.65,2042800
Costco,COST,2017-06-26,140.83,143.36,140.78,142.65,6473900
Kroger,KR,2017-06-26,18.93,18.98,18.77,18.87,12221700
Chevron,CVX,2017-06-26,72.94,73.05,72.24,72.32,3602500
Fannie Mae,FNMA,2017-06-26,2.41,2.44,2.38,2.39,1367500
J.P. Morgan Chase,JPM,2017-06-26,69.12,69.64,68.81,69.3,10082400
Express Scripts Holding,ESH.BE,2017-06-26,4.35,4.35,4.35,4.35,0
Home Depot,HD,2017-06-26,124.32,124.57,123.88,124.12,4128500
Boeing,BA,2017-06-26,191.07,192.59,188.4,188.44,3077600
Wells Fargo,WFC,2017-06-26,41.61,42.16,41.5,41.74,12532800
Bank of America Corp.,BAC,2017-06-26,18.91,19.1,18.76,18.89,61307800
Alphabet,GOOGL,2017-06-26,49.16,49.36,48.18,48.27,30358000
Microsoft,MSFT,2017-06-26,64.99,65.28,64.12,64.2,19607000
Citigroup,C,2017-06-26,48.18,48.61,47.92,48.35,14978000
Comcast,CMCSA,2017-06-26,32.12,32.18,31.71,32.05,18124300
IBM,IBM,2017-06-26,102.2,102.89,102.15,102.54,2252561
Phillips 66,PSX,2017-06-26,57.8,58.07,57.65,57.77,1512900
Johnson & Johnson,JNJ,2017-06-26,108.49,108.82,108.27,108.38,5561800
Procter & Gamble,PG,2017-06-26,71.42,71.46,71.13,71.2,4373300
Valero Energy,VLO,2017-06-26,47.19,47.41,46.89,47.09,3376800
Target,TGT,2017-06-26,39.8,40.45,39.75,40.31,5805000
Freddie Mac,FMCC,2017-06-26,2.34,2.34,2.27,2.28,770000
Lowe's,X1G.PA,2017-06-26,229.49,229.49,229.49,229.49,0
Dell Technologies,DELL,2017-06-26,16.41,16.56,16.29,16.32,3548985
MetLife,MET,2017-06-26,34.96,35.34,34.79,35.09,4178777
PepsiCo,PEP,2017-06-26,91.54,91.86,91.26,91.31,2704000
Archer Daniels Midland,ADM,2017-06-26,32.07,32.22,31.9,32.09,1856900
UPS,UPS,2017-06-26,80.31,80.96,80.2,80.57,2199700
Intel,INTC,2017-06-26,28.38,28.59,28.19,28.22,18854800
Prudential Financial,PRU,2017-06-26,69.85,70.32,68.87,69.67,2149200
Marathon Petroleum,MPC,2017-06-26,39.63,39.95,39.33,39.39,4827000
Disney,DIS,2017-06-26,98.52,99.7,98.49,99.44,5867000
Humana,HUM.ST,2017-06-26,60.63,61.59,60.15,61.11,15530
AIG,AIG,2017-06-26,51.1,51.44,50.99,51.06,3839800
Lockheed Martin,LMT,2017-06-26,226.05,227.68,224.7,224.86,886500
Sysco,SYY,2017-06-26,40.43,40.55,39.91,40.19,4781800
FedEx,FDX,2017-06-26,188.77,189.56,187.56,187.87,1246600
Hewlett Packard Enterprise,HPE,2017-06-26,10.18,10.24,10.13,10.14,14030636
Cisco Systems,CSCO,2017-06-26,24.92,25.13,24.89,24.93,22175000
HP,HP,2017-06-26,34.85,35.37,34.53,34.92,1414000
New York Life Insurance,601336.SS,2017-06-26,40.78,41.95,40.02,40.3,21901291
Centene,CNC,2017-06-26,42.08,42.42,41.1,41.17,4650800
American Airlines Group,AAL,2017-06-26,47.37,48.31,47.11,47.34,3992900
Merck,MRK,2017-06-26,48.95,49.14,48.71,48.78,7940067
Cigna,CI,2017-06-26,155.97,156.21,154.4,154.69,1407000
Delta Air Lines,DAL,2017-06-26,48.04,48.74,47.75,47.91,6127500
Best Buy,BBY,2017-06-26,41.57,42.22,41.53,42.03,4117000
Honeywell International,HON,2017-06-26,101.87,102.33,101.61,101.76,1389834
Caterpillar,CAT,2017-06-26,86.73,87.53,85.72,86.39,2857700
Morgan Stanley,MS,2017-06-26,34.24,34.53,33.86,34.27,5780400
Goldman Sachs Group,GS,2017-06-26,182.62,185.73,182.15,184.45,2589500
Energy Transfer Equity,ET,2017-06-26,7.85,7.97,7.78,7.96,5405500
TIAA,TILIX,2017-06-26,14.12,14.12,14.12,14.12,0
Oracle,ORCL,2017-06-26,44.88,45.51,44.69,44.77,29453400
Tyson Foods,TSN,2017-06-26,51.01,51.42,50.31,50.59,3241500
United Continental Holdings,UAL,2017-06-26,76.87,78.4,76.55,77.03,2545100
Allstate,ALL,2017-06-26,73.25,73.63,73.13,73.33,1780500
American Express,AXP,2017-06-26,73.46,74.16,73.4,73.87,2491600
TJX,TJX,2017-06-26,30.96,31.2,30.8,31.03,7687800
Nike,NKE,2017-06-26,47.77,48.33,47.52,48.07,7966200
Exelon,EXC,2017-06-26,19.46,19.87,19.42,19.75,6833208
General Dynamics,GD,2017-06-26,166.89,167.35,165.53,165.59,676900
Gilead Sciences,GILD,2017-06-26,52.4,52.78,52.01,52.4,14129100
3M,MMM,2017-06-26,133.01,133.44,132.71,132.9,1617112
Time Warner,T,2017-06-26,15.49,15.63,15.46,15.58,24366631
Charter Communications,CHTR,2017-06-26,331.68,333.64,330.17,332.65,941900
Northwestern Mutual,NWE,2017-06-26,44.6,44.83,44.43,44.62,187000
Travelers Cos.,TRV,2017-06-26,106.47,106.94,106.21,106.76,1004800
Capital One Financial,COF,2017-06-26,68.93,69.75,68.69,69.53,2149000
