company,ticker,date,open,high,low,close,volume
"Wal-Mart Stores, Inc.",WMT,2013-06-06,19.65,19.78,19.54,19.75,28275300
Exxon Mobil Corporation,XOM,2013-06-06,53.53,54.0,53.26,54.0,15393300
Chevron Corporation,CVX,2013-06-06,71.82,71.95,70.28,71.42,10141500
Phillips 66,PSX,2013-06-06,41.08,42.03,40.87,41.93,2637300
General Motors Company,GM,2013-06-06,25.49,25.8,25.24,25.73,79847700
General Electric Company,GE,2013-06-06,89.88,90.42,89.3,90.38,8905176
Valero Energy Corporation,VLO,2013-06-06,24.38,24.92,24.2,24.81,5155100
Ford Motor Company,F,2013-06-06,8.11,8.23,8.01,8.21,54819200
AT&T Inc.,ATT.L,2013-06-06,39.22,39.7,38.8,38.8,160710
Fannie Mae,FNMA,2013-06-06,1.97,2.0,1.76,1.99,53637100
CVS Caremark Corporation,CVS,2013-06-06,40.96,41.44,40.54,41.44,4634700
McKesson Corporation,MCK,2013-06-06,102.13,102.61,101.53,102.15,1047200
Verizon Communications Inc.,VZ,2013-06-06,25.61,26.56,25.53,26.49,17669600
UnitedHealth Group Incorporated,UNH,2013-06-06,50.66,50.8,50.0,50.8,4711400
J.P. Morgan Chase & Co.,JPM,2013-06-06,37.67,38.16,37.27,38.14,23940900
"Cardinal Health, Inc.",CAH,2013-06-06,33.11,33.16,32.63,33.01,2294100
International Business Machines Corporation,IBM,2013-06-06,118.76,119.46,117.87,119.23,3848652
Bank of America Corporation,BAC,2013-06-06,10.34,10.47,10.16,10.44,142361900
Costco Wholesale Corporation,COST,2013-06-06,86.84,88.1,86.72,88.07,2186800
The Kroger Company,KR,2013-06-06,13.05,13.12,12.96,13.1,8996200
Express Scripts Holding Company,ESH.BE,2013-06-06,10.14,10.14,10.13,10.13,954
Wells Fargo & Company,WFC,2013-06-06,27.97,28.71,27.9,28.69,24721900
Citigroup Inc.,C,2013-06-06,37.09,37.84,36.92,37.81,35143600
"Prudential Financial, Inc.",PRU,2013-06-06,40.42,41.35,40.19,41.35,3061400
