ticker,company,sector_name,sector_code,year,quarter,avg_return,avg_volatility,correlation_gdp,correlation_inflation,currency_impact,sector_rank,sector_avg_return,outperforming_sector,recession_resilience_score
601336.SS,New York Life Insurance,Insurance,INSU,2024,2,-0.01956571761106166,1.914762390564563,-0.059750348252492216,-0.05975034825249219,-0.05975034825249221,5.0,-0.004648953525729249,0,0
601336.SS,New York Life Insurance,Insurance,INSU,2024,3,0.7621560228880657,1.744116459525514,-0.059750348252492216,-0.05975034825249219,-0.05975034825249221,1.0,0.21292821142100374,1,0
601336.SS,New York Life Insurance,Insurance,INSU,2024,4,0.2556682909544851,3.5164559878367885,-0.059750348252492216,-0.05975034825249219,-0.05975034825249221,1.0,0.05114595780801649,1,0
601336.SS,New York Life Insurance,Insurance,INSU,2025,1,0.019557549511214363,2.573629641754853,-0.059750348252492216,-0.05975034825249219,-0.05975034825249221,3.0,0.03995878163713229,0,0
601336.SS,New York Life Insurance,Insurance,INSU,2025,2,0.014173938934638943,2.4770037831951215,-0.059750348252492216,-0.05975034825249219,-0.05975034825249221,5.0,0.07159585902859297,0,0
AAL,American Airlines,Metals & Mining,META,2025,1,-0.8095325734126869,2.8264000070672597,-0.07164131488732185,-0.07164131488732187,-0.07164131488732188,1.0,-0.8095325734126869,0,0
AAL,American Airlines,Metals & Mining,META,2025,2,0.432911841453708,5.577755625597933,-0.07164131488732185,-0.07164131488732187,-0.07164131488732188,1.0,0.432911841453708,0,0
AAL,American Airlines Group,Metals & Mining,META,2024,2,-0.3513510247570889,2.498017828489767,-0.07164131488732185,-0.07164131488732187,-0.07164131488732188,1.0,-0.3513510247570889,0,0
AAL,American Airlines Group,Metals & Mining,META,2024,3,0.017657181521242127,2.358224816873447,-0.07164131488732185,-0.07164131488732187,-0.07164131488732188,1.0,0.017657181521242127,0,0
AAL,American Airlines Group,Metals & Mining,META,2024,4,0.7581627920292674,2.8205676647848863,-0.07164131488732185,-0.07164131488732187,-0.07164131488732188,1.0,0.7581627920292674,0,0
AAPL,Apple,"Computers, Office Equipment",COMP,2024,2,0.3738188750715374,1.524275079355853,2.916791141794643e-17,0.0,-2.916791141794643e-17,1.0,0.3558015034841574,1,0
AAPL,Apple,"Computers, Office Equipment",COMP,2024,3,0.17042043163784665,1.581084053333232,2.916791141794643e-17,0.0,-2.916791141794643e-17,1.0,-0.004504086977175303,1,0
AAPL,Apple,"Computers, Office Equipment",COMP,2024,4,0.13366837800995848,1.184760746932905,2.916791141794643e-17,0.0,-2.916791141794643e-17,1.0,0.06570628072920859,1,0
