company,ticker,date,open,high,low,close,volume
Walmart,WMT,2021-08-27,46.58,46.63,46.16,46.27,23088600
Amazon,AMZN,2021-08-27,166.66,167.62,165.69,167.48,48048000
Apple,APLE,2021-08-27,11.44,11.85,11.39,11.78,1533400
CVS Health,CVS,2021-08-27,72.24,72.63,71.99,72.57,3903100
UnitedHealth Group,UNH,2021-08-27,390.69,392.88,388.92,391.39,1621600
McKesson,MCK,2021-08-27,193.91,196.91,193.48,196.31,641600
Alphabet,GOOGL,2021-08-27,140.68,143.52,140.53,143.02,28780000
Exxon Mobil,XOM,2021-08-27,47.43,48.12,47.43,47.74,15822500
AT&T,ATT.L,2021-08-27,306.5,307.5,303.0,307.5,674469
Costco Wholesale,COST,2021-08-27,427.68,429.88,425.29,428.66,1310200
Cigna,CI,2021-08-27,193.54,196.26,193.03,195.42,1533100
Cardinal Health,CAH,2021-08-27,46.49,47.04,46.33,46.73,1786600
Microsoft,MSFT,2021-08-27,288.77,290.59,286.68,289.47,22605700
Kroger,KR,2021-08-27,41.24,41.65,41.01,41.52,3701300
Home Depot,HD,2021-08-27,289.22,292.08,288.11,291.48,2985400
JPMorgan Chase,JPM,2021-08-27,144.76,146.02,144.32,145.92,8780200
Verizon Communications,VZ,2021-08-27,41.84,41.98,41.75,41.93,13213800
Ford Motor,F,2021-08-27,9.78,10.14,9.77,10.1,57587300
General Motors,GM,2021-08-27,47.13,48.41,47.04,48.14,14874300
Elevance Health,ELV,2021-08-27,349.68,353.86,348.41,352.21,707800
Centene,CNC,2021-08-27,63.81,64.47,63.45,63.98,1735300
Fannie Mae,FNMA,2021-08-27,1.03,1.08,1.01,1.03,4027600
Comcast,CMCSA,2021-08-27,52.1,52.45,51.97,52.36,13129600
Chevron,CVX,2021-08-27,82.56,83.67,82.48,82.98,10281200
Dell Technologies,DELL,2021-08-27,45.84,47.14,44.14,45.05,10634075
Bank of America,BAC,2021-08-27,37.87,38.34,37.71,38.2,46468600
Target,TGT,2021-08-27,218.21,220.25,217.79,219.11,2661100
Lowe's,X1G.PA,2021-08-27,260.2,260.28,259.98,260.28,1658
Marathon Petroleum,MPC,2021-08-27,53.2,54.78,53.2,54.32,6556000
Citigroup,C,2021-08-27,62.11,62.79,61.88,62.47,13669400
Meta Platforms,META,2021-08-27,362.86,371.45,361.85,370.35,11219100
UPS,UPS,2021-08-27,159.03,160.32,158.88,159.84,1947800
Johnson & Johnson,JNJ,2021-08-27,154.98,154.98,153.62,153.78,7046100
Wells Fargo,WFC,2021-08-27,44.29,44.86,44.2,44.82,16873300
General Electric,GE,2021-08-27,63.44,64.82,63.44,64.78,12473178
Intel,INTC,2021-08-27,49.15,49.68,48.74,49.64,16525000
Humana,HUM.ST,2021-08-27,68.87,69.84,68.38,69.65,34912
IBM,IBM,2021-08-27,111.75,112.46,111.5,112.31,2572637
Procter & Gamble,PG,2021-08-27,128.09,128.35,127.34,127.94,4741200
PepsiCo,PEP,2021-08-27,136.07,136.57,135.51,136.16,4166500
FedEx,FDX,2021-08-27,245.43,247.08,244.93,245.84,1551700
MetLife,MET,2021-08-27,54.56,55.27,54.34,55.14,4220800
Freddie Mac,FMCC,2021-08-27,1.0,1.02,0.94,0.97,1762500
Phillips 66,PSX,2021-08-27,60.71,62.3,60.66,61.82,2349900
Lockheed Martin,LMT,2021-08-27,323.68,324.61,321.8,322.52,1203900
Walt Disney,DIS,2021-08-27,173.39,177.58,173.39,177.19,8697000
Archer Daniels Midland,ADM,2021-08-27,52.93,53.73,52.86,53.67,1443300
Albertsons,ACI,2021-08-27,19.1,19.49,18.89,19.32,741600
Valero Energy,VLO,2021-08-27,57.37,59.12,57.37,58.34,3200300
Boeing,BA,2021-08-27,217.47,222.43,216.86,221.75,7684900
Prudential Financial,PRU,2021-08-27,86.27,87.67,86.08,87.45,1544300
HP,HP,2021-08-27,21.54,23.64,21.54,23.32,3301700
StoneX Group,SNEX,2021-08-27,29.46,30.44,29.46,30.41,111375
Goldman Sachs Group,GS,2021-08-27,371.06,377.42,370.81,377.27,2174500
Sysco,SYY,2021-08-27,71.01,72.27,70.71,71.83,2760300
Morgan Stanley,MS,2021-08-27,90.06,91.43,89.88,91.41,5900600
HCA Healthcare,HCA,2021-08-27,243.34,244.21,241.46,242.71,905800
Cisco Systems,CSCO,2021-08-27,52.29,52.36,51.93,52.07,14795200
Charter Communications,CHTR,2021-08-27,798.64,811.33,798.64,807.18,712900
Merck,MRK,2021-08-27,67.25,67.39,66.69,66.8,6010000
Best Buy,BBY,2021-08-27,98.0,98.52,97.12,97.36,2013200
New York Life Insurance,601336.SS,2021-08-27,34.6,35.56,34.6,35.16,17429351
AbbVie,ABBV,2021-08-27,102.53,102.79,101.75,101.88,4279900
Allstate,ALL,2021-08-27,122.88,123.86,122.75,123.8,1067500
Liberty Mutual Insurance Group,LFG.AX,2021-08-27,4.48,4.51,4.39,4.51,36475
AIG,AIG,2021-08-27,49.37,50.07,49.19,49.97,3485500
Tyson Foods,TSN,2021-08-27,68.63,69.25,68.24,68.91,1198600
Progressive,PGR,2021-08-27,91.95,93.0,91.45,92.85,2913300
Pfizer,PFIZER.NS,2021-08-27,5362.45,5399.46,5290.87,5361.17,35189
Caterpillar,CAT,2021-08-27,195.96,197.59,195.92,196.49,2511400
TIAA,TILIX,2021-08-27,37.57,37.57,37.57,37.57,0
