Ticker,Company,Sector,CurrencyCorrelation,AvgReturn
ABC.VI,AmerisourceBergen,,0.1371895968914032,-0.11931157074868678
COR,Cencora,,0.07722753286361694,0.14804129663389176
UIPMX,USAA,,0.05581492558121681,0.12564321526442654
MFG.AX,Massachusetts Financial Group,,0.04666206240653992,0.18325083811456958
AN,"AutoNation, Inc.","Automotive Retailing, Services",0.04319116473197937,0.05456407859067743
TABAK.PR,Philip Morris Companies Inc.,,0.042197611182928085,0.14233371500934786
NOC,Northrop Grumman Corporation,Aerospace & Defense,0.04023273289203644,0.033292331425602444
NOC,Northrop Grumman,Aerospace & Defense,0.04023273289203644,1.2849755394272506
GEN,Digital Equipment Corporation,,0.03623972833156586,0.06461627312819473
PAGP,"Plains GP Holdings, L.P.",,0.032029520720243454,0.01935180090367794
PAGP,Plains GP Holdings,,0.032029520720243454,0.014906832366250455
PAGP,Plains GP,,0.032029520720243454,0.05341143626719713
LOW,Lowe's Companies,Specialty Retailers,0.028679370880126953,0.14420674458961003
LOW,"Lowe's Companies, Inc.",Specialty Retailers,0.028679370880126953,0.06279156804084778
HFF.BE,The Hartford Financial Services Group Inc.,,0.028356080874800682,0.00413752153981477
TTC,"The Travelers Companies, Inc.",,0.028075216338038445,0.060425347648561
TECH.OL,Tech Data,,0.027979593724012375,0.1203575012817358
COLA.WA,Coca-Cola,,0.027576802298426628,0.03402603417634964
ORCL,Oracle,,0.027032826095819473,0.0792043694294989
ORCL,Oracle Corporation,,0.027032826095819473,0.05385940085398033
