company,ticker,date,open,high,low,close,volume
"Wal-Mart Stores, Inc.",WMT,2005-06-10,10.58,10.63,10.55,10.62,26068200
Exxon Mobil Corporation,XOM,2005-06-10,29.19,29.36,28.88,29.28,13328600
Ford Motor Company,F,2005-06-10,4.89,5.37,4.89,5.03,27942800
General Electric Company,GE,2005-06-10,106.54,107.03,105.32,106.1,2847340
ConocoPhillips,COP,2005-06-10,21.61,21.84,21.17,21.62,5869478
"Citigroup, Inc.",C,2005-06-10,301.86,302.99,299.14,300.85,857030
"American International Group,Inc.",AIG,2005-06-10,673.3,673.3,660.87,664.97,249210
International Business Machines Corporation,IBM,2005-06-10,38.38,38.53,38.05,38.39,5121007
Verizon Communications Inc.,VZ,2005-06-10,11.04,11.08,11.01,11.05,9212599
McKesson Corporation,MCK,2005-06-10,34.47,35.74,34.27,34.54,1236900
"Cardinal Health, Inc.",CAH,2005-06-10,26.22,26.26,25.8,26.0,1134900
"Altria Group, Inc.",MO,2005-06-10,4.77,4.78,4.72,4.75,7897700
Bank of America Corporation,BAC,2005-06-10,29.5,29.55,29.29,29.45,5106400
J.P. Morgan Chase & Co.,JPM,2005-06-10,20.72,20.75,20.51,20.63,6504700
The Kroger Company,KR,2005-06-10,5.89,5.89,5.82,5.86,4363400
Valero Energy Corporation,VLO,2005-06-10,18.82,19.11,18.71,18.98,15105952
Pfizer Inc.,PFIZER.NS,2005-06-10,415.32,419.28,413.94,415.57,7191
Boeing,BA,2005-06-10,45.94,45.94,45.27,45.65,3192300
Target Corporation,TGT,2005-06-10,33.11,33.24,32.47,32.75,2508400
Costco Wholesale Corporation,COST,2005-06-10,30.94,31.23,30.8,30.98,1447100
Johnson & Johnson,JNJ,2005-06-10,37.08,37.2,36.65,37.07,5248400
Time Warner Inc.,T,2005-06-10,4.18,4.21,4.16,4.2,10463175
Morgan Stanley,MS,2005-06-10,26.65,26.7,26.42,26.69,4319600
"MetLife, Inc.",MET,2005-06-10,22.61,22.61,22.31,22.47,2330618
"UnitedHealth Group, Incorporated",UNH,2005-06-10,40.5,40.5,39.53,39.75,4118600
Microsoft Corporation,MSFT,2005-06-10,17.67,17.69,17.57,17.63,39459800
"United Parcel Service, Inc.",UPS,2005-06-10,36.92,37.06,36.53,36.92,2554100
Lockheed Martin Corporation,LMT,2005-06-10,36.47,36.64,36.41,36.55,1573800
"Motorola, Inc.",MSI,2005-06-10,54.54,54.81,53.7,54.21,2068819
Intel Corporation,INTC,2005-06-10,16.01,16.01,15.59,15.7,74824000
The Allstate Corporation,ALL,2005-06-10,36.26,36.29,35.96,36.07,1308200
Wells Fargo & Company,WFC,2005-06-10,17.49,17.71,17.34,17.45,4914000
The Walt Disney Company,DIS,2005-06-10,22.0,22.13,21.32,21.98,6142220
CVS Corporation,CVS,2005-06-10,19.3,19.31,19.12,19.21,3248400
AT&T Corp.,ATT.L,2005-06-10,20.3,20.3,20.3,20.3,0
"Caterpillar, Inc.",CAT,2005-06-10,29.33,29.39,28.85,29.08,4947600
Northrop Grumman Corporation,NOC,2005-06-10,33.05,33.28,32.95,33.22,1224128
"The Goldman Sachs Group, Inc.",TGS,2005-06-10,2.76,2.76,2.71,2.71,4100
Sysco Corporation,SYY,2005-06-10,20.74,21.05,20.54,20.63,1016400
"PepsiCo, Inc.",PEP,2005-06-10,31.2,31.27,31.04,31.25,2049500
American Express Company,AXP,2005-06-10,35.27,35.33,35.04,35.3,3391980
"Prudential Financial, Inc.",PRU,2005-06-10,31.75,31.96,31.5,31.87,1209300
International Paper Company,IP,2005-06-10,14.18,14.3,14.09,14.22,1667639
"Johnson Controls, Inc.",JCI,2005-06-10,30.02,31.15,30.01,31.05,5791284
"Tyson Foods, Inc.",TSN,2005-06-10,13.13,13.21,12.99,13.01,1028300
Honeywell International Inc.,HON,2005-06-10,20.68,20.74,20.43,20.62,2838550
Best Buy Co. Inc.,BBY,2005-06-10,22.31,22.44,22.13,22.36,3740250
FedEx Corporation,FDX,2005-06-10,71.04,71.29,70.32,70.35,3054600
"Alcoa, Inc.",AA,2005-06-10,51.21,51.59,50.96,51.4,1411111
"Merck & Co., Inc.",MRK,2005-06-10,14.49,14.58,14.39,14.53,7843442
Duke Energy,DUK,2005-06-10,19.15,19.24,19.07,19.15,1709918
The Hartford Financial Services Group Inc.,HFF.BE,2005-06-10,42.86,42.86,42.86,42.86,0
Weyerhaeuser Company,WY,2005-06-10,11.94,12.03,11.82,11.87,855300
"Cisco Systems, Inc.",CSCO,2005-06-10,12.66,12.67,12.42,12.52,34056400
"Lehman Brothers Holdings, Inc.",LEHNQ,2005-06-10,19.35,19.43,19.32,19.38,6300
Electronic Data Systems,EA,2005-06-10,52.23,52.55,51.58,52.07,3126400
"Plains All American Pipeline, L.P.",PAA,2005-06-10,5.14,5.16,5.11,5.16,140800
Abbott Laboratories,ABT,2005-06-10,14.69,14.69,14.56,14.65,6780534
Halliburton Company,HAL,2005-06-10,16.36,16.59,16.26,16.43,7590600
