Ticker,Company,Sector,CurrencyCorrelation,AvgReturn
COR,Cencora,,0.07722753286361694,0.2546184528619051
UIPMX,USAA,,0.05581492558121681,0.4218563052418176
PAGP,Plains GP,,0.032029520720243454,0.05341143626719713
COLA.WA,Coca-Cola,,0.027576802298426628,0.06737716682255268
ORCL,Oracle,,0.027032826095819473,0.05952997878193855
MSFT,Microsoft,Computer Software,0.02306365594267845,0.036154406145215034
RTX,RTX,,0.022948889061808586,0.19279452040791512
SNX,TD Synnex,,0.02169942669570446,0.10475024953484535
FMCC,Freddie Mac,Diversified Financials,0.02051280252635479,0.5774137303233147
FNMA,Fannie Mae,Diversified Financials,0.020180964842438698,0.6253019496798515
CAH,Cardinal Health,Wholesalers: Health Care,0.018792420625686646,0.3357425909489393
META,Meta,,0.01776062697172165,0.0038154684007167816
GM,General Motors,,0.015656625851988792,0.1782635822892189
TILIX,TIAA,,0.015312614850699902,0.05120539013296366
GD,General Dynamics,,0.014738240279257298,0.16013319662306458
TRV,Travelers,,0.01363697275519371,0.3659071484580636
HUM.ST,Humana,,0.013025562278926373,0.162234827876091
GOOGL,Alphabet,,0.01291490625590086,0.28430796787142754
ATT.L,AT&T,Telecommunications,0.011557431891560555,0.10394295863807201
TSLA,Tesla,,0.01097094640135765,0.013279207050800323
