Ticker,Company,Industry,AvgReturn,AvgVolatility
AVGO,Broadcom,,1.0465947729261482,4.924691873438218
TSLA,Tesla,,0.8863305147079861,6.373665080350988
DELL,Dell Technologies,,0.8066025695160908,5.3363250073264625
BA,Boeing,Aerospace & Defense,0.7007367514512118,4.2236716747283936
NVDA,Nvidia,,0.6917043023687952,4.867898723658393
PFIZER.NS,Pfizer,Pharmaceuticals,0.6832055310989099,1.2562902704361947
DAL,Delta Airlines,,0.6365171160329791,5.550751777256236
SNX,TD Synnex,,0.5748377102701103,3.4961378083509556
MSFT,Microsoft,Computer Software,0.5736981486244237,2.535593520192539
FNMA,Fannie Mae,Diversified Financials,0.5317637718775693,5.73420225872713
UAL,United Airlines,,0.5174009423867306,6.388334638932172
AAL,American Airlines,,0.5153406385113212,5.650191433289471
INGM,Ingram Micro,,0.48534926333848166,3.8270423762938557
DIS,Walt Disney,Entertainment,0.4833730463595951,3.463438861510333
SNEX,StoneX,,0.4654879578772713,3.1743005093406227
CHTR,Charter Communications,,0.44631408878109036,3.1703564840204574
ORCL,Oracle,,0.42648060291129,3.570584774017334
MS,Morgan Stanley,Securities,0.40378138138090863,3.5719184524872722
CAH,Cardinal Health,Wholesalers: Health Care,0.37588051947600704,1.8155055221389322
MPC,Marathon Petroleum,,0.35844121961032643,3.7491797664586235
