company,ticker,date,open,high,low,close,volume
Exxon Mobil Corporation,XOM,2001-12-18,17.29,17.37,17.21,17.28,10264600
"Wal-Mart Stores, Inc.",WMT,2001-12-18,12.03,12.07,11.92,12.0,26395500
Ford Motor Company,F,2001-12-18,6.63,6.64,6.5,6.54,10171100
General Electric Company,GE,2001-12-18,105.52,106.45,104.46,105.44,6889250
"Citigroup, Inc.",C,2001-12-18,255.83,258.45,253.16,257.17,1375410
International Business Machines Corporation,IBM,2001-12-18,60.72,61.45,60.64,61.06,5853625
AT&T Corp.,ATT.L,2001-12-18,33.9,33.9,33.9,33.9,0
Verizon Communications Inc.,VZ,2001-12-18,13.41,13.44,13.23,13.23,4599350
Philip Morris Companies Inc.,TABAK.PR,2001-12-18,861.67,868.72,861.67,868.72,100
J.P. Morgan Chase & Co.,JPM,2001-12-18,18.54,18.74,18.42,18.66,8069500
Bank of America Corporation,BAC,2001-12-18,17.7,17.83,17.58,17.67,8762400
The Boeing Company,BA,2001-12-18,24.24,24.79,24.03,24.67,3166000
Duke Energy Corporation,DUK,2001-12-18,19.96,20.77,19.96,20.7,2803763
The Kroger Company,KR,2001-12-18,7.14,7.2,7.08,7.08,19264400
Chevron Corporation,CVX,2001-12-18,17.2,17.42,17.19,17.39,4466200
"American International Group,Inc.",AIG,2001-12-18,962.48,967.83,958.31,967.83,231625
Morgan Stanley Dean Witter & Co.,MS,2001-12-18,26.11,26.87,25.9,26.76,4793700
Fannie Mae,FNMA,2001-12-18,65.7,66.11,65.14,65.79,3821800
"Merck & Co., Inc.",MRK,2001-12-18,22.62,22.97,22.33,22.82,9670525
"Motorola, Inc.",MSI,2001-12-18,42.79,43.1,42.35,42.81,2594970
McKesson HBOC Inc.,MCK,2001-12-18,30.92,31.75,30.84,31.33,1348300
Target Corporation,TGT,2001-12-18,23.08,23.14,22.05,22.25,4442700
Intel Corporation,INTC,2001-12-18,19.47,19.58,19.02,19.28,39780800
"Goldman Sachs Group, Inc.",GS,2001-12-18,62.89,64.09,62.58,64.06,2279700
Conoco,COP,2001-12-18,9.79,9.98,9.79,9.98,4050548
Costco Wholesale Corporation,COST,2001-12-18,28.5,29.13,28.49,28.95,2961100
MetLife Inc.,MET,2001-12-18,15.2,15.45,15.09,15.32,3746470
Freddie Mac,FMCC,2001-12-18,54.88,54.88,53.86,54.27,4211300
"Cardinal Health, Inc.",CAH,2001-12-18,29.62,29.75,28.5,28.77,2890100
"United Parcel Service of America, Inc.",UPS,2001-12-18,27.35,27.99,27.35,27.89,1773200
"Reliant Energy, Incorporated",RELIANCE.NS,2001-12-18,17.05,17.3,16.64,17.0,21648727
Johnson & Johnson,JNJ,2001-12-18,30.03,30.06,29.74,29.82,7417100
The Allstate Corporation,ALL,2001-12-18,18.16,18.46,18.16,18.31,1885500
International Paper Company,IP,2001-12-18,15.92,16.2,15.82,16.2,2318033
Wells Fargo & Co.,WFC,2001-12-18,11.07,11.22,11.03,11.21,8150400
The Walt Disney Company,DIS,2001-12-18,16.26,16.44,16.03,16.24,12772022
"ConAgra Foods, Incorporated",CAG,2001-12-18,7.87,7.93,7.86,7.92,2119094
Lockheed Martin Corporation,LMT,2001-12-18,25.01,25.04,24.48,24.61,2686800
Honeywell International Inc.,HON,2001-12-18,16.57,16.88,16.41,16.79,3767149
First Union Corporation,FHN,2001-12-18,17.73,18.2,17.67,18.1,276195
American Express Company,AXP,2001-12-18,20.74,21.0,20.53,20.88,4641723
Southern Company,SO,2001-12-18,8.0,8.14,7.96,8.1,1984000
"Alcoa, Inc.",AA,2001-12-18,65.03,66.35,64.86,66.28,1435497
Microsoft Corporation,MSFT,2001-12-18,21.05,21.2,20.95,21.16,47255200
Prudential Insurance Company of America,PRU,2001-12-18,14.18,14.4,14.13,14.4,5167700
"AutoNation, Inc.",AN,2001-12-18,12.05,12.3,11.99,12.28,1423600
El Paso Corporation,EL.PA,2001-12-18,10.66,10.72,10.53,10.63,653703
"UnitedHealth Group, Incorporated",UNH,2001-12-18,13.83,13.96,13.74,13.87,7292400
Loews Corporation,L,2001-12-18,15.42,15.5,15.36,15.48,2277900
"PepsiCo, Inc.",PEP,2001-12-18,25.36,25.39,25.07,25.29,3749000
"Caterpillar, Inc.",CAT,2001-12-18,13.92,14.27,13.91,14.16,2632000
CVS Corporation,CVS,2001-12-18,9.31,9.38,9.16,9.34,7981800
