company,ticker,date,open,high,low,close,volume
"Wal-Mart Stores, Inc.",WMT,2013-01-10,17.71,17.8,17.47,17.63,34361400
Exxon Mobil Corporation,XOM,2013-01-10,52.41,52.85,52.19,52.62,13099600
Chevron Corporation,CVX,2013-01-10,64.24,64.57,64.18,64.4,5276400
Phillips 66,PSX,2013-01-10,32.99,33.12,32.72,32.91,3403400
General Motors Company,GM,2013-01-10,22.63,22.75,22.25,22.74,12115400
General Electric Company,GE,2013-01-10,80.67,81.4,80.37,81.17,6958505
Valero Energy Corporation,VLO,2013-01-10,19.84,20.19,19.71,19.97,10320468
Ford Motor Company,F,2013-01-10,7.22,7.3,7.17,7.25,84884300
AT&T Inc.,ATT.L,2013-01-10,33.8,34.0,33.8,34.0,124720
Fannie Mae,FNMA,2013-01-10,0.28,0.29,0.28,0.28,2639600
CVS Caremark Corporation,CVS,2013-01-10,35.81,36.37,35.81,36.37,6909500
McKesson Corporation,MCK,2013-01-10,92.44,92.84,91.91,92.53,1140400
Verizon Communications Inc.,VZ,2013-01-10,22.68,22.87,22.55,22.87,11214800
UnitedHealth Group Incorporated,UNH,2013-01-10,42.92,43.47,42.76,43.4,6506500
J.P. Morgan Chase & Co.,JPM,2013-01-10,32.51,32.71,32.26,32.7,23413600
"Cardinal Health, Inc.",CAH,2013-01-10,30.39,30.59,30.34,30.57,1648100
International Business Machines Corporation,IBM,2013-01-10,111.71,111.89,110.92,111.85,3774073
Bank of America Corporation,BAC,2013-01-10,9.17,9.32,9.11,9.3,199964900
Costco Wholesale Corporation,COST,2013-01-10,79.91,80.03,78.95,79.43,2328500
The Kroger Company,KR,2013-01-10,10.06,10.15,9.98,10.01,5660000
Express Scripts Holding Company,ESH.BE,2013-01-10,9.96,9.96,9.96,9.96,0
Wells Fargo & Company,WFC,2013-01-10,24.31,24.57,24.21,24.57,37523100
Citigroup Inc.,C,2013-01-10,31.48,32.02,31.21,31.85,42154200
"Prudential Financial, Inc.",PRU,2013-01-10,33.59,34.29,31.55,34.21,3889600
The Boeing Company,BA,2013-01-10,64.47,64.63,63.82,64.6,5026600
Freddie Mac,FMCC,2013-01-10,0.29,0.31,0.29,0.3,1148000
Marathon Petroleum Corporation,MPC,2013-01-10,21.55,21.59,21.27,21.52,6480800
"The Home Depot, Inc.",THD,2013-01-10,59.03,59.03,58.7,58.98,158700
Microsoft Corporation,MSFT,2013-01-10,21.46,21.73,21.17,21.31,71431300
Target Corporation,TGT,2013-01-10,41.28,41.34,40.94,41.23,4747500
"American International Group, Inc.",AIG,2013-01-10,27.26,27.38,27.01,27.27,18181000
"MetLife, Inc.",MET,2013-01-10,21.31,21.49,21.23,21.47,9138578
Johnson & Johnson,JNJ,2013-01-10,50.25,50.65,50.2,50.51,11888500
Caterpillar Inc.,CAT,2013-01-10,68.49,68.55,67.86,68.47,4596400
"PepsiCo, Inc.",PEP,2013-01-10,48.16,48.66,48.14,48.59,6923200
ConocoPhillips,COP,2013-01-10,37.86,37.92,37.6,37.84,5433800
Comcast Corporation,CMCSA,2013-01-10,14.55,14.59,14.4,14.49,20995600
Pfizer Inc.,PFIZER.NS,2013-01-10,765.88,765.91,754.99,755.6,2447
The Dow Chemical Company,TDC,2013-01-10,64.31,64.67,63.09,64.66,1539700
"United Parcel Service, Inc.",UPS,2013-01-10,49.26,49.93,49.15,49.92,4761000
Intel Corporation,INTC,2013-01-10,15.45,15.6,15.4,15.59,44621600
"Lowe's Companies, Inc.",LOW,2013-01-10,27.78,28.2,27.59,28.19,8024800
"Merck & Co., Inc.",MRK,2013-01-10,27.42,27.59,27.34,27.36,13593084
Lockheed Martin Corporation,LMT,2013-01-10,65.5,65.55,65.0,65.38,1634300
"Cisco Systems, Inc.",CSCO,2013-01-10,13.75,13.84,13.71,13.81,31419200
"Best Buy Co., Inc.",BBY,2013-01-10,7.63,7.98,7.58,7.91,9775300
FedEx Corporation,FDX,2013-01-10,82.46,82.77,81.89,82.77,2009700
Enterprise Products Partners L.P.,EPD,2013-01-10,11.47,11.59,11.47,11.52,2931600
Sysco Corporation,SYY,2013-01-10,21.91,22.07,21.82,21.93,3949100
The Walt Disney Company,DIS,2013-01-10,45.49,45.82,45.24,45.42,8097400
"Johnson Controls, Inc.",JCI,2013-01-10,21.5,21.55,21.12,21.29,4142981
"The Goldman Sachs Group, Inc.",TGS,2013-01-10,1.44,1.44,1.39,1.4,187600
Abbott Laboratories,ABT,2013-01-10,26.31,26.49,26.27,26.42,9668400
