Ticker,Company,Industry,AvgReturn,AvgVolatility,TradingDays
601336.SS,New York Life Insurance,Insurance,0.0,0.0,1
AAL,American Airlines Group,Metals & Mining,0.0,0.0,1
AAPL,Apple,"Computers, Office Equipment",0.0,0.0,1
ABBV,Abbvie,Pharmaceutical,0.0,0.0,1
ACI,Albertsons,Food & Drug Stores,0.0,0.0,1
ADM,Archer Daniels Midland,Food Production,0.0,0.0,1
AIG,Aig,Insurance,0.0,0.0,1
ALL,Allstate,Insurance,0.0,0.0,1
AMZN,Amazon,Financial Services,0.0,0.0,1
ATT.L,At&T,Telecommunications,0.0,0.0,1
AXP,American Express,Diversified Financials,0.0,0.0,1
BA,Boeing,"Aerospace, Defense",0.0,0.0,1
BAC,Bank Of America,Commercial Banks,0.0,0.0,1
BBY,Best Buy,Specialty Retailers,0.0,0.0,1
C,Citigroup,Commercial Banks,0.0,0.0,1
CAH,Cardinal Health,Wholesalers,0.0,0.0,1
CAT,Caterpillar,Construction And Farm Machinery,0.0,0.0,1
CHS.V,Chs,Food Production,0.0,0.0,1
CHTR,Charter Communications,Telecommunications,0.0,0.0,1
CI,Cigna,Health Care,0.0,0.0,1
