company,ticker,date,open,high,low,close,volume
Ford Motor Company,F,1996-03-25,4.27,4.35,4.25,4.29,12893184
Exxon Corporation,XOM,1996-03-25,8.16,8.32,8.15,8.32,6484800
"Wal-Mart Stores, Inc.",WMT,1996-03-25,2.5,2.51,2.46,2.46,13411800
AT&T Corp.,ATT.L,1996-03-25,10.3,10.3,10.3,10.3,0
International Business Machines Corporation,IBM,1996-03-25,13.8,13.83,13.02,13.06,19758522
General Electric Company,GE,1996-03-25,32.11,32.37,32.01,32.22,2418185
State Farm Group,SFG.AX,1996-03-25,0.25,0.25,0.25,0.25,0
Chevron Corporation,CVX,1996-03-25,9.4,9.46,9.36,9.46,2610000
"PepsiCo, Inc.",PEP,1996-03-25,14.34,14.46,14.34,14.4,3052000
"Motorola, Inc.",MSI,1996-03-25,45.08,45.39,44.36,44.46,1466154
"American International Group,Inc.",AIG,1996-03-25,268.81,270.55,267.42,269.85,173454
"ConAgra, Inc.",CAG,1996-03-25,5.82,5.87,5.7,5.75,1869418
The Kroger Company,KR,1996-03-25,3.44,3.44,3.39,3.42,2531200
Lockheed Martin Corporation,LMT,1996-03-25,18.91,18.97,18.52,18.67,349400
The Allstate Corporation,ALL,1996-03-25,10.67,10.76,10.61,10.73,2387200
Federal National Mortgage Association,FNMA,1996-03-25,25.12,25.31,24.36,24.55,2320100
International Paper Company,IP,1996-03-25,13.48,13.53,13.39,13.48,1427141
The Boeing Company,BA,1996-03-25,27.38,27.46,26.77,27.07,1674000
Xerox Corporation,XRX,1996-03-25,23.15,23.22,22.86,22.98,456766
Cigna Corporation,CI,1996-03-25,10.25,10.26,9.99,9.99,1743300
Johnson & Johnson,JNJ,1996-03-25,11.58,11.61,11.38,11.38,4180800
Loews Corporation,L,1996-03-25,10.25,10.27,9.98,10.05,906600
American Express Company,AXP,1996-03-25,9.53,9.73,9.53,9.65,4261282
"Merck & Co., Inc.",MRK,1996-03-25,10.83,11.18,10.78,11.0,9770714
Intel Corporation,INTC,1996-03-25,3.98,4.0,3.86,3.87,45829600
Minnesota Mining & Manufacturing Company,MMM,1996-03-25,11.67,11.74,11.56,11.65,1595464
"Caterpillar, Inc.",CAT,1996-03-25,8.27,8.33,8.19,8.28,2327600
J.P. Morgan & Co. Inc.,JPM,1996-03-25,10.35,10.39,10.24,10.26,3599100
Digital Equipment Corporation,GEN,1996-03-25,0.6,0.6,0.56,0.56,3343200
McKesson Corporation,MCK,1996-03-25,21.69,21.69,21.34,21.34,206800
The Goodyear Tire & Rubber Company,TGT,1996-03-25,4.05,4.06,4.04,4.04,8700000
"Texas Instruments, Inc.",TXN,1996-03-25,3.83,3.85,3.74,3.75,7394400
Rockwell International Corporation,ROK,1996-03-25,8.48,8.52,8.32,8.36,492500
Archer Daniels Midland Company,ADM,1996-03-25,7.31,7.41,7.22,7.31,1292388
Alcoa,AA,1996-03-25,25.13,25.59,25.13,25.28,1287224
"ITT Hartford Group, Inc.",ITT,1996-03-25,3.11,3.11,2.99,3.0,3245476
SYSCO Corporation,SYY,1996-03-25,4.22,4.24,4.13,4.18,838000
