company,ticker,date,open,high,low,close,volume
"Wal-Mart Stores, Inc.",WMT,2013-09-05,19.14,19.3,19.08,19.09,14041500
Exxon Mobil Corporation,XOM,2013-09-05,53.06,53.21,52.63,52.64,11740100
Chevron Corporation,CVX,2013-09-05,72.3,72.66,72.2,72.48,3337300
Phillips 66,PSX,2013-09-05,38.06,38.33,37.48,37.49,3849800
General Motors Company,GM,2013-09-05,26.91,27.49,26.8,27.15,18633800
General Electric Company,GE,2013-09-05,90.95,90.98,89.97,90.24,6322941
Valero Energy Corporation,VLO,2013-09-05,23.41,23.7,23.23,23.36,6581300
Ford Motor Company,F,2013-09-05,9.15,9.28,9.11,9.25,55979000
AT&T Inc.,ATT.L,2013-09-05,47.2,47.7,47.2,47.2,159200
Fannie Mae,FNMA,2013-09-05,1.27,1.29,1.23,1.23,6800600
CVS Caremark Corporation,CVS,2013-09-05,41.8,42.3,41.68,42.0,4080900
McKesson Corporation,MCK,2013-09-05,112.4,113.01,112.16,112.54,621100
Verizon Communications Inc.,VZ,2013-09-05,25.23,25.48,24.81,24.98,17784300
UnitedHealth Group Incorporated,UNH,2013-09-05,60.43,61.17,60.27,61.01,2861600
J.P. Morgan Chase & Co.,JPM,2013-09-05,37.37,37.72,37.28,37.42,13913200
"Cardinal Health, Inc.",CAH,2013-09-05,36.13,36.57,36.1,36.13,1970900
International Business Machines Corporation,IBM,2013-09-05,107.8,108.77,107.64,108.27,2999510
Bank of America Corporation,BAC,2013-09-05,11.4,11.51,11.36,11.37,71229200
Costco Wholesale Corporation,COST,2013-09-05,89.82,91.49,89.82,91.11,2564100
The Kroger Company,KR,2013-09-05,14.81,14.83,14.69,14.83,5844200
Express Scripts Holding Company,ESH.BE,2013-09-05,11.01,11.05,11.01,11.05,517
Wells Fargo & Company,WFC,2013-09-05,29.47,29.79,29.44,29.66,11331000
Citigroup Inc.,C,2013-09-05,37.09,37.35,36.92,37.1,17765800
"Prudential Financial, Inc.",PRU,2013-09-05,47.08,47.6,46.89,46.97,1751100
The Boeing Company,BA,2013-09-05,90.4,91.1,89.99,90.82,2590500
Freddie Mac,FMCC,2013-09-05,1.16,1.17,1.13,1.14,3028700
Marathon Petroleum Corporation,MPC,2013-09-05,25.66,25.86,25.06,25.08,4892000
"The Home Depot, Inc.",THD,2013-09-05,49.6,50.24,49.45,50.08,219300
Microsoft Corporation,MSFT,2013-09-05,25.61,25.89,25.49,25.72,71644900
Target Corporation,TGT,2013-09-05,44.27,44.44,44.13,44.13,3031900
"American International Group, Inc.",AIG,2013-09-05,36.9,37.28,36.79,37.07,9852100
