company,ticker,date,open,high,low,close,volume
"Wal-Mart Stores, Inc.",WMT,2013-11-01,20.22,20.33,20.12,20.25,15348300
Exxon Mobil Corporation,XOM,2013-11-01,54.08,54.26,53.19,54.13,19023500
Chevron Corporation,CVX,2013-11-01,71.09,71.32,69.87,70.47,9344200
Phillips 66,PSX,2013-11-01,41.81,42.05,41.05,41.59,2746900
General Motors Company,GM,2013-11-01,27.77,28.55,27.68,27.94,30765400
General Electric Company,GE,2013-11-01,102.29,104.6,102.21,104.21,11608811
Valero Energy Corporation,VLO,2013-11-01,26.28,26.31,25.86,26.06,7286800
Ford Motor Company,F,2013-11-01,9.27,9.27,9.01,9.08,52493000
AT&T Inc.,ATT.L,2013-11-01,52.6,52.61,51.8,52.35,214500
Fannie Mae,FNMA,2013-11-01,2.37,2.46,2.35,2.41,23816000
CVS Caremark Corporation,CVS,2013-11-01,45.02,45.36,45.02,45.14,5112300
McKesson Corporation,MCK,2013-11-01,143.07,146.07,142.8,145.95,2274100
Verizon Communications Inc.,VZ,2013-11-01,27.51,27.87,27.27,27.35,11448800
UnitedHealth Group Incorporated,UNH,2013-11-01,56.47,56.82,56.2,56.76,4459000
J.P. Morgan Chase & Co.,JPM,2013-11-01,37.22,38.13,37.11,37.99,25794400
"Cardinal Health, Inc.",CAH,2013-11-01,42.26,44.32,42.18,43.65,6458900
International Business Machines Corporation,IBM,2013-11-01,105.72,106.03,105.17,105.38,3812147
Bank of America Corporation,BAC,2013-11-01,11.08,11.16,11.05,11.09,75610400
Costco Wholesale Corporation,COST,2013-11-01,94.36,95.22,94.23,95.08,2185100
The Kroger Company,KR,2013-11-01,17.01,17.11,16.9,16.95,4831800
Express Scripts Holding Company,ESH.BE,2013-11-01,12.12,12.12,12.12,12.12,0
Wells Fargo & Company,WFC,2013-11-01,30.3,30.53,30.2,30.27,15538700
Citigroup Inc.,C,2013-11-01,36.37,36.48,36.18,36.27,19004100
"Prudential Financial, Inc.",PRU,2013-11-01,49.1,49.14,48.5,48.85,1557800
The Boeing Company,BA,2013-11-01,111.47,113.68,111.47,113.28,4582400
Freddie Mac,FMCC,2013-11-01,2.25,2.33,2.24,2.29,8394000
Marathon Petroleum Corporation,MPC,2013-11-01,24.99,25.06,24.4,24.65,7031600
"The Home Depot, Inc.",THD,2013-11-01,56.56,56.79,56.04,56.57,292500
Microsoft Corporation,MSFT,2013-11-01,29.37,29.39,29.14,29.26,40264600
Target Corporation,TGT,2013-11-01,45.13,45.16,44.68,44.94,3768800
"American International Group, Inc.",AIG,2013-11-01,37.15,37.48,36.65,36.85,51746100
"MetLife, Inc.",MET,2013-11-01,28.3,28.54,28.12,28.24,7281668
Johnson & Johnson,JNJ,2013-11-01,66.14,67.0,66.14,66.85,6835900
Caterpillar Inc.,CAT,2013-11-01,61.57,61.58,60.85,61.43,5880200
"PepsiCo, Inc.",PEP,2013-11-01,58.98,59.36,58.76,59.27,4170000
ConocoPhillips,COP,2013-11-01,49.63,49.63,48.72,49.31,4921000
Comcast Corporation,CMCSA,2013-11-01,18.26,18.61,18.22,18.57,24863600
Pfizer Inc.,PFIZER.NS,2013-11-01,719.85,723.13,710.58,714.57,4816
