company,ticker,date,open,high,low,close,volume
Walmart,WMT,2019-04-01,29.63,29.75,29.51,29.59,25517400
Exxon Mobil,XOM,2019-04-01,59.32,59.72,59.21,59.69,10816400
Apple,APLE,2019-04-01,11.88,12.02,11.85,12.02,1173700
UnitedHealth Group,UNH,2019-04-01,225.03,225.47,219.03,221.27,4809500
McKesson,MCK,2019-04-01,112.44,113.33,111.85,113.24,1155400
CVS Health,CVS,2019-04-01,43.5,43.64,42.92,43.52,10790100
AT&T,ATT.L,2019-04-01,152.4,154.2,151.4,154.2,802320
Chevron,CVX,2019-04-01,92.0,93.04,91.69,92.79,5506300
Ford Motor,F,2019-04-01,6.31,6.41,6.31,6.39,45653100
General Motors,GM,2019-04-01,34.62,35.01,34.55,34.95,7145600
Costco Wholesale,COST,2019-04-01,220.66,221.88,220.22,221.68,1610200
Alphabet,GOOGL,2019-04-01,58.97,59.6,58.91,59.54,27706000
Cardinal Health,CAH,2019-04-01,40.36,40.79,40.16,40.73,2249300
JPMorgan Chase,JPM,2019-04-01,84.63,86.73,84.61,86.7,17499300
Verizon Communications,VZ,2019-04-01,40.88,40.89,40.47,40.67,16331100
Kroger,KR,2019-04-01,21.37,21.5,20.98,21.15,10620100
General Electric,GE,2019-04-01,48.49,49.02,48.39,48.87,10301888
Fannie Mae,FNMA,2019-04-01,2.81,2.84,2.65,2.72,4745300
Phillips 66,PSX,2019-04-01,72.95,73.17,71.93,72.24,2635300
Valero Energy,VLO,2019-04-01,65.16,65.9,64.83,65.59,2919100
Bank of America,BAC,2019-04-01,23.79,24.5,23.75,24.33,91751100
Microsoft,MSFT,2019-04-01,111.77,111.92,110.97,111.84,22789100
Home Depot,HD,2019-04-01,164.76,167.25,164.65,167.03,5381400
Boeing,BA,2019-04-01,376.76,383.7,374.13,382.37,7735700
Wells Fargo,WFC,2019-04-01,40.25,40.64,40.04,40.57,42015500
Citigroup,C,2019-04-01,49.48,50.88,49.46,50.67,17736300
Marathon Petroleum,MPC,2019-04-01,48.67,49.31,48.08,49.15,6993500
Comcast,CMCSA,2019-04-01,33.81,33.85,33.5,33.78,14326000
Dell Technologies,DELL,2019-04-01,27.78,28.08,27.65,28.08,3523383
DuPont de Nemours,DD,2019-04-01,28.29,28.83,28.11,28.57,53647430
Johnson & Johnson,JNJ,2019-04-01,116.5,116.74,115.46,115.65,5885200
IBM,IBM,2019-04-01,100.89,102.24,100.89,102.17,4167578
Target,TGT,2019-04-01,67.24,67.24,66.15,66.7,4733900
Freddie Mac,FMCC,2019-04-01,2.69,2.69,2.55,2.61,1490900
United Parcel Service,UPS,2019-04-01,86.85,88.07,86.63,87.8,3721700
Lowe's,X1G.PA,2019-04-01,235.9,235.9,235.81,235.81,2
Intel,INTC,2019-04-01,47.06,47.26,46.85,47.21,17830400
MetLife,MET,2019-04-01,33.99,35.13,33.98,35.09,6164500
Procter & Gamble,PG,2019-04-01,87.99,87.99,87.07,87.49,6626500
FedEx,FDX,2019-04-01,161.99,166.19,161.95,165.71,2340900
PepsiCo,PEP,2019-04-01,100.94,101.18,100.11,100.45,5025700
Archer Daniels Midland,ADM,2019-04-01,35.43,35.63,34.9,34.99,2998300
Prudential Financial,PRU,2019-04-01,66.22,68.57,66.17,68.48,2543200
Centene,CNC,2019-04-01,53.67,54.27,53.06,54.16,6150900
Walt Disney,DIS,2019-04-01,108.44,109.68,108.23,109.33,10785100
Sysco,SYY,2019-04-01,56.29,56.29,55.78,55.98,1774100
HP,HP,2019-04-01,40.19,41.22,39.95,41.04,1062000
Humana,HUM.ST,2019-04-01,68.23,68.23,66.12,67.37,47071
Caterpillar,CAT,2019-04-01,118.95,121.27,117.77,121.16,5081500
Energy Transfer,ET,2019-04-01,8.51,8.64,8.51,8.58,9532200
Lockheed Martin,LMT,2019-04-01,254.37,257.36,253.77,255.83,1153900
Pfizer,PFIZER.NS,2019-04-01,2884.66,2899.45,2850.04,2870.65,11020
Goldman Sachs Group,GS,2019-04-01,166.31,169.81,165.97,168.66,3562600
Morgan Stanley,MS,2019-04-01,34.65,35.6,34.63,35.26,25813300
Cisco Systems,CSCO,2019-04-01,44.54,44.98,44.47,44.95,19741700
Cigna,CI,2019-04-01,149.58,150.01,147.57,148.89,1894500
AIG,AIG,2019-04-01,36.77,37.41,36.71,37.16,3715100
HCA Healthcare,HCA,2019-04-01,124.37,124.95,123.63,124.69,1405500
American Airlines Group,AAL,2019-04-01,31.56,32.3,31.28,31.92,7438200
Delta Air Lines,DAL,2019-04-01,49.08,49.57,48.8,49.42,8501400
Charter Communications,CHTR,2019-04-01,349.81,350.6,343.7,346.22,1153100
New York Life Insurance,601336.SS,2019-04-01,43.95,45.21,43.95,44.62,22526970
American Express,AXP,2019-04-01,100.8,102.4,100.61,102.09,5125100
Best Buy,BBY,2019-04-01,55.7,56.4,55.49,56.27,2787100
Merck,MRK,2019-04-01,65.31,65.4,64.69,64.97,8820282
Honeywell International,HON,2019-04-01,131.12,132.57,130.92,132.32,2539610
United Continental Holdings,UAL,2019-04-01,80.21,81.69,79.56,80.87,2723200
TIAA,TILIX,2019-04-01,18.96,18.96,18.96,18.96,0
Tyson Foods,TSN,2019-04-01,57.91,58.09,57.29,58.08,2775400
Oracle,ORCL,2019-04-01,48.75,49.45,48.72,49.38,15191700
Allstate,ALL,2019-04-01,81.0,81.88,80.95,81.49,1536700
World Fuel Services,WFK.BE,2019-04-01,22.37,22.41,22.24,22.28,0
TJX,TJX,2019-04-01,48.93,48.93,48.41,48.61,4849700
ConocoPhillips,COP,2019-04-01,53.25,53.75,53.11,53.41,5309000
Deere,DE,2019-04-01,147.38,148.7,146.51,147.63,1371400
Tech Data,TECH.OL,2019-04-01,32.0,32.6,31.5,31.5,591
Enterprise Products Partners,EPD,2019-04-01,17.56,17.64,17.5,17.62,2798600
Nike,NKE,2019-04-01,78.32,78.58,78.01,78.49,6737400
General Dynamics,GD,2019-04-01,145.35,147.5,145.17,147.11,1055100
Exelon,EXC,2019-04-01,28.3,28.31,27.8,28.02,5906626
Plains GP Holdings,PAGP,2019-04-01,15.1,15.17,15.01,15.07,892700
3M,MMM,2019-04-01,137.08,138.71,136.67,138.42,3095726
AbbVie,ABBV,2019-04-01,60.5,60.59,59.74,60.35,4759400
Capital One Financial,COF,2019-04-01,73.33,75.58,73.26,75.23,3036500
Progressive,PGR,2019-04-01,63.31,63.66,63.08,63.41,2483100
