company,ticker,date,open,high,low,close,volume
"Wal-Mart Stores, Inc.",WMT,2000-04-04,13.16,13.51,12.27,12.8,41027400
Exxon Mobil Corporation,XOM,2000-04-04,17.71,18.36,17.71,18.28,16389200
Ford Motor Company,F,2000-04-04,10.8,11.03,10.34,10.87,13769585
General Electric Company,GE,2000-04-04,137.59,137.86,127.66,133.63,6892109
International Business Machines Corporation,IBM,2000-04-04,60.2,62.89,57.01,60.04,17433891
"Citigroup, Inc.",C,2000-04-04,243.72,248.39,220.14,231.93,2371267
AT&T Corp.,ATT.L,2000-04-04,53.35,53.35,53.35,53.35,0
Philip Morris Companies Inc.,TABAK.PR,2000-04-04,678.28,678.28,678.28,678.28,90
The Boeing Company,BA,2000-04-04,24.09,24.77,23.68,24.17,4004200
Bank of America Corporation,BAC,2000-04-04,14.5,14.75,13.9,14.13,18461600
The Kroger Company,KR,2000-04-04,6.78,7.17,6.71,7.11,21197600
"American International Group,Inc.",AIG,2000-04-04,921.49,939.27,874.09,907.67,476273
Fannie Mae,FNMA,2000-04-04,48.66,49.53,47.59,47.95,5023900
Morgan Stanley Dean Witter & Co.,MS,2000-04-04,42.13,42.13,36.2,38.4,8308000
Target,TGT,2000-04-04,22.73,23.14,21.63,22.24,5482000
"Merck & Co., Inc.",MRK,2000-04-04,25.81,26.35,24.65,25.57,12605134
Chevron Corporation,CVX,2000-04-04,17.72,17.85,17.11,17.19,7643400
"Motorola, Inc.",MSI,2000-04-04,118.68,121.64,109.21,113.92,8515003
McKesson HBOC Inc.,MCK,2000-04-04,17.45,17.5,16.06,16.88,1644300
Intel Corporation,INTC,2000-04-04,37.36,38.07,33.81,37.72,87341800
Johnson & Johnson,JNJ,2000-04-04,18.77,19.68,18.74,19.68,22024200
Costco Wholesale Corporation,COST,2000-04-04,36.03,36.91,33.24,36.12,9565100
Time Warner Inc.,T,2000-04-04,6.1,6.4,6.07,6.23,14282915
"United Parcel Service of America, Inc.",UPS,2000-04-04,28.72,28.91,26.79,27.97,1309000
The Allstate Corporation,ALL,2000-04-04,13.5,13.54,12.02,13.03,5097700
Lockheed Martin Corporation,LMT,2000-04-04,11.01,11.37,10.55,10.65,2551700
"Goldman Sachs Group, Inc.",GS,2000-04-04,74.12,74.29,63.71,68.7,3739600
"Cardinal Health, Inc.",CAH,2000-04-04,14.46,15.01,14.35,14.76,2153400
ConAgra,CAG,2000-04-04,5.84,5.95,5.64,5.84,1806839
International Paper Company,IP,2000-04-04,16.44,16.51,14.81,15.75,3608007
Freddie Mac,FMCC,2000-04-04,38.85,39.47,37.39,37.86,4254200
"AutoNation, Inc.",AN,2000-04-04,8.01,8.01,7.45,7.62,1011500
Honeywell International Inc.,HON,2000-04-04,27.62,27.81,26.11,27.05,3169970
The Walt Disney Company,DIS,2000-04-04,31.82,31.92,29.21,31.3,7049975
First Union Corporation,FHN,2000-04-04,9.52,9.78,8.61,9.37,913705
Wells Fargo & Co.,WFC,2000-04-04,10.83,11.28,10.41,10.72,16863600
Duke Energy Corporation,DUK,2000-04-04,14.63,15.38,14.6,15.24,2905065
American Express Company,AXP,2000-04-04,32.01,32.49,29.37,30.26,14593511
Loews Corporation,L,2000-04-04,7.47,7.6,6.97,7.26,2123400
Conoco,COP,2000-04-04,7.79,7.93,7.66,7.77,2629092
CIGNA Corporation,CI,2000-04-04,22.47,22.47,21.35,21.91,3024300
"PepsiCo, Inc.",PEP,2000-04-04,18.86,19.45,18.5,19.02,5803400
Microsoft Corporation,MSFT,2000-04-04,27.97,28.1,25.94,27.05,181244400
"Caterpillar, Inc.",CAT,2000-04-04,10.9,11.48,10.64,11.3,7259000
"UnitedHealth Group, Incorporated",UNH,2000-04-04,6.05,6.05,5.64,5.93,8253600
Xerox Corporation,XRX,2000-04-04,29.29,30.51,27.99,29.21,2461703
Electronic Data Systems Corporation,EA,2000-04-04,16.48,17.06,13.99,16.01,7273200
J.P. Morgan & Co. Incorporated,JPM,2000-04-04,29.21,29.33,26.5,27.69,12638700
CVS Corporation,CVS,2000-04-04,12.35,14.21,12.35,13.09,8723800
"Federated Department Stores, Inc.",FHI,2000-04-04,6.21,6.22,6.15,6.22,322650
Sysco Corporation,SYY,2000-04-04,9.52,10.02,9.49,9.98,2570200
