company,ticker,date,open,high,low,close,volume
Exxon Mobil Corporation,XOM,2006-04-13,31.22,31.47,31.07,31.35,11561100
"Wal-Mart Stores, Inc.",WMT,2006-04-13,10.28,10.29,10.2,10.23,21597000
Chevron Corporation,CVX,2006-04-13,27.31,27.57,27.13,27.49,5250200
Ford Motor Company,F,2006-04-13,3.69,3.72,3.65,3.7,18717900
ConocoPhillips,COP,2006-04-13,26.32,26.58,26.14,26.38,6646845
General Electric Company,GE,2006-04-13,101.78,102.28,100.05,100.88,7859821
"Citigroup, Inc.",C,2006-04-13,308.61,313.62,308.61,312.77,1197840
"American International Group,Inc.",AIG,2006-04-13,770.53,773.09,764.82,770.65,269125
International Business Machines Corporation,IBM,2006-04-13,41.99,42.72,41.96,42.4,5020486
Bank of America Corporation,BAC,2006-04-13,30.27,30.4,30.18,30.27,7642200
Valero Energy Corporation,VLO,2006-04-13,32.42,33.11,32.13,33.04,8709334
McKesson Corporation,MCK,2006-04-13,44.45,44.53,43.88,44.26,1099400
J.P. Morgan Chase & Co.,JPM,2006-04-13,25.33,25.61,25.3,25.47,6554700
Verizon Communications Inc.,VZ,2006-04-13,10.89,10.99,10.76,10.93,7054531
"Cardinal Health, Inc.",CAH,2006-04-13,31.97,32.27,31.9,32.03,807800
"Altria Group, Inc.",MO,2006-04-13,4.99,5.01,4.92,4.94,8342100
The Kroger Company,KR,2006-04-13,6.91,7.02,6.9,6.94,4864200
The Boeing Company,BA,2006-04-13,59.81,59.81,59.17,59.26,3230700
Costco Wholesale Corporation,COST,2006-04-13,37.0,37.25,36.78,36.84,1540000
Target Corporation,TGT,2006-04-13,31.29,31.73,31.29,31.65,2950500
Morgan Stanley,MS,2006-04-13,34.47,34.49,34.19,34.35,2521700
Pfizer Inc.,PFIZER.NS,2006-04-13,632.65,634.09,606.35,616.74,10687
Johnson & Johnson,JNJ,2006-04-13,32.77,32.86,32.6,32.81,7339900
"MetLife, Inc.",MET,2006-04-13,25.47,25.8,25.43,25.5,1818874
UnitedHealth Group Incorporated,UNH,2006-04-13,41.87,42.13,41.55,41.9,7685500
AT&T Inc.,ATT.L,2006-04-13,23.48,23.48,23.48,23.48,0
Time Warner Inc.,T,2006-04-13,4.88,4.9,4.85,4.88,18049430
"The Goldman Sachs Group, Inc.",TGS,2006-04-13,2.29,2.34,2.27,2.29,18200
"Lowe's Companies, Inc.",LOW,2006-04-13,22.84,23.04,22.82,22.91,4769600
"United Parcel Service, Inc.",UPS,2006-04-13,42.98,43.06,42.85,43.05,1609600
Wells Fargo & Company,WFC,2006-04-13,18.8,18.91,18.74,18.87,5030000
Microsoft Corporation,MSFT,2006-04-13,18.95,19.03,18.89,18.94,28160000
Intel Corporation,INTC,2006-04-13,11.29,11.53,11.28,11.45,77378500
Lockheed Martin Corporation,LMT,2006-04-13,41.47,41.55,41.21,41.4,1036100
CVS Corporation,CVS,2006-04-13,19.72,20.6,19.72,20.37,2591000
"Motorola, Inc.",MSI,2006-04-13,72.5,73.32,72.29,72.66,3635349
"Caterpillar, Inc.",CAT,2006-04-13,46.9,47.25,46.42,46.74,4209000
The Allstate Corporation,ALL,2006-04-13,31.36,31.45,31.25,31.38,2739500
"PepsiCo, Inc.",PEP,2006-04-13,33.0,33.16,32.91,33.02,2567600
"Lehman Brothers Holdings, Inc.",LEHNQ,2006-04-13,19.55,19.55,19.37,19.38,7000
The Walt Disney Company,DIS,2006-04-13,22.45,22.6,22.41,22.5,3667005
"Prudential Financial, Inc.",PRU,2006-04-13,37.86,37.91,37.59,37.82,970200
"Plains All American Pipeline, L.P.",PAA,2006-04-13,5.67,5.7,5.6,5.61,166600
Northrop Grumman Corporation,NOC,2006-04-13,40.48,40.73,40.36,40.63,1005423
Sysco Corporation,SYY,2006-04-13,17.96,18.04,17.88,18.02,1642100
American Express Company,AXP,2006-04-13,38.09,38.15,37.94,38.1,2534700
FedEx Corporation,FDX,2006-04-13,93.26,93.75,92.86,93.71,971900
Honeywell International Inc.,HON,2006-04-13,24.01,25.45,24.01,25.0,6251353
"Johnson Controls, Inc.",JCI,2006-04-13,26.55,27.13,26.55,26.98,3137034
Best Buy Co. Inc.,BBY,2006-04-13,32.49,33.01,32.44,32.9,2792700
The Hartford Financial Services Group Inc.,HFF.BE,2006-04-13,46.91,46.91,46.91,46.91,0
"Alcoa, Inc.",AA,2006-04-13,65.5,65.67,64.42,64.97,2606617
"Tyson Foods, Inc.",TSN,2006-04-13,9.35,9.47,9.33,9.33,1263900
International Paper Company,IP,2006-04-13,15.32,15.41,15.16,15.36,1610780
"Cisco Systems, Inc.",CSCO,2006-04-13,13.65,13.99,13.65,13.78,38597300
"Federated Department Stores, Inc.",FHI,2006-04-13,13.84,13.89,13.67,13.82,515800
Weyerhaeuser Company,WY,2006-04-13,13.62,13.78,13.52,13.72,794500
Massachusetts Financial Group,MFG.AX,2006-04-13,0.37,0.37,0.37,0.37,2184
Abbott Laboratories,ABT,2006-04-13,12.74,12.78,12.64,12.75,7186328
Comcast Corporation,CMCSA,2006-04-13,6.23,6.41,6.23,6.39,36747600
"Merck & Co., Inc.",MRK,2006-04-13,16.17,16.34,16.17,16.31,5800680
Deere & Company,DE,2006-04-13,28.8,29.15,28.64,29.09,4550800
General Dynamics Corporation,GD,2006-04-13,41.06,41.6,41.06,41.28,948200
