company,ticker,date,open,high,low,close,volume
"Wal-Mart Stores, Inc.",WMT,2005-10-17,10.06,10.06,9.96,10.05,29382900
Exxon Mobil Corporation,XOM,2005-10-17,29.76,29.97,29.57,29.67,14339000
Ford Motor Company,F,2005-10-17,4.55,4.55,4.25,4.26,27903500
General Electric Company,GE,2005-10-17,100.36,101.22,99.57,99.78,4999565
ConocoPhillips,COP,2005-10-17,24.71,24.89,24.25,24.48,10607273
"Citigroup, Inc.",C,2005-10-17,289.25,290.72,284.09,285.81,1463610
"American International Group,Inc.",AIG,2005-10-17,752.09,764.56,751.49,763.59,353855
International Business Machines Corporation,IBM,2005-10-17,42.39,42.71,42.17,42.51,8331181
Verizon Communications Inc.,VZ,2005-10-17,9.71,9.72,9.51,9.55,12345957
McKesson Corporation,MCK,2005-10-17,37.89,38.07,37.76,37.95,720800
"Cardinal Health, Inc.",CAH,2005-10-17,29.0,29.07,28.73,28.89,845000
"Altria Group, Inc.",MO,2005-10-17,4.91,5.3,4.9,5.26,25949600
Bank of America Corporation,BAC,2005-10-17,27.27,27.34,27.15,27.23,10224400
J.P. Morgan Chase & Co.,JPM,2005-10-17,20.31,20.38,20.06,20.19,8469300
The Kroger Company,KR,2005-10-17,6.93,7.01,6.92,7.0,4576200
Valero Energy Corporation,VLO,2005-10-17,26.79,26.92,26.27,26.54,15689273
Pfizer Inc.,PFIZER.NS,2005-10-17,446.22,449.59,441.2,443.78,5877
Boeing,BA,2005-10-17,47.6,47.81,47.11,47.66,4333800
Target Corporation,TGT,2005-10-17,32.66,32.79,32.19,32.63,3611300
Costco Wholesale Corporation,COST,2005-10-17,31.35,31.6,31.2,31.6,2460200
Johnson & Johnson,JNJ,2005-10-17,35.67,35.67,35.13,35.31,9214800
Time Warner Inc.,T,2005-10-17,4.08,4.1,4.05,4.09,16114934
Morgan Stanley,MS,2005-10-17,28.22,28.67,28.22,28.41,3128400
"MetLife, Inc.",MET,2005-10-17,24.02,24.32,23.85,24.28,1786112
"UnitedHealth Group, Incorporated",UNH,2005-10-17,44.22,44.25,43.78,44.18,4411000
Microsoft Corporation,MSFT,2005-10-17,17.16,17.17,16.99,17.05,46924400
"United Parcel Service, Inc.",UPS,2005-10-17,36.8,37.09,36.39,36.8,2221800
Lockheed Martin Corporation,LMT,2005-10-17,34.14,34.51,33.84,34.46,1491500
"Motorola, Inc.",MSI,2005-10-17,61.54,61.78,59.7,60.1,4902461
Intel Corporation,INTC,2005-10-17,13.53,13.71,13.5,13.69,45289800
The Allstate Corporation,ALL,2005-10-17,33.09,33.17,32.79,33.16,2412000
Wells Fargo & Company,WFC,2005-10-17,16.96,17.03,16.85,16.97,7193200
The Walt Disney Company,DIS,2005-10-17,18.56,18.81,18.47,18.76,7324886
CVS Corporation,CVS,2005-10-17,16.56,16.75,16.39,16.72,6064700
AT&T Corp.,ATT.L,2005-10-17,21.5,21.5,21.5,21.5,0
"Caterpillar, Inc.",CAT,2005-10-17,33.25,33.36,32.81,33.15,3286800
Northrop Grumman Corporation,NOC,2005-10-17,31.48,31.92,31.08,31.85,2404759
"The Goldman Sachs Group, Inc.",TGS,2005-10-17,2.75,2.81,2.75,2.78,8600
Sysco Corporation,SYY,2005-10-17,18.03,18.27,18.0,18.25,1702600
"PepsiCo, Inc.",PEP,2005-10-17,32.45,32.68,32.33,32.67,2972300
American Express Company,AXP,2005-10-17,35.44,35.67,35.24,35.64,5288300
"Prudential Financial, Inc.",PRU,2005-10-17,32.42,32.58,32.25,32.42,899000
International Paper Company,IP,2005-10-17,11.93,11.95,11.87,11.95,4417948
"Johnson Controls, Inc.",JCI,2005-10-17,26.95,27.37,26.48,27.36,9149250
"Tyson Foods, Inc.",TSN,2005-10-17,12.63,12.72,12.58,12.69,936400
Honeywell International Inc.,HON,2005-10-17,20.51,20.73,20.43,20.72,2479307
Best Buy Co. Inc.,BBY,2005-10-17,24.67,24.83,24.35,24.6,4194400
FedEx Corporation,FDX,2005-10-17,71.36,71.82,71.07,71.82,959700
"Alcoa, Inc.",AA,2005-10-17,43.89,44.4,43.79,44.23,2552643
"Merck & Co., Inc.",MRK,2005-10-17,12.72,12.82,12.52,12.71,5778358
Duke Energy,DUK,2005-10-17,18.18,18.44,18.17,18.31,3919406
The Hartford Financial Services Group Inc.,HFF.BE,2005-10-17,43.5,43.5,43.5,43.5,0
Weyerhaeuser Company,WY,2005-10-17,11.56,11.65,11.45,11.6,2379100
"Cisco Systems, Inc.",CSCO,2005-10-17,11.21,11.3,11.15,11.17,34345300
"Lehman Brothers Holdings, Inc.",LEHNQ,2005-10-17,19.88,19.88,19.8,19.81,30500
Electronic Data Systems,EA,2005-10-17,52.63,52.9,51.87,52.12,2462500
"Plains All American Pipeline, L.P.",PAA,2005-10-17,4.92,5.11,4.92,5.0,578400
Abbott Laboratories,ABT,2005-10-17,12.85,12.91,12.75,12.9,7698833
Halliburton Company,HAL,2005-10-17,22.75,22.93,22.48,22.53,10662800
