Ticker,Company,Sector,CurrencyCorrelation,AvgReturn
EPD,Enterprise Products Partners,,0.06495849788188934,0.038820193614810705
PG,Procter & Gamble,Household And Personal Products,0.0569815993309021,0.023117843270301818
CAH,Cardinal Health,Wholesalers,0.05297626852989197,-0.016052496433258057
PGR,Progressive,Insurance,0.041890782117843625,0.1385793587192893
ET,Energy Transfer,Pipelines,0.03973633944988251,0.06648460365831851
PAGP,Plains Gp Holdings,Pipelines,0.03406558334827423,0.04689059127122164
CHS.V,Chs,Food Production,0.03271926641464233,-1.3936933994293212
XOM,Exxon Mobil,Petroleum Refining,0.03214135468006134,0.036256182752549646
UNH,UnitedHealth Group,Health Care: Insurance and Managed Care,0.0306430384516716,0.00582394003868103
601336.SS,New York Life Insurance,Insurance,0.026487851142883302,0.13997490219771863
DIS,Walt Disney,Entertainment,0.026402652263641357,0.012718193233013153
VZ,Verizon Communications,Telecommunications,0.02634068429470062,0.055207645799964664
FDX,Fedex,"Mail, Package, And Freight Delivery",0.023498474061489104,0.013395100831985474
WMT,Walmart,General Merchandisers,0.018966467678546907,0.16952531635761262
UAL,United Airlines Holdings,Airlines,0.018173150718212128,0.15567900687456132
MCK,McKesson,Wholesalers: Health Care,0.01787436380982399,0.03705217409878969
LFG.AX,Liberty Mutual Insurance Group,,0.015744831413030624,-0.06690867897123098
CHTR,Charter Communications,,0.012468741275370121,-0.08670571260154247
ALL,Allstate,,0.01080500241369009,0.15736673399806023
MPC,Marathon Petroleum,Petroleum Refining,0.00888950526714325,0.029799647629261017
